,Player,#,Nation,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Date,Team,Opponent
65,Moussa Sissoko,17.0,fr FRA,CM,90,40,5,22,17,3,0,40,3,3,100.0,3,0,27,106,41,26,20,76.9,1,1,07/19/20,Tottenham,Leicester City
66,Harry Winks,8.0,eng ENG,DM,89,34,1,11,26,3,0,33,0,0,,0,0,26,173,93,23,22,95.7,0,2,07/19/20,Tottenham,Leicester City
67,Oliver Skipp,29.0,eng ENG,DM,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,07/19/20,Tottenham,Leicester City
68,Ben Davies,33.0,wal WAL,LB,90,47,7,26,22,4,0,44,0,0,,0,0,19,142,92,25,24,96.0,0,1,07/19/20,Tottenham,Leicester City
69,Toby Alderweireld,4.0,be BEL,CB,90,35,11,27,11,1,1,33,0,0,,0,0,13,40,21,19,19,100.0,0,0,07/19/20,Tottenham,Leicester City
70,Davinson Sanchez,6.0,co COL,CB,90,39,8,27,14,0,0,39,0,0,,0,0,21,123,40,23,23,100.0,0,0,07/19/20,Tottenham,Leicester City
71,Serge Aurier,24.0,ci CIV,RB,90,55,8,23,29,5,0,43,0,0,,0,0,20,107,45,26,22,84.6,0,0,07/19/20,Tottenham,Leicester City
72,Hugo Lloris,1.0,fr FRA,GK,90,32,32,32,0,0,0,23,0,0,,0,0,10,42,30,9,9,100.0,0,0,07/19/20,Tottenham,Leicester City
73,Jamie Vardy,9.0,eng ENG,FW,90,30,1,2,8,21,8,30,0,0,,0,0,11,50,16,35,19,54.3,2,2,07/19/20,Leicester City,Tottenham
74,Harvey Barnes,15.0,eng ENG,LW,82,56,1,1,25,36,1,55,1,2,50.0,1,1,43,340,215,58,47,81.0,3,3,07/19/20,Leicester City,Tottenham
75,George Hirst,45.0,eng ENG,LW,8,9,0,0,3,6,1,9,0,0,,0,0,4,9,5,9,8,88.9,1,0,07/19/20,Leicester City,Tottenham
76,Ayoze Perez,17.0,es ESP,RW,58,34,0,0,15,20,4,29,2,3,66.7,2,0,19,105,55,29,24,82.8,2,1,07/19/20,Leicester City,Tottenham
77,Kelechi Iheanacho,14.0,ng NGA,RW,32,20,0,1,7,13,3,20,2,3,66.7,2,0,19,91,50,14,14,100.0,1,2,07/19/20,Leicester City,Tottenham
78,Youri Tielemans,8.0,be BEL,CM,69,75,0,3,43,34,1,62,2,3,66.7,2,1,45,151,88,59,54,91.5,2,2,07/19/20,Leicester City,Tottenham
79,Dennis Praet,26.0,be BEL,CM,21,23,0,3,10,14,0,23,0,0,,0,0,14,149,87,17,15,88.2,0,0,07/19/20,Leicester City,Tottenham
80,Wilfred Ndidi,25.0,ng NGA,CM,69,62,1,7,43,17,0,61,0,0,,0,0,38,196,97,49,45,91.8,1,0,07/19/20,Leicester City,Tottenham
81,Nampalys Mendy,24.0,fr FRA,CM,21,28,0,0,21,9,0,28,0,0,,0,0,24,116,33,25,25,100.0,0,0,07/19/20,Leicester City,Tottenham
82,Luke Thomas,56.0,eng ENG,WB,90,88,0,7,38,46,3,81,1,2,50.0,1,0,66,212,116,71,66,93.0,3,1,07/19/20,Leicester City,Tottenham
83,James Justin,2.0,eng ENG,"WB,CB",90,94,2,16,53,30,3,90,1,1,100.0,1,0,70,337,211,73,71,97.3,0,0,07/19/20,Leicester City,Tottenham
84,Jonny Evans,6.0,nir NIR,CB,90,118,4,25,90,8,0,113,1,1,100.0,1,0,84,380,218,89,89,100.0,0,0,07/19/20,Leicester City,Tottenham
85,Wes Morgan,5.0,jm JAM,CB,90,87,1,31,56,3,2,84,0,0,,0,0,62,338,166,68,67,98.5,0,0,07/19/20,Leicester City,Tottenham
86,Ryan Bennett,29.0,eng ENG,CB,45,43,1,16,30,1,0,42,0,0,,0,0,34,196,121,38,38,100.0,0,0,07/19/20,Leicester City,Tottenham
87,Demarai Gray,7.0,eng ENG,"WB,CB",45,45,0,1,18,31,1,40,0,0,,0,0,36,277,183,37,33,89.2,0,1,07/19/20,Leicester City,Tottenham
88,Kasper Schmeichel,1.0,dk DEN,GK,90,24,21,24,0,0,0,19,0,0,,0,0,14,58,32,13,13,100.0,0,0,07/19/20,Leicester City,Tottenham
89,David McGoldrick,17.0,ie IRL,FW,90,49,0,2,26,22,5,47,2,5,40.0,4,1,28,158,35,55,40,72.7,1,0,07/20/20,Sheffield Utd,Everton
90,Oliver McBurnie,9.0,sco SCO,FW,59,18,0,1,6,11,3,18,0,0,,0,0,7,34,7,20,13,65.0,1,0,07/20/20,Sheffield Utd,Everton
91,John Fleck,4.0,sco SCO,FW,31,26,0,0,10,17,0,23,1,1,100.0,1,0,22,105,68,18,18,100.0,0,0,07/20/20,Sheffield Utd,Everton
92,Ben Osborn,23.0,eng ENG,CM,59,36,0,7,18,17,1,36,0,0,,0,0,25,136,38,31,31,100.0,4,0,07/20/20,Sheffield Utd,Everton
93,Billy Sharp,10.0,eng ENG,CM,31,8,0,0,3,6,1,8,0,0,,0,0,6,15,2,11,7,63.6,1,2,07/20/20,Sheffield Utd,Everton
94,Sander Berge,32.0,no NOR,CM,90,62,1,7,28,31,1,61,1,1,100.0,1,0,42,186,82,48,43,89.6,3,1,07/20/20,Sheffield Utd,Everton
95,Oliver Norwood,16.0,nir NIR,DM,68,47,3,12,25,11,0,38,0,0,,0,0,17,45,15,23,23,100.0,0,0,07/20/20,Sheffield Utd,Everton
96,John Lundstram,7.0,eng ENG,DM,22,21,1,2,11,9,0,21,1,1,100.0,1,0,19,96,30,20,20,100.0,0,0,07/20/20,Sheffield Utd,Everton
97,Enda Stevens,3.0,ie IRL,WB,90,68,2,14,25,31,2,53,2,3,66.7,2,1,36,180,81,39,39,100.0,1,0,07/20/20,Sheffield Utd,Everton
98,George Baldock,2.0,eng ENG,WB,90,62,0,10,29,29,3,50,1,1,100.0,1,0,32,209,119,38,35,92.1,0,0,07/20/20,Sheffield Utd,Everton
99,Jack O'Connell,5.0,eng ENG,CB,90,72,6,31,40,6,0,68,0,0,,0,0,40,153,113,46,46,100.0,0,0,07/20/20,Sheffield Utd,Everton
100,John Egan,12.0,ie IRL,CB,90,50,6,21,26,3,2,47,0,0,,0,0,20,126,91,24,23,95.8,1,0,07/20/20,Sheffield Utd,Everton
101,Chris Basham,6.0,eng ENG,CB,82,55,3,15,29,13,2,52,1,1,100.0,1,0,29,117,72,35,33,94.3,3,1,07/20/20,Sheffield Utd,Everton
102,Richairo Zivkovic,30.0,nl NED,CB,8,3,0,0,0,3,0,3,0,0,,0,0,2,12,2,5,2,40.0,0,1,07/20/20,Sheffield Utd,Everton
103,Dean Henderson,1.0,eng ENG,GK,90,24,19,24,0,0,0,20,0,0,,0,0,13,50,34,13,13,100.0,0,0,07/20/20,Sheffield Utd,Everton
104,Richarlison,7.0,br BRA,FW,90,50,0,11,29,13,2,50,3,8,37.5,3,0,38,239,86,33,31,93.9,5,4,07/20/20,Everton,Sheffield Utd
105,Dominic Calvert-Lewin,9.0,eng ENG,FW,90,21,3,3,8,11,2,21,1,2,50.0,1,0,13,64,24,23,17,73.9,5,0,07/20/20,Everton,Sheffield Utd
106,Gylfi Sigurdsson,10.0,is ISL,CM,87,37,0,2,21,14,1,33,1,3,33.3,1,0,28,95,50,37,26,70.3,2,3,07/20/20,Everton,Sheffield Utd
107,Seamus Coleman,23.0,ie IRL,"CM,RB",3,2,0,1,1,0,0,1,0,0,,0,0,1,6,0,0,0,,0,0,07/20/20,Everton,Sheffield Utd
108,Theo Walcott,11.0,eng ENG,CM,83,34,0,5,15,15,4,34,2,3,66.7,2,0,24,106,58,25,19,76.0,1,3,07/20/20,Everton,Sheffield Utd
109,Anthony Gordon,42.0,eng ENG,CM,7,2,0,0,1,2,1,2,1,1,100.0,1,0,3,42,32,2,2,100.0,0,0,07/20/20,Everton,Sheffield Utd
110,Tom Davies,26.0,eng ENG,DM,90,49,5,25,27,4,0,47,0,2,0.0,1,0,30,168,126,28,27,96.4,1,1,07/20/20,Everton,Sheffield Utd
111,Andre Gomes,21.0,pt POR,DM,90,47,3,21,27,3,0,47,1,1,100.0,1,0,34,101,36,35,35,100.0,0,1,07/20/20,Everton,Sheffield Utd
112,Lucas Digne,12.0,fr FRA,LB,90,70,5,32,24,15,1,53,1,3,33.3,1,0,29,142,67,29,27,93.1,0,0,07/20/20,Everton,Sheffield Utd
113,Jarrad Branthwaite,32.0,eng ENG,CB,90,60,14,50,12,0,0,58,0,0,,0,0,35,175,66,45,45,100.0,0,0,07/20/20,Everton,Sheffield Utd
114,Michael Keane,5.0,eng ENG,CB,90,85,30,78,11,0,0,84,0,0,,0,0,45,192,83,53,53,100.0,0,0,07/20/20,Everton,Sheffield Utd
115,Djibril Sidibe,19.0,fr FRA,RB,90,78,4,47,35,4,0,70,0,0,,0,0,52,311,217,52,52,100.0,0,0,07/20/20,Everton,Sheffield Utd
116,Jordan Pickford,1.0,eng ENG,GK,90,57,55,57,0,0,0,45,0,0,,0,0,32,135,63,33,33,100.0,0,0,07/20/20,Everton,Sheffield Utd
117,Neal Maupay,7.0,fr FRA,FW,72,23,0,0,9,15,5,22,1,2,50.0,1,0,14,91,37,28,18,64.3,0,2,07/20/20,Brighton,Newcastle Utd
118,Glenn Murray,17.0,eng ENG,FW,18,2,0,0,0,2,0,2,0,0,,0,0,1,4,0,3,2,66.7,0,1,07/20/20,Brighton,Newcastle Utd
119,Aaron Mooy,18.0,au AUS,LW,57,32,2,6,14,15,0,32,0,0,,0,0,22,118,45,22,21,95.5,0,1,07/20/20,Brighton,Newcastle Utd
120,Solly March,20.0,eng ENG,LW,33,24,0,0,10,17,0,22,0,0,,0,0,17,95,50,18,18,100.0,2,1,07/20/20,Brighton,Newcastle Utd
121,Pascal Gross,13.0,de GER,RW,57,37,0,2,13,24,1,28,0,0,,0,0,20,77,44,31,24,77.4,1,1,07/20/20,Brighton,Newcastle Utd
122,Alexis Mac Allister,10.0,ar ARG,RW,33,20,0,1,7,13,0,16,0,0,,0,0,8,20,2,11,9,81.8,2,0,07/20/20,Brighton,Newcastle Utd
123,Leandro Trossard,11.0,be BEL,AM,90,39,1,1,12,29,3,39,1,1,100.0,1,0,28,127,42,35,31,88.6,3,2,07/20/20,Brighton,Newcastle Utd
124,Dale Stephens,6.0,eng ENG,DM,90,67,5,18,46,13,0,67,2,2,100.0,2,0,52,395,213,51,50,98.0,0,1,07/20/20,Brighton,Newcastle Utd
125,Yves Bissouma,8.0,ml MLI,DM,72,56,1,11,41,10,0,56,2,2,100.0,2,0,48,329,121,43,41,95.3,2,3,07/20/20,Brighton,Newcastle Utd
126,Davy Propper,24.0,nl NED,DM,18,13,0,3,9,2,0,13,0,0,,0,0,9,29,10,12,11,91.7,1,1,07/20/20,Brighton,Newcastle Utd
127,Dan Burn,33.0,eng ENG,LB,90,91,9,23,58,19,3,88,0,0,,0,0,55,278,185,66,64,97.0,1,0,07/20/20,Brighton,Newcastle Utd
128,Lewis Dunk,5.0,eng ENG,CB,90,94,8,39,57,6,2,92,0,0,,0,0,63,401,203,74,74,100.0,0,0,07/20/20,Brighton,Newcastle Utd
129,Adam Webster,15.0,eng ENG,"CB,RB",90,87,10,40,47,8,2,85,1,1,100.0,1,0,63,522,345,61,61,100.0,0,1,07/20/20,Brighton,Newcastle Utd
130,Tariq Lamptey,2.0,eng ENG,RB,85,51,3,17,18,20,1,46,0,0,,0,0,31,154,101,35,32,91.4,0,4,07/20/20,Brighton,Newcastle Utd
131,Shane Duffy,4.0,ie IRL,"CB,RB",5,5,1,3,2,0,0,5,0,0,,0,0,4,7,0,4,4,100.0,0,0,07/20/20,Brighton,Newcastle Utd
132,Mathew Ryan,1.0,au AUS,GK,90,38,27,38,0,0,0,28,0,0,,0,0,20,43,12,23,23,100.0,0,0,07/20/20,Brighton,Newcastle Utd
133,Dwight Gayle,12.0,eng ENG,FW,73,21,0,5,9,8,4,21,2,2,100.0,2,0,11,64,34,16,14,87.5,1,1,07/20/20,Newcastle Utd,Brighton
134,Andy Carroll,7.0,eng ENG,FW,17,7,0,0,0,7,2,7,0,0,,0,0,3,8,0,9,7,77.8,0,0,07/20/20,Newcastle Utd,Brighton
135,Allan Saint-Maximin,10.0,fr FRA,FW,73,23,0,1,11,13,3,23,6,7,85.7,6,0,25,219,125,20,19,95.0,1,2,07/20/20,Newcastle Utd,Brighton
136,Joelinton,9.0,br BRA,FW,17,11,0,0,5,6,0,10,0,0,,0,0,9,57,10,8,8,100.0,0,1,07/20/20,Newcastle Utd,Brighton
137,Miguel Almiron,24.0,py PAR,CM,85,32,0,6,13,15,2,32,1,1,100.0,1,0,21,90,43,27,22,81.5,1,0,07/20/20,Newcastle Utd,Brighton
138,Valentino Lazaro,23.0,at AUT,CM,5,3,0,0,1,2,0,3,0,0,,0,0,2,6,1,2,2,100.0,0,0,07/20/20,Newcastle Utd,Brighton
139,Jonjo Shelvey,8.0,eng ENG,CM,90,41,0,10,17,14,3,36,0,0,,0,0,28,131,45,33,30,90.9,0,1,07/20/20,Newcastle Utd,Brighton
140,Nabil Bentaleb,42.0,dz ALG,DM,90,52,3,17,26,9,0,52,1,1,100.0,1,0,26,115,33,25,25,100.0,1,0,07/20/20,Newcastle Utd,Brighton
141,Matt Ritchie,11.0,sco SCO,WB,90,74,2,14,35,30,3,56,0,0,,0,0,44,203,95,44,40,90.9,0,2,07/20/20,Newcastle Utd,Brighton
142,Javier Manquillo,19.0,es ESP,WB,90,41,2,10,19,15,0,33,2,3,66.7,2,0,27,168,114,24,23,95.8,0,0,07/20/20,Newcastle Utd,Brighton
143,Danny Rose,28.0,eng ENG,CB,90,50,0,24,25,5,0,48,0,1,0.0,0,0,33,168,59,29,29,100.0,1,0,07/20/20,Newcastle Utd,Brighton
144,Federico Fernandez,18.0,ar ARG,CB,90,37,9,32,5,1,0,36,0,0,,0,0,21,85,35,21,21,100.0,0,0,07/20/20,Newcastle Utd,Brighton
145,Emil Krafth,17.0,se SWE,CB,90,46,8,32,19,1,0,44,0,0,,0,0,25,177,107,26,26,100.0,0,0,07/20/20,Newcastle Utd,Brighton
