,Player,#,Nation,Pos,Min,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out.1,Int,Blocks,Date,Team,Opponent
41,Steve Cook,3.0,eng ENG,CB,90,24,24,0,0,0,5,0,0,0,0,0,0,6,2,16,1,13,5,0,0,15,0,0,0,0,07/19/20,Bournemouth,Southampton
42,Jack Stacey,17.0,eng ENG,"RB,WB",90,38,23,15,1,0,7,0,3,0,0,0,0,7,15,16,2,16,4,14,0,20,0,0,0,3,07/19/20,Bournemouth,Southampton
43,Aaron Ramsdale,12.0,eng ENG,GK,90,30,22,8,4,0,2,1,0,0,0,0,0,7,0,23,1,23,0,0,2,15,0,0,0,0,07/19/20,Bournemouth,Southampton
44,Danny Ings,9.0,eng ENG,FW,89,21,21,0,0,0,4,1,1,0,0,0,0,7,6,8,6,9,4,0,0,13,1,0,0,1,07/19/20,Southampton,Bournemouth
45,Michael Obafemi,20.0,ie IRL,FW,1,3,3,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,1,0,0,1,0,0,0,1,07/19/20,Southampton,Bournemouth
46,Shane Long,7.0,ie IRL,FW,65,19,19,0,0,0,9,0,1,0,0,0,0,6,8,5,1,10,4,0,0,10,0,0,0,2,07/19/20,Southampton,Bournemouth
47,Che Adams,10.0,eng ENG,FW,25,8,8,0,0,1,4,0,0,0,0,0,0,2,5,1,1,3,1,0,0,4,0,0,0,1,07/19/20,Southampton,Bournemouth
48,Nathan Redmond,22.0,eng ENG,CM,90,33,33,0,0,0,5,1,1,0,0,0,0,25,5,3,4,29,0,0,0,24,0,0,1,4,07/19/20,Southampton,Bournemouth
49,Oriol Romeu,14.0,es ESP,CM,76,37,36,1,1,0,6,3,2,0,0,0,0,19,7,11,11,24,2,0,0,23,0,2,2,2,07/19/20,Southampton,Bournemouth
50,Pierre-Emile Hojbjerg,23.0,dk DEN,CM,14,12,11,1,1,0,2,0,0,0,0,0,0,8,2,2,3,8,1,0,0,9,0,2,0,0,07/19/20,Southampton,Bournemouth
51,James Ward-Prowse,16.0,eng ENG,CM,90,52,45,7,0,0,7,0,6,6,4,2,0,28,9,15,6,40,5,0,0,41,0,1,0,1,07/19/20,Southampton,Bournemouth
52,Stuart Armstrong,17.0,sco SCO,CM,90,34,34,0,0,0,11,1,0,0,0,0,0,22,6,6,6,26,1,0,1,24,0,1,0,2,07/19/20,Southampton,Bournemouth
53,Ryan Bertrand,21.0,eng ENG,LB,90,56,41,15,2,0,10,0,1,0,0,0,0,32,12,12,36,3,3,13,0,43,0,3,0,3,07/19/20,Southampton,Bournemouth
54,Jannik Vestergaard,4.0,dk DEN,CB,90,42,42,0,0,0,11,0,0,0,0,0,0,23,4,15,11,21,5,0,0,27,0,4,0,2,07/19/20,Southampton,Bournemouth
