,Player,#,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,Date,Team,Opponent
41,Åukasz FabiaÅski,1,pl POL,GK,90,0,0,0,0,0,0,0,0,36,2,0,0,0,0,0,0,0,0,23,35,65.7,705,20,31,1,1,8/10/19,West Ham,Manchester City
42,Gabriel Jesus,9,br BRA,FW,68,1,0,0,0,2,2,0,0,18,24,1,0,0,0.6,0.6,0,1,0,10,11,90.9,12,11,20,2,2,8/10/19,Manchester City,West Ham
43,Sergio Aguero,10,ar ARG,FW,22,1,0,1,1,0,0,0,0,5,5,0,0,0,0.8,0,0,0,0,3,3,100,24,5,69,0,1,8/10/19,Manchester City,West Ham
44,Raheem Sterling,7,eng ENG,LW,90,3,0,0,0,4,4,1,0,51,18,3,1,1,1.4,1.4,0,1,1,28,35,80,125,41,168,2,6,8/10/19,Manchester City,West Ham
45,Riyad Mahrez,26,dz ALG,RW,90,0,2,0,0,3,1,0,0,52,23,4,2,3,0.1,0.1,1,7,5,29,35,82.9,176,35,157,1,2,8/10/19,Manchester City,West Ham
46,David Silva,21,es ESP,CM,79,0,0,0,0,2,0,0,0,71,15,2,0,0,0.4,0.4,0.1,4,0,49,62,79,183,44,230,1,1,8/10/19,Manchester City,West Ham
47,Phil Foden,47,eng ENG,"AM,CM",11,0,0,0,0,0,0,0,0,9,10,0,1,0,0,0,0,0,0,5,7,71.4,6,5,4,0,0,8/10/19,Manchester City,West Ham
48,Kevin De Bruyne,17,be BEL,CM,78,0,1,0,0,1,1,0,0,60,12,4,2,3,0,0,0.8,6,1,38,50,76,284,33,164,1,2,8/10/19,Manchester City,West Ham
49,Ilkay Gundogan,8,de GER,"DM,CM",12,0,0,0,0,0,0,0,0,12,2,1,1,0,0,0,0,0,0,8,10,80,4,6,39,0,0,8/10/19,Manchester City,West Ham
50,Rodrigo,16,es ESP,DM,90,0,0,0,0,0,0,0,0,80,28,3,0,0,0,0,0,0,0,65,72,90.3,364,50,192,2,2,8/10/19,Manchester City,West Ham
51,Oleksandr Zinchenko,11,ua UKR,LB,90,0,0,0,0,1,0,0,0,76,14,3,0,1,0,0,0.1,1,0,60,65,92.3,381,48,144,0,0,8/10/19,Manchester City,West Ham
52,Aymeric Laporte,14,fr FRA,CB,90,0,0,0,0,0,0,0,0,75,4,1,4,0,0,0,0,0,0,62,65,95.4,511,48,301,2,2,8/10/19,Manchester City,West Ham
53,John Stones,5,eng ENG,CB,90,0,0,0,0,0,0,0,0,60,10,3,0,0,0,0,0,1,0,50,52,96.2,312,43,142,0,1,8/10/19,Manchester City,West Ham
54,Kyle Walker,2,eng ENG,RB,90,0,1,0,0,0,0,1,0,69,12,1,1,0,0,0,0,3,1,55,60,91.7,259,36,183,1,2,8/10/19,Manchester City,West Ham
55,Ederson,31,br BRA,GK,90,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,33,37,89.2,301,24,39,0,0,8/10/19,Manchester City,West Ham
56,Troy Deeney,9,eng ENG,FW,90,0,0,0,0,1,1,0,0,30,27,1,0,0,0,0,0.1,1,0,9,19,47.4,30,24,42,1,2,8/10/19,Watford,Brighton
57,Andre Gray,18,eng ENG,FW,74,0,0,0,0,1,1,0,0,12,15,0,0,0,0.3,0.3,0,1,0,7,8,87.5,7,6,2,0,1,8/10/19,Watford,Brighton
58,Isaac Success,22,ng NGA,FW,16,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,2,3,66.7,1,6,2,0,1,8/10/19,Watford,Brighton
59,Gerard Deulofeu,7,es ESP,AM,45,0,0,0,0,1,0,0,0,27,19,0,0,2,0,0,0,1,0,15,20,75,31,21,103,1,1,8/10/19,Watford,Brighton
60,Roberto Pereyra,37,ar ARG,AM,45,0,0,0,0,3,0,0,0,34,12,0,0,2,0.3,0.3,0,3,0,22,26,84.6,120,28,139,1,3,8/10/19,Watford,Brighton
61,Will Hughes,19,eng ENG,AM,90,0,0,0,0,1,0,0,0,50,44,1,4,7,0.1,0.1,0,2,0,19,30,63.3,71,38,75,2,3,8/10/19,Watford,Brighton
62,Etienne Capoue,29,fr FRA,CM,90,0,0,0,0,1,0,0,0,74,38,1,3,4,0,0,0,0,0,53,64,82.8,219,59,81,4,4,8/10/19,Watford,Brighton
63,Abdoulaye Doucoure,16,fr FRA,CM,90,0,0,0,0,0,0,0,0,61,24,1,1,1,0,0,0.2,2,0,42,54,77.8,175,48,121,1,1,8/10/19,Watford,Brighton
64,Jose Holebas,25,gr GRE,LB,90,0,0,0,0,0,0,0,0,80,27,3,0,2,0,0,0,0,0,53,70,75.7,379,36,105,1,1,8/10/19,Watford,Brighton
65,Craig Cathcart,15,nir NIR,CB,90,0,0,0,0,0,0,0,0,52,14,0,0,1,0,0,0,0,0,41,47,87.2,249,32,32,0,0,8/10/19,Watford,Brighton
66,Craig Dawson,4,eng ENG,CB,90,0,0,0,0,2,1,0,0,47,14,3,3,0,0.2,0.2,0,0,0,30,33,90.9,303,26,88,0,0,8/10/19,Watford,Brighton
67,Kiko Femenia,21,es ESP,RB,90,0,0,0,0,1,0,0,0,64,11,2,1,2,0,0,0.3,4,0,48,57,84.2,350,47,210,1,1,8/10/19,Watford,Brighton
