,Player,#,Nation,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Date,Team,Opponent
61,Lucas Moura,27.0,br BRA,RW,76,11,13,84.6,280,170,0,0,,7,9,77.8,4,4,100.0,2,0.3,3,2,2,0,3,07/19/20,Tottenham,Leicester City
62,Steven Bergwijn,23.0,nl NED,RW,14,6,9,66.7,72,9,1,2,50.0,4,6,66.7,1,1,100.0,0,0.0,0,0,0,0,0,07/19/20,Tottenham,Leicester City
63,Giovani Lo Celso,18.0,ar ARG,CM,76,19,28,67.9,309,73,0,1,0.0,16,18,88.9,3,9,33.3,0,0.0,1,1,0,0,2,07/19/20,Tottenham,Leicester City
64,Erik Lamela,11.0,ar ARG,CM,14,3,5,60.0,24,3,0,1,0.0,3,4,75.0,0,0,,0,0.0,0,0,0,0,0,07/19/20,Tottenham,Leicester City
65,Moussa Sissoko,17.0,fr FRA,CM,90,20,31,64.5,309,69,2,4,50.0,14,19,73.7,4,8,50.0,0,0.0,0,0,0,0,1,07/19/20,Tottenham,Leicester City
66,Harry Winks,8.0,eng ENG,DM,89,23,31,74.2,530,160,0,2,0.0,14,18,77.8,9,11,81.8,0,0.1,1,1,2,1,2,07/19/20,Tottenham,Leicester City
67,Oliver Skipp,29.0,eng ENG,DM,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0,0,0,0,0,07/19/20,Tottenham,Leicester City
68,Ben Davies,33.0,wal WAL,LB,90,22,34,64.7,433,195,0,2,0.0,18,20,90.0,4,12,33.3,0,0.0,0,1,0,0,3,07/19/20,Tottenham,Leicester City
69,Toby Alderweireld,4.0,be BEL,CB,90,17,25,68.0,434,72,0,1,0.0,9,11,81.8,8,13,61.5,0,0.0,0,0,0,0,0,07/19/20,Tottenham,Leicester City
70,Davinson Sanchez,6.0,co COL,CB,90,23,29,79.3,571,152,0,1,0.0,11,12,91.7,12,16,75.0,0,0.0,0,0,0,0,1,07/19/20,Tottenham,Leicester City
71,Serge Aurier,24.0,ci CIV,RB,90,35,45,77.8,604,263,0,4,0.0,31,34,91.2,4,7,57.1,0,0.0,0,1,0,0,5,07/19/20,Tottenham,Leicester City
72,Hugo Lloris,1.0,fr FRA,GK,90,14,25,56.0,622,360,0,0,,3,3,100.0,11,22,50.0,0,0.0,0,0,0,0,0,07/19/20,Tottenham,Leicester City
73,Jamie Vardy,9.0,eng ENG,FW,90,9,17,52.9,95,7,0,3,0.0,9,14,64.3,0,0,,0,0.0,0,0,0,0,0,07/19/20,Leicester City,Tottenham
74,Harvey Barnes,15.0,eng ENG,LW,82,40,44,90.9,643,118,2,3,66.7,34,36,94.4,4,5,80.0,0,0.1,1,2,2,1,6,07/19/20,Leicester City,Tottenham
75,George Hirst,45.0,eng ENG,LW,8,4,6,66.7,34,16,0,0,,4,6,66.7,0,0,,0,0.0,0,1,0,0,0,07/19/20,Leicester City,Tottenham
76,Ayoze Perez,17.0,es ESP,RW,58,21,22,95.5,293,45,0,0,,20,20,100.0,1,2,50.0,0,0.2,1,1,0,0,1,07/19/20,Leicester City,Tottenham
77,Kelechi Iheanacho,14.0,ng NGA,RW,32,12,13,92.3,151,38,1,1,100.0,10,10,100.0,1,2,50.0,0,0.0,1,1,0,0,1,07/19/20,Leicester City,Tottenham
78,Youri Tielemans,8.0,be BEL,CM,69,40,62,64.5,819,175,0,1,0.0,29,37,78.4,11,24,45.8,0,0.2,4,4,0,0,6,07/19/20,Leicester City,Tottenham
79,Dennis Praet,26.0,be BEL,CM,21,14,17,82.4,227,55,0,1,0.0,12,14,85.7,2,2,100.0,0,0.0,0,0,0,0,2,07/19/20,Leicester City,Tottenham
80,Wilfred Ndidi,25.0,ng NGA,CM,69,52,57,91.2,1033,178,2,2,100.0,37,41,90.2,13,14,92.9,0,0.0,0,4,0,0,1,07/19/20,Leicester City,Tottenham
81,Nampalys Mendy,24.0,fr FRA,CM,21,23,26,88.5,399,86,0,0,,19,20,95.0,4,6,66.7,0,0.0,1,5,0,0,0,07/19/20,Leicester City,Tottenham
82,Luke Thomas,56.0,eng ENG,WB,90,64,77,83.1,1163,310,1,2,50.0,50,59,84.7,13,16,81.3,0,0.3,3,4,5,4,11,07/19/20,Leicester City,Tottenham
83,James Justin,2.0,eng ENG,"WB,CB",90,70,82,85.4,1135,309,0,3,0.0,62,66,93.9,8,13,61.5,0,0.1,2,9,2,2,10,07/19/20,Leicester City,Tottenham
84,Jonny Evans,6.0,nir NIR,CB,90,104,111,93.7,2266,719,1,1,100.0,65,68,95.6,38,42,90.5,0,0.1,2,19,1,0,13,07/19/20,Leicester City,Tottenham
85,Wes Morgan,5.0,jm JAM,CB,90,79,81,97.5,1582,401,0,0,,66,68,97.1,13,13,100.0,0,0.0,0,1,0,0,5,07/19/20,Leicester City,Tottenham
86,Ryan Bennett,29.0,eng ENG,CB,45,40,42,95.2,741,266,2,2,100.0,32,32,100.0,6,8,75.0,0,0.0,0,5,0,0,1,07/19/20,Leicester City,Tottenham
87,Demarai Gray,7.0,eng ENG,"WB,CB",45,36,39,92.3,690,131,0,1,0.0,29,29,100.0,7,9,77.8,0,0.1,3,2,1,0,4,07/19/20,Leicester City,Tottenham
88,Kasper Schmeichel,1.0,dk DEN,GK,90,20,23,87.0,507,295,0,0,,10,10,100.0,10,13,76.9,0,0.0,0,0,0,0,0,07/19/20,Leicester City,Tottenham
89,David McGoldrick,17.0,ie IRL,FW,90,29,37,78.4,565,61,0,4,0.0,21,23,91.3,8,10,80.0,0,0.0,0,2,0,0,3,07/20/20,Sheffield Utd,Everton
90,Oliver McBurnie,9.0,sco SCO,FW,59,7,12,58.3,118,8,0,2,0.0,7,10,70.0,0,0,,0,0.0,0,0,0,0,0,07/20/20,Sheffield Utd,Everton
91,John Fleck,4.0,sco SCO,FW,31,21,26,80.8,392,174,0,1,0.0,17,18,94.4,4,7,57.1,0,0.1,1,1,3,1,6,07/20/20,Sheffield Utd,Everton
92,Ben Osborn,23.0,eng ENG,CM,59,19,29,65.5,274,61,2,4,50.0,15,18,83.3,2,7,28.6,0,0.0,0,2,0,0,1,07/20/20,Sheffield Utd,Everton
93,Billy Sharp,10.0,eng ENG,CM,31,4,4,100.0,51,15,0,0,,4,4,100.0,0,0,,0,0.0,0,0,1,0,1,07/20/20,Sheffield Utd,Everton
94,Sander Berge,32.0,no NOR,CM,90,45,52,86.5,814,213,0,1,0.0,36,40,90.0,9,11,81.8,0,0.1,1,3,2,1,4,07/20/20,Sheffield Utd,Everton
95,Oliver Norwood,16.0,nir NIR,DM,68,31,43,72.1,702,172,1,1,100.0,20,22,90.9,10,20,50.0,0,0.0,0,6,0,0,3,07/20/20,Sheffield Utd,Everton
96,John Lundstram,7.0,eng ENG,DM,22,15,21,71.4,318,54,0,0,,10,15,66.7,5,6,83.3,0,0.0,0,0,0,0,0,07/20/20,Sheffield Utd,Everton
97,Enda Stevens,3.0,ie IRL,WB,90,46,60,76.7,853,228,0,2,0.0,37,43,86.0,9,15,60.0,0,0.1,1,3,1,0,7,07/20/20,Sheffield Utd,Everton
98,George Baldock,2.0,eng ENG,WB,90,46,54,85.2,858,370,0,2,0.0,38,43,88.4,8,9,88.9,0,0.1,2,3,3,1,10,07/20/20,Sheffield Utd,Everton
99,Jack O'Connell,5.0,eng ENG,CB,90,47,61,77.0,1295,589,0,2,0.0,27,29,93.1,20,30,66.7,0,0.0,0,6,1,0,8,07/20/20,Sheffield Utd,Everton
100,John Egan,12.0,ie IRL,CB,90,31,41,75.6,689,195,1,2,50.0,20,21,95.2,10,18,55.6,0,0.0,0,2,0,0,2,07/20/20,Sheffield Utd,Everton
101,Chris Basham,6.0,eng ENG,CB,82,36,43,83.7,793,252,0,0,,26,29,89.7,10,14,71.4,0,0.0,1,4,1,0,4,07/20/20,Sheffield Utd,Everton
102,Richairo Zivkovic,30.0,nl NED,CB,8,1,1,100.0,11,3,0,0,,1,1,100.0,0,0,,0,0.0,0,0,0,0,0,07/20/20,Sheffield Utd,Everton
103,Dean Henderson,1.0,eng ENG,GK,90,8,20,40.0,365,302,0,0,,3,3,100.0,5,17,29.4,0,0.0,0,0,0,0,0,07/20/20,Sheffield Utd,Everton
104,Richarlison,7.0,br BRA,FW,90,17,30,56.7,247,82,0,3,0.0,17,21,81.0,0,6,0.0,0,0.0,0,1,0,0,2,07/20/20,Everton,Sheffield Utd
