,Player,#,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,Date,Team,Opponent
50,Pierre-Emile Hojbjerg,23.0,dk DEN,CM,14,0,0,0,0,1,0,0,0,13,1,0,0,0,0.1,0.1,0.0,1,0,9,12,75.0,49,9,7,0,0,07/19/20,Southampton,Bournemouth
51,James Ward-Prowse,16.0,eng ENG,CM,90,0,0,0,0,2,2,1,0,62,12,2,1,0,0.2,0.2,0.2,4,0,41,52,78.8,285,32,46,0,0,07/19/20,Southampton,Bournemouth
52,Stuart Armstrong,17.0,sco SCO,CM,90,0,0,0,0,2,0,0,0,44,12,2,0,1,0.1,0.1,0.1,4,1,24,34,70.6,117,34,136,1,2,07/19/20,Southampton,Bournemouth
53,Ryan Bertrand,21.0,eng ENG,LB,90,0,0,0,0,1,0,0,0,65,8,0,3,2,0.0,0.0,0.1,1,0,43,56,76.8,240,33,97,2,3,07/19/20,Southampton,Bournemouth
54,Jannik Vestergaard,4.0,dk DEN,CB,90,0,0,0,0,1,0,1,0,71,8,2,1,3,0.1,0.1,0.0,0,0,27,42,64.3,256,26,25,0,0,07/19/20,Southampton,Bournemouth
55,Jack Stephens,5.0,eng ENG,CB,90,0,0,0,0,0,0,0,0,54,8,4,2,3,0.0,0.0,0.0,0,0,30,38,78.9,238,24,31,0,0,07/19/20,Southampton,Bournemouth
56,Kyle Walker-Peters,24.0,eng ENG,RB,90,0,0,0,0,0,0,0,0,60,11,4,2,3,0.0,0.0,0.0,0,0,37,46,80.4,223,35,121,3,3,07/19/20,Southampton,Bournemouth
57,Alex McCarthy,1.0,eng ENG,GK,90,0,0,0,0,0,0,0,0,45,1,0,0,0,0.0,0.0,0.0,0,0,21,40,52.5,704,20,48,0,0,07/19/20,Southampton,Bournemouth
58,Harry Kane,10.0,eng ENG,FW,90,2,0,0,0,4,2,0,0,23,3,1,0,1,0.3,0.3,0.1,1,0,6,12,50.0,78,14,51,0,0,07/19/20,Tottenham,Leicester City
59,Son Heung-Min,7.0,kr KOR,LW,88,0,0,0,0,2,1,0,0,28,7,0,0,1,0.1,0.1,0.0,2,1,12,15,80.0,49,21,131,2,2,07/19/20,Tottenham,Leicester City
