,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Date,Team,Opponent
5686,James McArthur,18.0,sco SCO,CM,31-087,90,0,0,0,0,0,0,0,2,4,0,0,0,12,4,2,66.7,01/02/19,Crystal Palace,Wolves
5687,Cheikhou KouyatÃ©,8.0,sn SEN,CM,29-012,90,0,0,0,2,1,0,2,0,0,0,0,0,10,3,3,50.0,01/02/19,Crystal Palace,Wolves
5688,Luka MilivojeviÄ,4.0,rs SRB,DM,27-270,90,1,0,0,2,0,0,0,2,1,0,0,0,12,2,3,40.0,01/02/19,Crystal Palace,Wolves
5689,Patrick van Aanholt,3.0,nl NED,LB,28-126,90,0,0,0,0,1,0,1,2,0,0,0,0,13,0,0,,01/02/19,Crystal Palace,Wolves
5690,Mamadou Sakho,12.0,fr FRA,CB,28-323,90,0,0,0,0,1,0,0,1,0,0,0,0,16,1,1,50.0,01/02/19,Crystal Palace,Wolves
5691,James Tomkins,5.0,eng ENG,CB,29-279,90,0,0,0,1,0,0,0,2,0,0,0,0,11,2,2,50.0,01/02/19,Crystal Palace,Wolves
5692,Aaron Wan-Bissaka,29.0,eng ENG,RB,21-037,90,0,0,0,0,0,0,1,2,1,0,0,0,9,1,2,33.3,01/02/19,Crystal Palace,Wolves
5693,Vicente Guaita,31.0,es ESP,GK,31-357,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,01/02/19,Crystal Palace,Wolves
5694,Steve MouniÃ©,24.0,bj BEN,FW,24-095,90,0,0,0,1,1,0,0,0,1,0,0,0,4,8,8,50.0,01/02/19,Huddersfield,Burnley
5695,Isaac Mbenza,18.0,be BEL,"LW,RW,RM",22-300,90,0,0,0,0,2,0,4,0,0,0,0,0,10,1,0,100.0,01/02/19,Huddersfield,Burnley
5696,Elias Kachunga,9.0,cd COD,"RW,LW,LM",26-255,90,0,0,0,3,2,0,1,2,2,0,0,0,6,0,5,0.0,01/02/19,Huddersfield,Burnley
5697,Alex Pritchard,21.0,eng ENG,AM,25-244,43,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0.0,01/02/19,Huddersfield,Burnley
5698,Erik Durm,37.0,de GER,"LB,RB,AM",26-235,39,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,,01/02/19,Huddersfield,Burnley
5699,Laurent Depoitre,20.0,be BEL,"FW,RB",30-026,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,01/02/19,Huddersfield,Burnley
5700,Philip Billing,8.0,dk DEN,CM,22-205,90,0,0,0,2,1,0,5,1,5,0,0,0,11,3,1,75.0,01/02/19,Huddersfield,Burnley
5701,Jonathan Hogg,6.0,eng ENG,CM,30-027,90,0,0,0,1,0,0,1,1,1,0,0,0,26,4,0,100.0,01/02/19,Huddersfield,Burnley
5702,Terence Kongolo,5.0,nl NED,"CB,LB",24-322,90,0,0,0,0,1,0,0,3,2,0,0,0,11,5,0,100.0,01/02/19,Huddersfield,Burnley
5703,Christopher Schindler,26.0,de GER,"DM,CB",28-248,40,1,1,1,2,0,0,0,0,1,0,0,0,9,4,1,80.0,01/02/19,Huddersfield,Burnley
5704,Mathias JÃ¸rgensen,25.0,dk DEN,CB,28-254,90,0,0,0,1,0,0,0,1,1,0,0,0,10,2,2,50.0,01/02/19,Huddersfield,Burnley
5705,Florent Hadergjonaj,33.0,xk KVX,RB,24-155,70,0,0,0,1,1,0,1,0,1,0,0,0,8,3,0,100.0,01/02/19,Huddersfield,Burnley
5706,Chris LÃ¶we,15.0,de GER,"LB,CB,RB",29-261,20,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,,01/02/19,Huddersfield,Burnley
5707,Jonas LÃ¶ssl,1.0,dk DEN,GK,29-335,90,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,01/02/19,Huddersfield,Burnley
5708,Ashley Barnes,10.0,eng ENG,FW,29-064,89,0,0,0,2,3,0,0,0,1,0,0,0,8,1,13,7.1,01/02/19,Burnley,Huddersfield
5709,Jeff Hendrick,13.0,ie IRL,FW,26-336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,01/02/19,Burnley,Huddersfield
5710,Chris Wood,11.0,nz NZL,FW,27-026,90,1,0,0,0,1,0,0,0,1,0,0,0,4,2,2,50.0,01/02/19,Burnley,Huddersfield
5711,Dwight McNeil,31.0,eng ENG,LM,19-041,62,0,0,0,0,1,0,4,1,0,0,0,0,8,1,2,33.3,01/02/19,Burnley,Huddersfield
5712,Robbie Brady,12.0,ie IRL,LM,26-353,27,0,1,0,3,1,0,4,0,0,0,0,0,3,0,0,,01/02/19,Burnley,Huddersfield
5713,Jack Cork,4.0,eng ENG,CM,29-191,90,0,0,0,0,2,0,0,1,0,0,0,0,12,3,2,60.0,01/02/19,Burnley,Huddersfield
5714,Ashley Westwood,18.0,eng ENG,CM,28-276,90,0,0,0,0,0,0,0,1,0,0,0,0,12,1,0,100.0,01/02/19,Burnley,Huddersfield
5715,JÃ³hann Berg GuÃ°mundsson,7.0,is ISL,RM,28-067,90,0,0,0,0,1,1,1,1,0,0,0,0,4,0,2,0.0,01/02/19,Burnley,Huddersfield
5716,Charlie Taylor,3.0,eng ENG,LB,25-106,90,0,0,0,2,1,1,2,4,0,0,0,0,7,3,3,50.0,01/02/19,Burnley,Huddersfield
5717,Ben Mee,6.0,eng ENG,CB,29-101,90,1,0,0,1,0,0,0,0,1,0,0,0,28,5,1,83.3,01/02/19,Burnley,Huddersfield
5718,James Tarkowski,5.0,eng ENG,CB,26-044,90,0,0,0,0,1,0,1,0,1,0,0,0,21,3,4,42.9,01/02/19,Burnley,Huddersfield
5719,Phil Bardsley,26.0,sco SCO,RB,33-188,58,1,0,0,1,0,0,1,1,0,0,0,0,6,0,1,0.0,01/02/19,Burnley,Huddersfield
5720,Matthew Lowton,2.0,eng ENG,RB,29-207,32,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,01/02/19,Burnley,Huddersfield
5721,Tom Heaton,1.0,eng ENG,GK,32-262,90,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,01/02/19,Burnley,Huddersfield
5722,Joshua King,17.0,no NOR,FW,26-352,90,0,0,0,3,3,0,0,1,1,0,0,0,3,0,6,0.0,01/02/19,Bournemouth,Watford
5723,Callum Wilson,13.0,eng ENG,FW,26-309,80,0,0,0,1,1,1,0,0,0,0,0,0,2,2,3,40.0,01/02/19,Bournemouth,Watford
5724,Jordon Ibe,10.0,eng ENG,"LW,FW",23-025,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,01/02/19,Bournemouth,Watford
5725,Ryan Fraser,24.0,sco SCO,LW,24-312,81,0,0,0,0,3,0,1,0,0,0,0,0,6,0,1,0.0,01/02/19,Bournemouth,Watford
5726,Lys Mousset,9.0,fr FRA,FW,22-328,9,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,,01/02/19,Bournemouth,Watford
5727,David Brooks,20.0,wal WAL,RW,21-178,90,0,0,0,0,3,0,2,0,1,0,0,0,8,0,0,,01/02/19,Bournemouth,Watford
5728,Jefferson Lerma,8.0,co COL,CM,24-069,90,0,0,0,0,0,0,1,1,1,0,0,0,22,2,1,66.7,01/02/19,Bournemouth,Watford
5729,Dan Gosling,4.0,eng ENG,CM,28-335,90,1,0,0,2,2,0,0,1,2,0,0,0,23,2,3,40.0,01/02/19,Bournemouth,Watford
5730,Charlie Daniels,11.0,eng ENG,LB,32-117,90,0,0,0,0,2,0,2,1,1,0,0,0,12,1,1,50.0,01/02/19,Bournemouth,Watford
5731,Nathan AkÃ©,5.0,nl NED,CB,23-318,90,0,0,0,0,1,0,0,0,1,0,0,0,15,5,2,71.4,01/02/19,Bournemouth,Watford
5732,Steve Cook,3.0,eng ENG,CB,27-258,90,0,0,0,1,0,0,1,1,1,0,0,0,16,9,4,69.2,01/02/19,Bournemouth,Watford
5733,Junior Stanislas,19.0,eng ENG,RB,29-037,90,0,0,0,0,0,1,2,2,0,0,0,0,15,1,0,100.0,01/02/19,Bournemouth,Watford
5734,Asmir BegoviÄ,27.0,ba BIH,GK,31-196,90,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,01/02/19,Bournemouth,Watford
5735,Troy Deeney,9.0,eng ENG,FW,30-187,90,1,0,0,2,1,1,0,1,0,0,0,0,1,8,11,42.1,01/02/19,Watford,Bournemouth
5736,Gerard Deulofeu,7.0,es ESP,FW,24-295,89,0,0,0,1,0,1,0,0,0,0,0,0,3,0,1,0.0,01/02/19,Watford,Bournemouth
5737,Isaac Success,10.0,ng NGA,FW,22-360,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,01/02/19,Watford,Bournemouth
5738,Roberto Pereyra,37.0,ar ARG,LW,27-360,90,0,0,0,0,1,0,2,2,0,0,0,0,9,0,0,,01/02/19,Watford,Bournemouth
5739,Ken Sema,12.0,se SWE,RW,25-094,70,0,0,0,1,0,0,1,0,0,0,0,0,4,2,2,50.0,01/02/19,Watford,Bournemouth
5740,Will Hughes,19.0,eng ENG,RW,23-260,20,0,0,0,0,0,0,1,2,1,0,0,0,4,1,0,100.0,01/02/19,Watford,Bournemouth
5741,Ãtienne Capoue,29.0,fr FRA,CM,30-175,90,1,0,0,4,3,0,0,1,2,0,0,0,10,2,1,66.7,01/02/19,Watford,Bournemouth
5742,Abdoulaye DoucourÃ©,16.0,fr FRA,CM,26-001,55,1,0,0,2,0,0,1,0,0,0,0,0,13,0,0,,01/02/19,Watford,Bournemouth
5743,Tom Cleverley,8.0,eng ENG,CM,29-143,35,0,0,0,1,1,0,0,1,3,0,0,0,4,0,1,0.0,01/02/19,Watford,Bournemouth
5744,JosÃ© Holebas,25.0,gr GRE,LB,34-189,90,1,0,0,0,0,0,1,1,2,0,0,0,8,2,2,50.0,01/02/19,Watford,Bournemouth
5745,Craig Cathcart,15.0,nir NIR,CB,29-330,90,0,0,0,3,1,0,0,1,2,0,0,0,10,2,1,66.7,01/02/19,Watford,Bournemouth
5746,Adrian Mariappa,6.0,jm JAM,CB,32-091,90,0,0,0,0,1,0,1,3,2,0,0,0,4,4,1,80.0,01/02/19,Watford,Bournemouth
5747,Kiko FemenÃ­a,21.0,es ESP,RB,27-334,90,0,0,0,1,0,0,1,4,2,0,0,0,8,0,0,,01/02/19,Watford,Bournemouth
5748,Ben Foster,26.0,eng ENG,GK,35-274,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,01/02/19,Watford,Bournemouth
5749,SalomÃ³n RondÃ³n,9.0,ve VEN,FW,29-108,90,0,0,0,0,0,0,1,0,0,0,0,0,7,4,7,36.4,01/02/19,Newcastle Utd,Manchester Utd
5750,Christian Atsu,30.0,gh GHA,LM,26-357,90,0,0,0,1,1,0,2,0,0,0,0,0,10,0,3,0.0,01/02/19,Newcastle Utd,Manchester Utd
5751,Ayoze PÃ©rez,17.0,es ESP,RM,25-163,68,0,0,0,1,1,0,0,1,3,0,0,0,10,0,0,,01/02/19,Newcastle Utd,Manchester Utd
5752,Kenedy,15.0,br BRA,RM,22-328,22,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,,01/02/19,Newcastle Utd,Manchester Utd
5753,Mohamed DiamÃ©,10.0,sn SEN,DM,31-202,52,0,0,0,0,0,0,1,0,2,0,0,0,7,0,2,0.0,01/02/19,Newcastle Utd,Manchester Utd
5754,Jonjo Shelvey,8.0,eng ENG,DM,26-309,38,0,0,0,2,0,0,1,0,0,0,0,0,5,1,0,100.0,01/02/19,Newcastle Utd,Manchester Utd
5755,Isaac Hayden,14.0,eng ENG,DM,23-286,90,0,0,0,1,0,0,1,1,3,0,0,0,11,1,3,25.0,01/02/19,Newcastle Utd,Manchester Utd
5756,Matt Ritchie,11.0,sco SCO,LB,29-114,90,0,0,0,1,1,0,3,0,1,0,0,0,7,0,0,,01/02/19,Newcastle Utd,Manchester Utd
5757,Paul Dummett,3.0,wal WAL,CB,27-098,90,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,,01/02/19,Newcastle Utd,Manchester Utd
5758,Jamaal Lascelles,6.0,eng ENG,CB,25-052,90,1,0,0,1,0,0,0,2,1,0,0,0,10,1,2,33.3,01/02/19,Newcastle Utd,Manchester Utd
5759,Fabian SchÃ¤r,5.0,ch SUI,CB,27-013,80,0,0,0,1,1,0,0,2,2,0,0,0,6,1,1,50.0,01/02/19,Newcastle Utd,Manchester Utd
5760,Yoshinori MutÅ,13.0,jp JPN,"FW,CB",26-171,10,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0.0,01/02/19,Newcastle Utd,Manchester Utd
5761,DeAndre Yedlin,22.0,us USA,RB,25-177,90,0,0,0,2,1,0,1,0,2,0,0,0,9,1,0,100.0,01/02/19,Newcastle Utd,Manchester Utd
5762,Martin DÃºbravka,12.0,sk SVK,GK,29-352,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,01/02/19,Newcastle Utd,Manchester Utd
5763,Marcus Rashford,10.0,eng ENG,"FW,RW",21-063,86,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,50.0,01/02/19,Manchester Utd,Newcastle Utd
5764,Jesse Lingard,14.0,eng ENG,RW,26-018,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,01/02/19,Manchester Utd,Newcastle Utd
5765,Anthony Martial,11.0,fr FRA,LW,23-028,62,0,0,0,0,1,0,3,0,0,0,0,0,1,0,1,0.0,01/02/19,Manchester Utd,Newcastle Utd
5766,Romelu Lukaku,9.0,be BEL,FW,25-234,28,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,100.0,01/02/19,Manchester Utd,Newcastle Utd
5767,Juan Mata,8.0,es ESP,RW,30-249,62,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,,01/02/19,Manchester Utd,Newcastle Utd
5768,Alexis SÃ¡nchez,7.0,cl CHI,LW,30-014,28,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,,01/02/19,Manchester Utd,Newcastle Utd
5769,Paul Pogba,6.0,fr FRA,AM,25-293,90,0,0,0,0,4,0,1,0,1,0,0,0,9,0,2,0.0,01/02/19,Manchester Utd,Newcastle Utd
5770,Nemanja MatiÄ,31.0,rs SRB,DM,30-154,90,0,0,0,0,0,0,0,1,0,0,0,0,20,5,0,100.0,01/02/19,Manchester Utd,Newcastle Utd
5771,Ander Herrera,21.0,es ESP,DM,29-141,90,0,0,0,1,2,0,0,0,3,0,0,0,9,0,0,,01/02/19,Manchester Utd,Newcastle Utd
5772,Luke Shaw,23.0,eng ENG,LB,23-174,90,1,0,0,4,1,0,0,1,2,0,0,0,9,0,1,0.0,01/02/19,Manchester Utd,Newcastle Utd
5773,Phil Jones,4.0,eng ENG,CB,26-315,90,0,0,0,0,0,0,1,1,1,0,0,0,10,4,2,66.7,01/02/19,Manchester Utd,Newcastle Utd
5774,Victor LindelÃ¶f,2.0,se SWE,CB,24-169,90,1,0,0,1,0,0,0,0,1,0,0,0,9,6,2,75.0,01/02/19,Manchester Utd,Newcastle Utd
5775,Antonio Valencia,25.0,ec ECU,RB,33-151,90,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,100.0,01/02/19,Manchester Utd,Newcastle Utd
5776,David de Gea,1.0,es ESP,GK,28-056,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,01/02/19,Manchester Utd,Newcastle Utd
5777,Sergio AgÃ¼ero,10.0,ar ARG,FW,30-215,90,0,0,0,0,1,1,0,1,0,0,0,0,3,4,1,80.0,01/03/19,Manchester City,Liverpool
5778,Leroy SanÃ©,19.0,de GER,LW,22-357,90,0,0,0,1,1,1,4,0,1,0,0,0,7,1,0,100.0,01/03/19,Manchester City,Liverpool
5779,Raheem Sterling,7.0,eng ENG,RW,24-026,90,0,0,0,0,2,0,1,1,0,0,0,0,11,0,1,0.0,01/03/19,Manchester City,Liverpool
5780,David Silva,21.0,es ESP,CM,32-360,64,0,0,0,2,0,0,2,0,0,0,0,0,6,1,0,100.0,01/03/19,Manchester City,Liverpool
5781,Ä°lkay GÃ¼ndoÄan,8.0,de GER,CM,28-071,26,0,0,0,1,0,0,0,1,0,0,0,0,2,2,1,66.7,01/03/19,Manchester City,Liverpool
5782,Bernardo Silva,20.0,pt POR,CM,24-146,90,1,0,0,4,0,0,1,4,3,0,0,0,12,0,0,,01/03/19,Manchester City,Liverpool
5783,Fernandinho,25.0,br BRA,DM,33-244,90,0,0,0,1,1,0,0,1,6,0,0,0,18,2,0,100.0,01/03/19,Manchester City,Liverpool
5784,Aymeric Laporte,14.0,fr FRA,LB,24-221,85,1,0,0,1,0,0,1,0,0,0,0,0,12,0,0,,01/03/19,Manchester City,Liverpool
5785,Kyle Walker,2.0,eng ENG,LB,28-220,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0,01/03/19,Manchester City,Liverpool
5786,Vincent Kompany,4.0,be BEL,CB,32-268,87,1,0,0,1,0,0,0,1,2,0,0,0,11,1,0,100.0,01/03/19,Manchester City,Liverpool
5787,NicolÃ¡s Otamendi,30.0,ar ARG,CB,30-325,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0,01/03/19,Manchester City,Liverpool
5788,John Stones,5.0,eng ENG,CB,24-220,90,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,100.0,01/03/19,Manchester City,Liverpool
5789,Danilo,3.0,br BRA,RB,27-172,90,0,0,0,1,1,0,1,2,0,0,0,0,9,1,0,100.0,01/03/19,Manchester City,Liverpool
5790,Ederson,31.0,br BRA,GK,25-139,90,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,01/03/19,Manchester City,Liverpool
5791,Roberto Firmino,9.0,br BRA,"FW,AM,LW",27-093,90,0,0,0,1,0,0,0,0,1,0,0,0,7,0,4,0.0,01/03/19,Liverpool,Manchester City
5792,Sadio ManÃ©,10.0,sn SEN,"LW,RW",26-268,76,0,0,0,3,6,1,0,1,0,0,0,0,4,0,0,,01/03/19,Liverpool,Manchester City
5793,Xherdan Shaqiri,23.0,ch SUI,RW,27-085,14,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,01/03/19,Liverpool,Manchester City
5794,Mohamed Salah,11.0,eg EGY,"RW,FW",26-202,90,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,,01/03/19,Liverpool,Manchester City
5795,James Milner,7.0,eng ENG,CM,32-364,56,0,0,0,0,1,0,1,2,0,0,0,0,8,0,1,0.0,01/03/19,Liverpool,Manchester City
5796,Fabinho,3.0,br BRA,DM,25-072,34,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0,01/03/19,Liverpool,Manchester City
5797,Georginio Wijnaldum,5.0,nl NED,"CM,LW",28-053,85,1,0,0,1,1,0,0,0,2,0,0,0,11,0,1,0.0,01/03/19,Liverpool,Manchester City
5798,Daniel Sturridge,15.0,eng ENG,"AM,LW",29-124,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,01/03/19,Liverpool,Manchester City
5799,Jordan Henderson,14.0,eng ENG,DM,28-200,90,0,0,0,0,0,0,0,0,1,0,0,0,14,0,1,0.0,01/03/19,Liverpool,Manchester City
5800,Andrew Robertson,26.0,sco SCO,LB,24-298,90,0,0,0,0,0,0,3,1,4,0,0,0,8,1,2,33.3,01/03/19,Liverpool,Manchester City
5801,Virgil van Dijk,4.0,nl NED,CB,27-179,90,0,0,0,0,2,0,1,1,1,0,0,0,11,2,1,66.7,01/03/19,Liverpool,Manchester City
5802,Dejan Lovren,6.0,hr CRO,CB,29-182,90,1,0,0,1,0,0,0,2,0,0,0,0,17,1,4,20.0,01/03/19,Liverpool,Manchester City
5803,Trent Alexander-Arnold,66.0,eng ENG,RB,20-088,90,0,0,0,0,0,0,4,4,2,0,0,0,9,0,1,0.0,01/03/19,Liverpool,Manchester City
5804,Alisson,13.0,br BRA,GK,26-093,90,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,01/03/19,Liverpool,Manchester City
5805,Marko ArnautoviÄ,7.0,at AUT,FW,29-268,70,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,,01/12/19,West Ham,Arsenal
5806,Andy Carroll,9.0,eng ENG,FW,30-006,20,0,0,0,1,1,1,0,0,0,0,0,0,1,2,0,100.0,01/12/19,West Ham,Arsenal
5807,Felipe Anderson,8.0,br BRA,LW,25-272,90,0,0,0,1,1,0,3,0,2,0,0,0,7,0,1,0.0,01/12/19,West Ham,Arsenal
5808,Michail Antonio,30.0,eng ENG,RW,28-290,81,0,0,0,0,2,1,0,0,0,0,0,0,4,0,2,0.0,01/12/19,West Ham,Arsenal
5809,Pedro Obiang,14.0,gq EQG,RW,26-291,9,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,01/12/19,West Ham,Arsenal
5810,Samir Nasri,18.0,fr FRA,AM,31-200,70,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,,01/12/19,West Ham,Arsenal
5811,Robert Snodgrass,11.0,sco SCO,AM,31-127,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,01/12/19,West Ham,Arsenal
5812,Declan Rice,41.0,eng ENG,DM,19-363,90,0,0,0,0,1,0,0,3,3,0,0,0,13,2,1,66.7,01/12/19,West Ham,Arsenal
5813,Mark Noble,16.0,eng ENG,DM,31-249,90,0,0,0,2,1,0,0,1,1,0,0,0,9,0,0,,01/12/19,West Ham,Arsenal
5814,Aaron Cresswell,3.0,eng ENG,LB,29-028,90,0,0,0,0,0,0,2,1,2,0,0,0,8,1,0,100.0,01/12/19,West Ham,Arsenal
5815,Angelo Ogbonna,21.0,it ITA,CB,30-234,90,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,100.0,01/12/19,West Ham,Arsenal
5816,Issa Diop,23.0,fr FRA,CB,22-003,90,0,0,0,0,1,0,0,1,1,0,0,0,10,0,1,0.0,01/12/19,West Ham,Arsenal
5817,Pablo Zabaleta,5.0,ar ARG,RB,33-361,90,0,0,0,0,1,0,1,5,0,0,0,0,4,0,1,0.0,01/12/19,West Ham,Arsenal
5818,Åukasz FabiaÅski,1.0,pl POL,GK,33-269,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,01/12/19,West Ham,Arsenal
5819,Alexandre Lacazette,9.0,fr FRA,FW,27-229,90,0,0,0,4,1,1,1,0,0,0,0,0,6,3,0,100.0,01/12/19,Arsenal,West Ham
5820,Alex Iwobi,17.0,ng NGA,"AM,LW",22-254,90,0,0,0,0,0,0,3,1,1,0,0,0,2,0,1,0.0,01/12/19,Arsenal,West Ham
5821,Pierre-Emerick Aubameyang,14.0,ga GAB,"AM,RW",29-208,90,0,0,0,2,0,0,1,1,0,0,0,0,1,1,0,100.0,01/12/19,Arsenal,West Ham
5822,Granit Xhaka,34.0,ch SUI,DM,26-107,58,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,,01/12/19,Arsenal,West Ham
5823,Lucas Torreira,11.0,uy URU,DM,22-335,32,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,01/12/19,Arsenal,West Ham
5824,MattÃ©o Guendouzi,29.0,fr FRA,DM,19-273,90,0,0,0,0,3,0,0,1,0,0,0,0,9,0,0,,01/12/19,Arsenal,West Ham
5825,Sead KolaÅ¡inac,31.0,ba BIH,"WB,LB",25-206,90,1,0,0,2,0,2,2,0,0,0,0,0,7,0,0,,01/12/19,Arsenal,West Ham
5826,Ainsley Maitland-Niles,15.0,eng ENG,"WB,RB",21-136,68,0,0,0,0,0,0,0,2,3,0,0,0,3,0,1,0.0,01/12/19,Arsenal,West Ham
5827,HÃ©ctor BellerÃ­n,2.0,es ESP,RB,23-299,22,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,,01/12/19,Arsenal,West Ham
5828,Laurent Koscielny,6.0,fr FRA,CB,33-124,90,0,0,0,1,1,0,0,1,2,0,0,0,11,1,1,50.0,01/12/19,Arsenal,West Ham
5829,Sokratis Papastathopoulos,5.0,gr GRE,CB,30-217,90,0,0,0,1,0,0,0,0,0,0,0,0,7,0,1,0.0,01/12/19,Arsenal,West Ham
5830,Shkodran Mustafi,20.0,de GER,CB,26-270,58,1,0,0,1,0,0,0,1,0,0,0,0,7,1,1,50.0,01/12/19,Arsenal,West Ham
5831,Aaron Ramsey,8.0,wal WAL,AM,28-017,32,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0.0,01/12/19,Arsenal,West Ham
5832,Bernd Leno,19.0,de GER,GK,26-314,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,01/12/19,Arsenal,West Ham
5833,Glenn Murray,17.0,eng ENG,FW,35-109,65,0,0,0,1,1,2,0,0,0,0,0,0,1,3,5,37.5,01/12/19,Brighton,Liverpool
5834,Florin Andone,10.0,ro ROU,FW,25-276,25,0,0,0,1,1,0,0,0,0,0,0,0,5,0,2,0.0,01/12/19,Brighton,Liverpool
5835,JÃ¼rgen Locadia,9.0,nl NED,LW,25-066,90,0,0,0,0,0,2,2,1,0,0,0,0,3,2,2,50.0,01/12/19,Brighton,Liverpool
5836,Solly March,20.0,eng ENG,RW,24-176,65,0,0,0,1,0,0,1,0,1,0,0,0,2,0,2,0.0,01/12/19,Brighton,Liverpool
5837,Anthony Knockaert,11.0,fr FRA,RW,27-053,25,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,,01/12/19,Brighton,Liverpool
5838,Davy PrÃ¶pper,24.0,nl NED,AM,27-132,90,0,0,0,1,1,0,0,2,0,0,0,0,10,0,0,,01/12/19,Brighton,Liverpool
5839,Pascal GroÃ,13.0,de GER,AM,27-211,78,0,0,0,1,1,0,4,0,0,0,1,0,6,0,0,,01/12/19,Brighton,Liverpool
5840,Beram Kayal,7.0,il ISR,AM,30-255,12,0,0,0,0,0,0,0,0,2,0,0,0,3,2,1,66.7,01/12/19,Brighton,Liverpool
5841,Dale Stephens,6.0,eng ENG,DM,29-214,90,0,0,0,4,1,0,0,0,2,0,0,0,16,0,0,,01/12/19,Brighton,Liverpool
5842,GaÃ«tan Bong,3.0,cm CMR,LB,30-262,90,0,0,0,1,0,0,3,0,1,0,0,0,8,1,0,100.0,01/12/19,Brighton,Liverpool
5843,Lewis Dunk,5.0,eng ENG,CB,27-052,90,0,0,0,1,0,0,0,1,2,0,0,0,19,2,0,100.0,01/12/19,Brighton,Liverpool
5844,Shane Duffy,4.0,ie IRL,CB,27-011,90,0,0,0,1,0,1,0,1,0,0,0,0,19,1,0,100.0,01/12/19,Brighton,Liverpool
5845,MartÃ­n Montoya,22.0,es ESP,RB,27-273,90,0,0,0,1,0,0,1,1,1,0,0,0,10,1,0,100.0,01/12/19,Brighton,Liverpool
5846,David Button,27.0,eng ENG,GK,29-319,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,01/12/19,Brighton,Liverpool
5847,Mohamed Salah,11.0,eg EGY,FW,26-211,89,0,0,0,0,2,0,0,0,1,1,0,0,4,0,1,0.0,01/12/19,Liverpool,Brighton
5848,Divock Origi,27.0,be BEL,FW,23-269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,01/12/19,Liverpool,Brighton
5849,Sadio ManÃ©,10.0,sn SEN,"LW,RW",26-277,89,0,0,0,1,1,0,1,2,0,0,0,0,6,0,1,0.0,01/12/19,Liverpool,Brighton
5850,Naby KeÃ¯ta,8.0,gn GUI,RW,23-336,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,01/12/19,Liverpool,Brighton
5851,Roberto Firmino,9.0,br BRA,"FW,LW",27-102,90,0,0,0,3,2,0,1,2,2,0,0,0,6,0,2,0.0,01/12/19,Liverpool,Brighton
