,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Date,Team,Opponent
93,Terence Kongolo,5.0,nl NED,CB,24-178,90,1,0,0,2,0,0,1,0,4,0,0,0,5,0,0,,08/11/2018,Huddersfield,Chelsea
94,Christopher Schindler,26.0,de GER,CB,28-104,90,1,0,0,1,0,0,0,1,1,0,1,0,6,1,1,50.0,08/11/2018,Huddersfield,Chelsea
95,Mathias JÃ¸rgensen,25.0,dk DEN,CB,28-110,90,0,0,0,1,0,0,0,1,2,0,0,0,8,0,0,,08/11/2018,Huddersfield,Chelsea
96,Ben Hamer,12.0,eng ENG,GK,30-264,90,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,08/11/2018,Huddersfield,Chelsea
97,Ãlvaro Morata,29.0,es ESP,FW,25-292,90,0,0,0,2,2,1,0,0,0,0,0,0,1,0,1,0.0,08/11/2018,Chelsea,Huddersfield
98,Willian,22.0,br BRA,LW,30-002,75,0,0,0,0,2,0,1,0,0,0,0,0,2,0,2,0.0,08/11/2018,Chelsea,Huddersfield
99,Eden Hazard,10.0,be BEL,LW,27-216,15,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,08/11/2018,Chelsea,Huddersfield
100,Pedro,11.0,es ESP,RW,31-014,80,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,,08/11/2018,Chelsea,Huddersfield
101,Victor Moses,15.0,ng NGA,RW,27-242,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,08/11/2018,Chelsea,Huddersfield
102,Ross Barkley,8.0,eng ENG,CM,24-249,67,0,0,0,2,1,0,0,1,1,0,0,0,3,1,0,100.0,08/11/2018,Chelsea,Huddersfield
103,Ruben Loftus-Cheek,12.0,eng ENG,CM,22-200,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,08/11/2018,Chelsea,Huddersfield
104,N'Golo KantÃ©,7.0,fr FRA,CM,27-135,90,0,0,0,0,0,0,1,2,0,0,0,0,5,0,0,,08/11/2018,Chelsea,Huddersfield
