,Pos,avg_war_won,total_war_won,pos_war_lost,total_war_lost,total_player_war
John Lundstram,D,0.008000000000000007,0.20000000000000018,-0.0040000000000000036,-0.052000000000000046,0.14800000000000013
Paul Pogba,M,0.020000000000000018,0.26000000000000023,-0.0050000000000000044,-0.1250000000000001,0.13500000000000012
James Tarkowski,D,0.0030000000000000027,0.1140000000000001,-0.0040000000000000036,-0.0,0.1140000000000001
Moussa Djenepo,M,0.025000000000000022,0.2500000000000002,-0.0050000000000000044,-0.14000000000000012,0.1100000000000001
Jack O'Connell,D,0.0040000000000000036,0.1280000000000001,-0.0040000000000000036,-0.02400000000000002,0.10400000000000009
Chris Basham,D,0.0030000000000000027,0.1080000000000001,-0.0040000000000000036,-0.008000000000000007,0.10000000000000009
Shane Duffy,D,0.015000000000000013,0.18000000000000016,-0.0040000000000000036,-0.10400000000000009,0.07600000000000007
Dele Alli,M,0.007000000000000006,0.14700000000000013,-0.0050000000000000044,-0.08500000000000008,0.062000000000000055
Nicolas Pepe,F,0.039000000000000035,0.8580000000000008,-0.04999999999999999,-0.7999999999999998,0.05800000000000094
Anwar El Ghazi,M,0.0050000000000000044,0.1200000000000001,-0.0050000000000000044,-0.07000000000000006,0.050000000000000044
Pierre-Emerick Aubameyang,F,0.009000000000000008,0.29700000000000026,-0.04999999999999999,-0.24999999999999994,0.04700000000000032
Jonny,D,0.0020000000000000018,0.06600000000000006,-0.0040000000000000036,-0.020000000000000018,0.04600000000000004
Sofiane Boufal,M,0.02300000000000002,0.18400000000000016,-0.0050000000000000044,-0.15000000000000013,0.03400000000000003
Richarlison,F,0.0030000000000000027,0.1080000000000001,-0.04999999999999999,-0.09999999999999998,0.008000000000000118
Gerard Deulofeu,F,0.026000000000000023,0.6500000000000006,-0.04999999999999999,-0.6499999999999999,6.661338147750939e-16
Naby Keita,M,0.016000000000000014,0.14400000000000013,-0.0050000000000000044,-0.14500000000000013,-0.0010000000000000009
Matt Ritchie,M,0.008000000000000007,0.1120000000000001,-0.0050000000000000044,-0.1200000000000001,-0.008000000000000007
Joel Matip,D,0.01200000000000001,0.09600000000000009,-0.0040000000000000036,-0.1200000000000001,-0.02400000000000002
Danny Ings,F,0.008000000000000007,0.2560000000000002,-0.04999999999999999,-0.29999999999999993,-0.043999999999999706
John Egan,D,-0.0010000000000000009,-0.03400000000000003,-0.0040000000000000036,-0.016000000000000014,-0.050000000000000044
Yerry Mina,D,0.0,0.0,-0.0040000000000000036,-0.052000000000000046,-0.052000000000000046
James Justin,D,0.0050000000000000044,0.05500000000000005,-0.0040000000000000036,-0.1080000000000001,-0.05300000000000005
Troy Deeney,F,0.02100000000000002,0.5460000000000005,-0.04999999999999999,-0.5999999999999999,-0.05399999999999938
Ryan Bertrand,D,-0.0010000000000000009,-0.031000000000000028,-0.0040000000000000036,-0.028000000000000025,-0.05900000000000005
Aaron Mooy,M,0.0,0.0,-0.0050000000000000044,-0.06500000000000006,-0.06500000000000006
Onel Hernandez,M,0.0030000000000000027,0.04200000000000004,-0.0050000000000000044,-0.1200000000000001,-0.07800000000000007
Jannik Vestergaard,D,0.0,0.0,-0.0040000000000000036,-0.08400000000000007,-0.08400000000000007
Todd Cantwell,M,-0.0020000000000000018,-0.06000000000000005,-0.0050000000000000044,-0.040000000000000036,-0.10000000000000009
Ondrej Duda,M,0.0040000000000000036,0.03600000000000003,-0.0050000000000000044,-0.14500000000000013,-0.1090000000000001
Enda Stevens,D,-0.0030000000000000027,-0.1080000000000001,-0.0040000000000000036,-0.008000000000000007,-0.1160000000000001
Dejan Lovren,D,0.0,0.0,-0.0040000000000000036,-0.1160000000000001,-0.1160000000000001
Tariq Lamptey,D,0.0,0.0,-0.0040000000000000036,-0.12400000000000011,-0.12400000000000011
Johann Gudmundsson,M,0.006000000000000005,0.03600000000000003,-0.0050000000000000044,-0.16000000000000014,-0.12400000000000011
Gabriel Martinelli,M,0.0050000000000000044,0.030000000000000027,-0.0050000000000000044,-0.16000000000000014,-0.13000000000000012
Ben Osborn,M,0.0050000000000000044,0.030000000000000027,-0.0050000000000000044,-0.16000000000000014,-0.13000000000000012
Seamus Coleman,D,-0.0030000000000000027,-0.06300000000000006,-0.0040000000000000036,-0.06800000000000006,-0.13100000000000012
Stuart Armstrong,M,-0.0020000000000000018,-0.038000000000000034,-0.0050000000000000044,-0.09500000000000008,-0.13300000000000012
Gylfi Sigurdsson,M,-0.0030000000000000027,-0.08400000000000007,-0.0050000000000000044,-0.050000000000000044,-0.13400000000000012
Andreas Pereira,M,-0.0020000000000000018,-0.03600000000000003,-0.0050000000000000044,-0.10000000000000009,-0.13600000000000012
Joshua King,F,0.02300000000000002,0.5520000000000005,-0.04999999999999999,-0.6999999999999998,-0.14799999999999935
Patrick van Aanholt,D,-0.0040000000000000036,-0.1160000000000001,-0.0040000000000000036,-0.03600000000000003,-0.15200000000000014
Jonny Evans,D,-0.0040000000000000036,-0.15200000000000014,-0.0040000000000000036,-0.0,-0.15200000000000014
Ahmed El Mohamady,D,-0.006000000000000005,-0.06600000000000006,-0.0040000000000000036,-0.1080000000000001,-0.17400000000000015
Kyle Walker-Peters,D,-0.032999999999999974,-0.032999999999999974,-0.0040000000000000036,-0.14800000000000013,-0.1810000000000001
Jose Holebas,D,-0.007000000000000006,-0.07700000000000007,-0.0040000000000000036,-0.1080000000000001,-0.18500000000000016
Jan Bednarek,D,-0.0050000000000000044,-0.17000000000000015,-0.0040000000000000036,-0.016000000000000014,-0.18600000000000017
Eric Garcia,D,-0.009000000000000008,-0.06300000000000006,-0.0040000000000000036,-0.12400000000000011,-0.18700000000000017
Djibril Sidibe,D,-0.006000000000000005,-0.1080000000000001,-0.0040000000000000036,-0.08000000000000007,-0.18800000000000017
Harry Kane,F,0.009000000000000008,0.26100000000000023,-0.04999999999999999,-0.4499999999999999,-0.18899999999999967
Tomas Soucek,M,-0.0050000000000000044,-0.06000000000000005,-0.0050000000000000044,-0.13000000000000012,-0.19000000000000017
Joao Moutinho,M,-0.0050000000000000044,-0.17000000000000015,-0.0050000000000000044,-0.020000000000000018,-0.19000000000000017
Ruben Vinagre,D,-0.01100000000000001,-0.06600000000000006,-0.0040000000000000036,-0.1280000000000001,-0.19400000000000017
Jonjo Shelvey,M,-0.006000000000000005,-0.15000000000000013,-0.0050000000000000044,-0.06500000000000006,-0.2150000000000002
Ben Mee,D,-0.006000000000000005,-0.19200000000000017,-0.0040000000000000036,-0.02400000000000002,-0.2160000000000002
Anthony Martial,F,0.0040000000000000036,0.12400000000000011,-0.04999999999999999,-0.3499999999999999,-0.2259999999999998
Nabil Bentaleb,M,-0.04299999999999998,-0.04299999999999998,-0.0050000000000000044,-0.18500000000000016,-0.22800000000000015
Danny Rose,D,-0.08500000000000002,-0.08500000000000002,-0.0040000000000000036,-0.14800000000000013,-0.23300000000000015
Daryl Janmaat,D,-0.017000000000000015,-0.1190000000000001,-0.0040000000000000036,-0.12400000000000011,-0.24300000000000022
