,Pos,avg_war_won,total_war_won,pos_war_lost,total_war_lost,total_player_war
Cedric Soares,D,-0.018000000000000016,-0.3420000000000003,-0.027000000000000024,-0.5130000000000005,-0.8550000000000008
Antonio Rudiger,D,-0.019000000000000017,-0.3610000000000003,-0.027000000000000024,-0.5130000000000005,-0.8740000000000008
Phil Bardsley,D,-0.020000000000000018,-0.4200000000000004,-0.027000000000000024,-0.4590000000000004,-0.8790000000000008
Philip Billing,M,-0.02100000000000002,-0.6090000000000005,-0.031000000000000028,-0.27900000000000025,-0.8880000000000008
Ondrej Duda,M,0.0010000000000000009,0.009000000000000008,-0.031000000000000028,-0.8990000000000008,-0.8900000000000008
Brandon Williams,D,-0.015000000000000013,-0.16500000000000015,-0.027000000000000024,-0.7290000000000006,-0.8940000000000008
Craig Dawson,D,-0.02200000000000002,-0.5720000000000005,-0.027000000000000024,-0.3240000000000003,-0.8960000000000008
Adam Webster,D,-0.02300000000000002,-0.7130000000000006,-0.027000000000000024,-0.18900000000000017,-0.9020000000000008
Patrick van Aanholt,D,-0.02300000000000002,-0.6670000000000006,-0.027000000000000024,-0.24300000000000022,-0.9100000000000008
Mason Greenwood,F,-0.013000000000000012,-0.15600000000000014,-0.029000000000000026,-0.7540000000000007,-0.9100000000000008
Tom Cleverley,M,-0.007000000000000006,-0.07700000000000007,-0.031000000000000028,-0.8370000000000007,-0.9140000000000008
Chris Mepham,D,-0.016000000000000014,-0.16000000000000014,-0.027000000000000024,-0.7560000000000007,-0.9160000000000008
Daniel James,M,-0.02100000000000002,-0.5460000000000005,-0.031000000000000028,-0.37200000000000033,-0.9180000000000008
Bernardo,D,-0.01200000000000001,-0.08400000000000007,-0.027000000000000024,-0.8370000000000007,-0.9210000000000008
Christian Kabasele,D,-0.02300000000000002,-0.5980000000000005,-0.027000000000000024,-0.3240000000000003,-0.9220000000000008
Robert Snodgrass,M,-0.016000000000000014,-0.27200000000000024,-0.031000000000000028,-0.6510000000000006,-0.9230000000000008
Yves Bissouma,M,-0.014000000000000012,-0.2100000000000002,-0.031000000000000028,-0.7130000000000006,-0.9230000000000008
Eric Garcia,D,-0.013000000000000012,-0.09100000000000008,-0.027000000000000024,-0.8370000000000007,-0.9280000000000008
