"","Player","Team.x","Position","n","min_total","mean_minutes","mean_xFpts","sd_xFpts","median_xFpts","mean_fpts","sd_fpts","median_ftps","total_xFpts","total_fpts","mean_xCS","xCS","CS"
"113","Ezri Konsa Ngoyo","AVL","D",22,1861,84.5909090909091,4.77590909090909,6.21909935225727,4.125,4.76136363636364,6.9099123386725,4.625,105.07,104.75,0.232727272727273,5.12,5
"114","Fabian Balbuena","WHU","D",13,1170,90,7.70461538461538,6.59909288638044,8,7.34615384615385,7.64208363652822,7,100.16,95.5,0.104615384615385,1.36,3
"115","Fabian Delph","EVE","M",13,1125,86.5384615384615,6.07846153846154,2.6376057519205,6.72,5.73076923076923,2.55453342621329,6,79.02,74.5,0.409230769230769,5.32,2
"116","Fabian Schar","NEW","D",18,1564,86.8888888888889,7.29166666666667,5.77161130524428,8.26,7.93055555555556,8.32113077173177,8.5,131.25,142.75,0.177777777777778,3.2,4
"117","Fabinho","LIV","M",22,1951,88.6818181818182,7.21,3.97697540014184,5.83,8.09090909090909,6.03291835649248,5.75,158.62,178,0.414545454545455,9.12,6
"118","Federico Fernandez","NEW","D",29,2595,89.4827586206897,4.99068965517241,4.89186491683203,6.5,5.83620689655172,7.54755041330492,6.5,144.73,169.25,0.223448275862069,6.48,8
"119","Felipe Anderson","WHU","M",20,1464,73.2,12.969,9.25919736205432,13.16,12.925,9.29951187173991,11.5,259.38,258.5,0.124,2.48,7
"120","Fernandinho","MCI","D",25,2202,88.08,7.144,6.43036935175578,7,5.9,6.8579333621726,7.75,178.6,147.5,0.448,11.2,9
"121","Fikayo Tomori","CHE","D",15,1293,86.2,8.60466666666667,5.28242080147062,8.16,6.81666666666667,6.91883213376637,5,129.07,102.25,0.461333333333333,6.92,4
"122","Fred","MUN","M",23,2032,88.3478260869565,10.3626086956522,5.59191398148117,10.8,8.91304347826087,4.95353907899338,9.5,238.34,205,0.445217391304348,10.24,6
"123","Frederic Guilbert","AVL","D",22,1940,88.1818181818182,7.34409090909091,5.4114311627736,6.725,9.01136363636364,5.5315530372879,8.5,161.57,198.25,0.141818181818182,3.12,5
"124","Gabriel Jesus","MCI","F",20,1626,81.3,18.285,9.51670415084639,16.75,17.7,11.5649197325815,16.25,365.7,354,0.564,11.28,11
"125","Gabriel Martinelli","ARS","M",6,539,89.8333333333333,10.18,2.40353073622952,10.46,11.1666666666667,3.65604522218567,11.5,61.08,67,0.346666666666667,2.08,2
"126","Gary Cahill","CRY","D",25,2168,86.72,6.196,6.50987711097529,5.83,5.36,6.72219582180307,2.75,154.9,134,0.28,7,7
"127","George Baldock","SHU","D",36,3240,90,8.07194444444444,5.29913568124595,7.935,10.6875,5.42888274483276,10.625,290.59,384.75,0.328888888888889,11.84,12
"128","Georginio Wijnaldum","LIV","M",35,2894,82.6857142857143,6.32685714285714,3.89491657497955,5.9,6.44285714285714,5.11883981077777,5,221.44,225.5,0.401142857142857,14.04,13
"129","Gerard Deulofeu","WAT","F",25,1980,79.2,13.008,9.91307722152915,11.5,12.78,10.7423228400565,11,325.2,319.5,0.2816,7.04,8
"130","Giovani Lo Celso","TOT","M",15,1201,80.0666666666667,9.49333333333333,5.70411213407444,8.5,9.63333333333333,5.97454919598442,9,142.4,144.5,0.293333333333333,4.4,5
"131","Glenn Murray","BHA","F",7,532,76,5.44285714285714,3.31353645061041,5.9,5.35714285714286,5.24971654563595,3.5,38.1,37.5,0.457142857142857,3.2,2
"132","Granit Xhaka","ARS","M",29,2538,87.5172413793103,4.72620689655172,3.46642303678457,4.5,5.20689655172414,3.91315830011685,4.5,137.06,151,0.308965517241379,8.96,10
"133","Grant Hanley","NOR","D",14,1250,89.2857142857143,5.54928571428571,5.13080360220459,6.3,3.875,5.94101616534773,4.625,77.69,54.25,0.188571428571429,2.64,2
"134","Gylfi Sigurdsson","EVE","M",28,2354,84.0714285714286,9.81642857142857,5.77645297693221,7.61,8.98214285714286,5.14328426356866,7.25,274.86,251.5,0.298571428571429,8.36,6
"135","Hamza Choudhury","LEI","M",10,767,76.7,4.644,3.53690134314079,5.19,4.2,3.41727636836381,4.5,46.44,42,0.384,3.84,3
"136","Harry Kane","TOT","F",29,2589,89.2758620689655,11.2551724137931,7.21637949424267,9.5,13.3965517241379,9.66342451716858,14,326.4,388.5,0.358620689655172,10.4,6
"137","Harry Maguire","MUN","D",38,3420,90,11.2126315789474,5.60670384653582,12.33,9.56578947368421,6.05372462144741,8,426.08,363.5,0.481052631578947,18.28,13
"138","Harry Wilson","BOU","M",20,1358,67.9,5.584,4.15138581807645,4.45,6.075,4.69679341903097,5,111.68,121.5,0.224,4.48,2
"139","Harry Winks","TOT","M",26,2132,82,4.15692307692308,3.03776598075727,5,3.78846153846154,3.01719431566174,4.75,108.08,98.5,0.264615384615385,6.88,6
"140","Harvey Barnes","LEI","M",24,1787,74.4583333333333,11.7041666666667,7.88676376935579,10.75,12.4375,10.7716541259314,10.75,280.9,298.5,0.466666666666667,11.2,9
"141","Hector Bellerin","ARS","D",11,964,87.6363636363636,5.35909090909091,4.44605095460107,5.95,8.38636363636364,6.05120198427928,9.5,58.95,92.25,0.181818181818182,2,4
"142","Ilkay Gundogan","MCI","M",20,1682,84.1,9.139,4.82546959809149,9.36,7.675,4.10799925690559,7.75,182.78,153.5,0.414,8.28,6
"143","Isaac Hayden","NEW","M",26,2172,83.5384615384615,6.83538461538462,4.79553895262606,5.73,7.63461538461539,5.54897772983041,6,177.72,198.5,0.212307692307692,5.52,8
"144","Ismaila Sarr","WAT","F",22,1888,85.8181818181818,10.9863636363636,7.94944115762956,9.1,11.8863636363636,8.82087866558091,11,241.7,261.5,0.269090909090909,5.92,6
"145","Issa Diop","WHU","D",31,2764,89.1612903225806,4.81387096774194,5.01738223739522,4.95,4.5241935483871,6.94572855511143,3,149.23,140.25,0.144516129032258,4.48,4
"146","Jack Cork","BUR","M",30,2617,87.2333333333333,6.028,3.93398841223334,4.7,5.38333333333333,3.53232201965997,4.5,180.84,161.5,0.334666666666667,10.04,12
"147","Jack Grealish","AVL","M",34,3054,89.8235294117647,14.0111764705882,8.55321905189693,14.31,14.4264705882353,10.4295125782714,13.25,476.38,490.5,0.202352941176471,6.88,6
"148","Jack O'Connell","SHU","D",32,2880,90,9.5465625,5.51574088222414,9.43,9.0859375,5.97090032621925,8,305.49,290.75,0.3575,11.44,12
"149","Jack Stacey","BOU","D",17,1501,88.2941176470588,7.05823529411765,4.65355675168752,6.82,4.89705882352941,6.00003829644641,3.25,119.99,83.25,0.237647058823529,4.04,1
"150","Jack Stephens","SOU","D",27,2408,89.1851851851852,5.63777777777778,6.7597947928192,7.44,5.44444444444444,8.56292694986463,5,152.22,147,0.345185185185185,9.32,7
"151","Jairo Riedewald","CRY","M",7,553,79,4.47142857142857,2.92813608843253,4.16,4.07142857142857,2.76026223736942,3,31.3,28.5,0.0571428571428571,0.4,0
"152","Jamaal Lascelles","NEW","D",24,2079,86.625,4.86333333333333,4.06546394664241,3.77,5.45833333333333,5.59923649039423,4.875,116.72,131,0.246666666666667,5.92,8
"153","Jamal Lewis","NOR","D",25,2213,88.52,4.812,4.8853821071983,3.95,3.28,6.76900103412609,2.25,120.3,82,0.176,4.4,3
"154","James Justin","LEI","D",11,990,90,9.36,6.17680176142962,10.05,7.72727272727273,7.10761435491416,8,102.96,85,0.432727272727273,4.76,4
"155","James Maddison","LEI","M",29,2557,88.1724137931034,13.791724137931,6.42960233660656,12.88,13.7068965517241,8.02063993859783,11,399.96,397.5,0.377931034482759,10.96,10
"156","James McArthur","CRY","M",37,3104,83.8918918918919,7.72918918918919,4.74358653480815,7.24,7.43243243243243,4.77575206724635,6.5,285.98,275,0.277837837837838,10.28,11
"157","James McCarthy","CRY","M",16,1347,84.1875,5.99125,3.5935198621964,6.08,5.59375,3.45552094480702,5.5,95.86,89.5,0.2975,4.76,2
"158","James Milner","LIV","M",9,747,83,7.53777777777778,6.25351456738085,7.46,8.22222222222222,7.32764931232687,6,67.84,74,0.426666666666667,3.84,4
