"","Player","Team.x","Position","n","min_total","mean_minutes","mean_xFpts","sd_xFpts","median_xFpts","mean_fpts","sd_fpts","median_ftps","total_xFpts","total_fpts","mean_xCS","xCS","CS"
"280","Pablo Zabaleta","WHU","D",6,522,87,3.27666666666667,5.81796069655568,2.45,2.25,6.1400325732035,3.125,19.66,13.5,0.0266666666666667,0.16,0
"281","Pascal Gross","BHA","M",19,1511,79.5263157894737,10.3105263157895,7.19415617295981,9.2,10.1052631578947,7.25446021303144,8,195.9,192,0.315789473684211,6,3
"282","Patrick van Aanholt","CRY","D",28,2482,88.6428571428571,8.10035714285714,7.84421536436498,6.26,7.5625,8.88627348675931,5,226.81,211.75,0.298571428571429,8.36,8
"283","Paul Dummett","NEW","D",14,1212,86.5714285714286,4.035,4.51938176507158,2.53,5.19642857142857,8.12532755045591,4.875,56.49,72.75,0.16,2.24,5
"284","Paul Pogba","MUN","M",13,1107,85.1538461538462,11.1446153846154,6.3391963415255,10.16,11.1923076923077,8.0817140857681,8.5,144.88,145.5,0.483076923076923,6.28,6
"285","Pedro","CHE","F",8,650,81.25,14.6,6.80839817536296,14.15,13.8125,8.38765036058541,11,116.8,110.5,0.41,3.28,2
"286","Pedro Neto","WOL","F",6,468,78,10.35,3.41159786610321,10.1,11.75,2.67861904719577,12,62.1,70.5,0.48,2.88,1
"287","Phil Bardsley","BUR","D",21,1890,90,7.26619047619048,5.06357233205024,4.54,8.20238095238095,6.22576252740329,7.75,152.59,172.25,0.344761904761905,7.24,9
"288","Phil Foden","MCI","M",7,608,86.8571428571429,15.8114285714286,3.90269747982695,14.52,18.0714285714286,13.2709851789175,13,110.68,126.5,0.497142857142857,3.48,4
"289","Philip Billing","BOU","M",24,2143,89.2916666666667,9.5875,5.41406160322158,9.39,9.08333333333333,5.83405792601153,8,230.1,218,0.275,6.6,5
"290","Pierre-Emerick Aubameyang","ARS","F",34,3106,91.3529411764706,10.7088235294118,5.54449591375189,10.35,12.7205882352941,9.47420035521555,10.25,364.1,432.5,0.289411764705882,9.84,10
"291","Pierre-Emile Hojbjerg","SOU","M",30,2699,89.9666666666667,10.1,4.97657963139205,8.77,9.41666666666667,5.30790453707606,8.25,303,282.5,0.326666666666667,9.8,7
"292","Raheem Sterling","MCI","F",28,2436,87,15.2857142857143,7.04917721942777,14.45,15.6607142857143,11.0412136774405,15,428,438.5,0.481428571428571,13.48,12
"293","Raul Jimenez","WOL","F",37,3226,87.1891891891892,13.6432432432432,6.63197392018983,12.1,14.2837837837838,7.70239910365283,13.5,504.8,528.5,0.48972972972973,18.12,15
"294","Reece James","CHE","D",16,1402,87.625,15.8075,5.12924490869108,15.725,13.75,6.33311403129087,14.375,252.92,220,0.47,7.52,5
"295","Ricardo Pereira","LEI","D",28,2520,90,13.6639285714286,6.6722978102587,14.185,13.7946428571429,8.54483100504404,15.625,382.59,386.25,0.401428571428571,11.24,10
"296","Richarlison","EVE","F",35,3023,86.3714285714286,10.9771428571429,6.93940520057844,10.3,11.8428571428571,8.86232228608964,10.5,384.2,414.5,0.316571428571429,11.08,9
"297","Riyad Mahrez","MCI","M",18,1571,87.2777777777778,20.5566666666667,8.31167357678698,21.14,23.8888888888889,11.5370956121287,23.25,370.02,430,0.562222222222222,10.12,11
"298","Rob Holding","ARS","D",6,527,87.8333333333333,3.77666666666667,4.40384226178307,3.34,3.08333333333333,5.15186050535791,1.75,22.66,18.5,0.293333333333333,1.76,1
"299","Robert Snodgrass","WHU","M",16,1350,84.375,9.695,4.93290178292656,10.08,12.28125,8.55174202526401,11,155.12,196.5,0.095,1.52,3
"300","Roberto Firmino","LIV","F",34,2876,84.5882352941177,12.6852941176471,5.98458283667753,11.6,11.3970588235294,8.33464784641245,8.5,431.3,387.5,0.392941176470588,13.36,16
"301","Roberto Pereyra","WAT","M",16,1310,81.875,5.45,3.63629848426483,5.44,4.8125,3.45386257205852,5.25,87.2,77,0.35,5.6,5
"302","Rodrigo","MCI","M",25,2217,88.68,8.2424,5.01460972226819,7.1,8.92,6.46574306119052,8.5,206.06,223,0.5424,13.56,14
"303","Romain Saiss","WOL","M",29,2593,89.4137931034483,6.1951724137931,3.69843463092317,6.66,6.12068965517241,3.74798796597634,6.5,179.66,177.5,0.522758620689655,15.16,10
"304","Ross Barkley","CHE","M",11,844,76.7272727272727,13.3618181818182,11.6703537377252,10.6,14.0909090909091,13.4384117026868,9.5,146.98,155,0.516363636363636,5.68,5
"305","Ruben Neves","WOL","M",32,2826,88.3125,6.90375,4.73665034086462,5.8,7,5.64115064903972,5.5,220.92,224,0.51625,16.52,13
"306","Ruben Vinagre","WOL","D",6,518,86.3333333333333,8.94166666666667,6.22853888698358,7.575,11.875,6.03065087697837,11.875,53.65,71.25,0.266666666666667,1.6,3
"307","Ryan Bennett","LEI","D",9,767,85.2222222222222,5.40444444444444,4.79532353212771,5.11,4.83333333333333,5.63748614188984,2.75,48.64,43.5,0.315555555555556,2.84,3
"308","Ryan Bertrand","SOU","D",30,2687,89.5666666666667,8.801,6.01153566357905,9.765,6.925,5.99789833881491,6.75,264.03,207.75,0.369333333333333,11.08,7
"309","Ryan Fraser","BOU","M",21,1857,88.4285714285714,9.28285714285714,5.32810017065853,8.9,8.38095238095238,4.74580014830155,8,194.94,176,0.192380952380952,4.04,4
"310","Ryan Fredericks","WHU","D",25,2210,88.4,6.0936,6.15164062127603,5.5,6.72,8.19340435960535,6.5,152.34,168,0.1536,3.84,7
"311","Sadio Mane","LIV","F",30,2619,87.3,17.1866666666667,7.09272251280692,16.2,18.6666666666667,8.65361528329428,18,515.6,560,0.393333333333333,11.8,12
"312","Sam Byram","NOR","D",14,1242,88.7142857142857,8.22785714285714,4.9019057182212,5.985,6.125,6.04848200918087,5,115.19,85.75,0.245714285714286,3.44,3
"313","Sander Berge","SHU","M",10,858,85.8,8.194,3.36396657401811,7.72,9.15,6.32477491913964,7.5,81.94,91.5,0.344,3.44,4
"314","Scott Dann","CRY","D",13,1170,90,6.98307692307692,4.79270519403427,7.15,6.88461538461539,4.90813035582222,6.25,90.78,89.5,0.329230769230769,4.28,5
"315","Scott McTominay","MUN","M",19,1632,85.8947368421053,9.75894736842105,4.96815849489621,8.3,10.1578947368421,6.35752535621925,7.5,185.42,193,0.501052631578947,9.52,3
"316","Sead Kolasinac","ARS","D",18,1546,85.8888888888889,6.97277777777778,5.20267782357775,7.545,5.875,4.54572358829444,5.5,125.51,105.75,0.364444444444444,6.56,4
"317","Seamus Coleman","EVE","D",17,1498,88.1176470588235,9.15470588235294,5.22957349796217,7.97,8.66176470588235,5.81346845189483,7.25,155.63,147.25,0.345882352941176,5.88,5
"318","Sean Longstaff","NEW","M",13,1139,87.6153846153846,6.75846153846154,5.14277785856672,4.88,5.96153846153846,4.6433713437434,4,87.86,77.5,0.258461538461538,3.36,2
"319","Sebastien Haller","WHU","F",23,2034,88.4347826086957,13.0782608695652,7.32219269951657,11.6,13.4565217391304,8.10851550626963,11.5,300.8,309.5,0.128695652173913,2.96,5
"320","Serge Aurier","TOT","D",30,2650,88.3333333333333,11.843,6.51423541971337,12.775,13.3583333333333,8.36651869402509,14.125,355.29,400.75,0.314666666666667,9.44,9
"321","Sergio Aguero","MCI","F",15,1245,83,15.68,9.39765928303426,13.9,17.4,14.0371954870928,12.5,235.2,261,0.544,8.16,5
"322","Shane Duffy","BHA","D",13,1146,88.1538461538462,9.15923076923077,5.77425963730194,7.6,6.94230769230769,7.04461514662814,7.25,119.07,90.25,0.363076923076923,4.72,3
"323","Shane Long","SOU","F",15,1170,78,10.0066666666667,4.43081202919908,10.2,9.86666666666667,5.6897987243671,8.5,150.1,148,0.346666666666667,5.2,5
"324","Shkodran Mustafi","ARS","D",12,1147,95.5833333333333,9.17333333333333,5.68485761128685,8.35,10.0833333333333,4.47001796484764,10.25,110.08,121,0.206666666666667,2.48,4
"325","Simon Francis","BOU","D",9,810,90,6.19,4.89485954854682,6.1,4.91666666666667,6.74536878161602,3.75,55.71,44.25,0.128888888888889,1.16,1
"326","Sofiane Boufal","SOU","M",6,487,81.1666666666667,13.84,5.63479192162408,12.75,13.3333333333333,8.04777401935881,12.25,83.04,80,0.273333333333333,1.64,1
"327","Sokratis","ARS","D",19,1697,89.3157894736842,5.27789473684211,5.28999535701053,4.65,4.92105263157895,7.06814677482078,1.75,100.28,93.5,0.277894736842105,5.28,4
"328","Solly March","BHA","M",11,894,81.2727272727273,8.54,5.57193682663398,9.52,8.18181818181818,5.92989345297505,8,93.94,90,0.312727272727273,3.44,4
"329","Son Heung-Min","TOT","F",28,2396,85.5714285714286,13.525,8.16844085036587,13.35,15.9464285714286,9.75850937853755,14.5,378.7,446.5,0.28,7.84,8
"330","Steve Cook","BOU","D",26,2319,89.1923076923077,6.515,4.26270172543189,6.45,4.97115384615385,5.41909905938105,4.125,169.39,129.25,0.209230769230769,5.44,3
