"","Player","Team.x","Position","n","min_total","mean_minutes","mean_xFpts","sd_xFpts","median_xFpts","mean_fpts","sd_fpts","median_ftps","total_xFpts","total_fpts","mean_xCS","xCS","CS"
"291","Ricardo Pereira","LEI","D",28,2520,90,11.6639285714286,5.92142396493333,11.83,11.7946428571429,7.93347734796589,12.75,326.59,330.25,0.401428571428571,11.24,10
"292","Richarlison","EVE","F",35,3023,86.3714285714286,9.40571428571429,6.20563988534258,8.9,10.2714285714286,8.14874842171092,8.5,329.2,359.5,0.316571428571429,11.08,9
"293","Riyad Mahrez","MCI","F",17,1445,85,17.3705882352941,8.24429838630025,17.3,19.9117647058824,10.6054751398123,18,295.3,338.5,0.536470588235294,9.12,9
"294","Rob Holding","ARS","D",6,527,87.8333333333333,3.44333333333333,4.63916228069968,2.84,2.75,5.24166004239115,1.25,20.66,16.5,0.293333333333333,1.76,1
"295","Robert Snodgrass","WHU","M",16,1350,84.375,8.7575,4.9956667889949,8.08,11.34375,8.8142285538781,10.5,140.12,181.5,0.095,1.52,3
"296","Roberto Firmino","LIV","F",34,2876,84.5882352941177,11.3323529411765,5.45314591373697,10.95,10.0441176470588,7.92327569144918,7.5,385.3,341.5,0.392941176470588,13.36,16
"297","Roberto Pereyra","WAT","M",16,1310,81.875,4.6375,3.338637446624,3.44,4,3.26087922703883,4,74.2,64,0.35,5.6,5
"298","Rodrigo","MCI","M",24,2107,87.7916666666667,7.315,4.24278927942046,6.65,8.02083333333333,5.84673667186619,7.25,175.56,192.5,0.523333333333333,12.56,13
"299","Romain Saiss","WOL","D",29,2593,89.4137931034483,10.3641379310345,4.75325866961767,10.68,8.46551724137931,6.26131979823452,8.75,300.56,245.5,0.522758620689655,15.16,10
"300","Ross Barkley","CHE","M",11,844,76.7272727272727,11.4527272727273,9.32350265823858,9.6,12.1818181818182,11.3957727409613,7.5,125.98,134,0.516363636363636,5.68,5
"301","Ruben Neves","WOL","M",32,2826,88.3125,6.34125,4.3473445732665,5.21,6.4375,5.31393481572803,5.25,202.92,206,0.51625,16.52,13
"302","Ruben Vinagre","WOL","D",6,518,86.3333333333333,5.94166666666667,4.57325886722659,4.575,8.875,4.62263453022192,8.875,35.65,53.25,0.266666666666667,1.6,3
"303","Ryan Bennett","LEI","D",9,767,85.2222222222222,5.40444444444444,4.79532353212771,5.11,4.83333333333333,5.63748614188984,2.75,48.64,43.5,0.315555555555556,2.84,3
"304","Ryan Bertrand","SOU","D",30,2687,89.5666666666667,8.501,5.92381595909608,9.74,6.625,5.84341288443073,6.125,255.03,198.75,0.369333333333333,11.08,7
"305","Ryan Fraser","BOU","M",21,1857,88.4285714285714,8.80666666666667,5.13628400045532,8.6,7.90476190476191,4.51281244796149,8,184.94,166,0.192380952380952,4.04,4
"306","Ryan Fredericks","WHU","D",25,2210,88.4,5.6536,5.9455290485092,5.22,6.28,8.02512980165015,5.5,141.34,157,0.1536,3.84,7
"307","Sadio Mane","LIV","F",30,2619,87.3,15.02,6.60858375980397,14.8,16.5,8.37792666310787,16,450.6,495,0.393333333333333,11.8,12
"308","Sam Byram","NOR","D",14,1242,88.7142857142857,7.79928571428571,5.04453773789145,5.97,5.69642857142857,6.04166508778557,3.875,109.19,79.75,0.245714285714286,3.44,3
"309","Sander Berge","SHU","M",9,723,80.3333333333333,7.27111111111111,2.73841397730714,6.32,8.22222222222222,6.2104302946289,6,65.44,74,0.382222222222222,3.44,3
"310","Scott Dann","CRY","D",13,1170,90,6.67538461538462,4.85896184965577,6.87,6.57692307692308,5.03258612215659,5.25,86.78,85.5,0.329230769230769,4.28,5
"311","Scott McTominay","MUN","M",19,1632,85.8947368421053,8.18,4.21277949946483,7.22,8.57894736842105,5.4295057016033,6.5,155.42,163,0.501052631578947,9.52,3
"312","Sead Kolasinac","ARS","D",18,1546,85.8888888888889,6.195,4.78504072144453,6.37,5.09722222222222,4.34126818765256,5,111.51,91.75,0.364444444444444,6.56,4
"313","Seamus Coleman","EVE","D",17,1498,88.1176470588235,7.21352941176471,3.92990766618071,6.87,6.72058823529412,4.46416491433201,5.25,122.63,114.25,0.345882352941176,5.88,5
"314","Sean Longstaff","NEW","M",13,1139,87.6153846153846,6.29692307692308,4.8489713421429,4,5.5,4.37321392113398,4,81.86,71.5,0.258461538461538,3.36,2
"315","Sebastien Haller","WHU","F",23,2034,88.4347826086957,12.1652173913043,6.67026023041845,11.6,12.5434782608696,7.49683727780992,10,279.8,288.5,0.128695652173913,2.96,5
"316","Serge Aurier","TOT","D",30,2650,88.3333333333333,10.643,5.66093275487109,10.805,12.1583333333333,7.67903643530311,12.875,319.29,364.75,0.314666666666667,9.44,9
"317","Sergio Aguero","MCI","F",15,1245,83,14.3466666666667,8.64108679231848,12.6,16.0666666666667,13.6772316887105,12.5,215.2,241,0.544,8.16,5
"318","Shane Duffy","BHA","D",13,1146,88.1538461538462,8.92846153846154,5.63151821766541,7.6,6.71153846153846,6.84641493307975,7.25,116.07,87.25,0.363076923076923,4.72,3
"319","Shane Long","SOU","F",15,1170,78,9.74,4.51692056921211,10.2,9.6,5.73896456564373,7.5,146.1,144,0.346666666666667,5.2,5
"320","Shkodran Mustafi","ARS","D",11,967,87.9090909090909,7.97727272727273,4.67396639035646,8.25,10.0227272727273,4.7149423981828,10.25,87.75,110.25,0.181818181818182,2,4
"321","Simon Francis","BOU","D",9,810,90,5.74555555555555,4.75025554868133,6.1,4.47222222222222,6.27550352118812,3.75,51.71,40.25,0.128888888888889,1.16,1
"322","Sofiane Boufal","SOU","M",6,487,81.1666666666667,9.34,4.18794460326304,7.25,8.83333333333333,6.05530070819498,6.75,56.04,53,0.273333333333333,1.64,1
"323","Sokratis","ARS","D",19,1697,89.3157894736842,5.01473684210526,5.48116002363353,4.65,4.65789473684211,7.1653150500227,1.75,95.28,88.5,0.277894736842105,5.28,4
"324","Solly March","BHA","M",11,894,81.2727272727273,7.54,5.01980876129759,8.52,7.18181818181818,5.48303167632984,7,82.94,79,0.312727272727273,3.44,4
"325","Son Heung-Min","TOT","F",28,2396,85.5714285714286,11.525,7.75058540202442,11.25,13.9464285714286,9.60549542335232,12.25,322.7,390.5,0.28,7.84,8
"326","Steve Cook","BOU","D",26,2319,89.1923076923077,6.43807692307692,4.307072341376,6.45,4.89423076923077,5.44388330005479,3.625,167.39,127.25,0.209230769230769,5.44,3
"327","Steven Alzate","BHA","F",12,1076,89.6666666666667,7.15,4.6376914319715,6.85,6.125,3.6935139710776,5.5,85.8,73.5,0.293333333333333,3.52,3
"328","Steven Bergwijn","TOT","F",6,487,81.1666666666667,8.16666666666667,5.96445024010316,7.75,10.4166666666667,6.85139888392631,13,49,62.5,0,0,2
"329","Stuart Armstrong","SOU","M",18,1533,85.1666666666667,8.94111111111111,5.83727362719042,8.35,10.9722222222222,8.49822165172397,8.75,160.94,197.5,0.324444444444444,5.84,7
"330","Tammy Abraham","CHE","F",25,2050,82,10.564,6.20194055652476,9.9,11.5,9.17083238679383,9.5,264.1,287.5,0.424,10.6,7
"331","Tanguy Ndombele","TOT","M",8,643,80.375,7.925,3.80095852572555,9.24,10,6.15281584781658,9.25,63.4,80,0.3,2.4,1
"332","Tariq Lamptey","BHA","D",6,513,85.5,8.87833333333333,5.62893033059272,8.61,11.375,4.4123406486807,11.25,53.27,68.25,0.32,1.92,3
"333","Teemu Pukki","NOR","F",32,2794,87.3125,8.5125,6.57579873720737,6.75,7.921875,9.39638689569285,4.5,272.4,253.5,0.205,6.56,6
"334","Theo Walcott","EVE","M",12,921,76.75,7.04,4.50319482549486,7.31,6.125,4.92731256273733,5,84.48,73.5,0.373333333333333,4.48,4
"335","Timm Klose","NOR","D",6,540,90,4.77666666666667,2.82060749957641,3.915,0.916666666666667,3.20806275915336,1.25,28.66,5.5,0.293333333333333,1.76,0
"336","Toby Alderweireld","TOT","D",33,2958,89.6363636363636,5.32969696969697,4.81470630260071,5.43,5.21212121212121,5.28379051769168,3.25,175.88,172,0.305454545454545,10.08,7
"337","Todd Cantwell","NOR","M",28,2306,82.3571428571429,8.16071428571429,4.88031414332788,6.9,8.14285714285714,6.44902683278238,5.75,228.5,228,0.157142857142857,4.4,6
"338","Tom Cleverley","WAT","M",9,806,89.5555555555556,9.51333333333333,5.51905789061865,7.24,8.5,6.66614581298669,7,85.62,76.5,0.257777777777778,2.32,1
"339","Tom Davies","EVE","M",21,1815,86.4285714285714,4.52666666666667,2.55477852921409,4.34,4.14285714285714,3.424700195429,3.5,95.06,87,0.236190476190476,4.96,5
"340","Tom Trybull","NOR","M",12,991,82.5833333333333,4.26333333333333,3.32324959622173,3.36,3.95833333333333,3.2012663214119,3,51.16,47.5,0.246666666666667,2.96,2
"341","Tomas Soucek","WHU","M",11,985,89.5454545454545,9.96181818181818,5.84634897723668,7.18,10.2272727272727,7.08295007875827,6.5,109.58,112.5,0.261818181818182,2.88,1
"342","Trent Alexander-Arnold","LIV","D",35,3100,88.5714285714286,13,9.23561584302855,11.5,14.5142857142857,10.3451364775674,14.25,455,508,0.382857142857143,13.4,14
"343","Trezeguet","AVL","M",20,1603,80.15,7.831,3.76281795299326,7.66,9.1,7.16644226494863,6.75,156.62,182,0.216,4.32,6
"344","Troy Deeney","WAT","F",26,2200,84.6153846153846,12.2576923076923,8.09622989184092,8.85,11.9230769230769,8.46131468235558,9,318.7,310,0.307692307692308,8,6
"345","Tyrone Mings","AVL","D",30,2700,90,4.43233333333333,4.11215245535619,3.75,4.14166666666667,6.07378600518504,3.375,132.97,124.25,0.224,6.72,5
"346","Victor Lindelof","MUN","D",34,3048,89.6470588235294,5.91882352941176,4.15172747157343,6.28,4.91176470588235,5.14887541154037,3.375,201.24,167,0.483529411764706,16.44,12
"347","Virgil van Dijk","LIV","D",38,3420,90,9.97947368421053,4.71105769232025,10.175,10.5,7.6352666814786,10.25,379.22,399,0.418947368421053,15.92,15
"348","Wesley","AVL","F",21,1790,85.2380952380952,6.92857142857143,5.04421875587715,5.9,6.78571428571429,7.52756837991431,4.5,145.5,142.5,0.118095238095238,2.48,6
"349","Wilfred Ndidi","LEI","M",29,2575,88.7931034482759,8.16551724137931,4.43849362011072,8,8.43103448275862,5.28766107139171,7.5,236.8,244.5,0.427586206896552,12.4,12
"350","Wilfried Zaha","CRY","M",36,3240,90,8.66611111111111,3.73096025768762,8.17,8.76388888888889,5.28405432965352,7.5,311.98,315.5,0.285555555555556,10.28,9
"351","Will Hughes","WAT","M",25,2070,82.8,6.5664,4.71615563780501,5.48,5.82,4.88808074128623,4.5,164.16,145.5,0.2624,6.56,5
"352","William Smallbone","SOU","F",5,361,72.2,3.74,1.8716303053755,3.6,5.3,4.64488966499744,3,18.7,26.5,0.448,2.24,3
"353","Willian","CHE","F",28,2405,85.8928571428571,14.2678571428571,6.8851452321447,14.6,15.2857142857143,8.88968250425486,14.75,399.5,428,0.497142857142857,13.92,10
"354","Willy Boly","WOL","D",22,1979,89.9545454545455,11.0813636363636,4.29925386157107,11.12,11.2613636363636,5.39426352751967,13.25,243.79,247.75,0.510909090909091,11.24,12
"355","Yan Valery","SOU","D",8,670,83.75,5.02875,3.4077954226827,5.48,6.09375,2.20363944095088,6.375,40.23,48.75,0.21,1.68,1
"356","Yerry Mina","EVE","D",24,2159,89.9583333333333,9.40333333333333,4.79485291669657,8.66,7.79166666666667,7.48319373033981,5,225.68,187,0.328333333333333,7.88,5
"357","Youri Tielemans","LEI","M",32,2753,86.03125,8.756875,4.41258934845115,8.4,8.890625,6.32549166137025,6.75,280.22,284.5,0.41,13.12,12
