"","Team.y","game_week","Player","Team.x","Position","Rk","Status","Opponent.x","FPts","FP/G","% Owned","+/-","GP","Min.x","G","GOF","A2","KP","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","AT","S","SOT","SA","SOP","SB","TkW","TLM","DIS","PLC","FC","FS","ErS","ErG","YC","SYC","RC","HB","Pen","DP","6S","Off","PA","AP","PC%","SFTP","C","ACNC","CF","CK","CIB","CF_1","CC","FKS","Int.x","IntB","CLRA","CLR","CoA","CoS","CoSF","BC","BS","DW","DL","AER","AERL","BCC","BCM","BCS","BR","FKG","FKM","PL","LB","LBA","SubOn","SubOff","PKG","PKA","PKM","PKD","OG","GAD","CS","MCS","Date","X1","#","Nation","Pos","Min.y","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Press","Tkl","Int.y","Blocks","xG","npxG","xA","SCA","GCA","Cmp","Att","Cmp%","PrgDist","Carries","PrgDist.1","Succ","Att.1","Opponent.y","xG_against","GAD_against","xCS","xPts","CLRpts","xGpts","xApts","KPpts","SOTpts","DISpts","YCpts","RCpts","OGpts","xGADpts","xCSpts","defPts","offPts"
"374","Bournemouth",5,"Nathan Ake","BOU","D",75,"FA","EVE 1<br/>@BOU 3 F",3.5,3.5,"89%","30.90%",1,90,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,35,33,94.3,1,0,0,0,0,0,0,1,0,0,0,10,10,1,1,3,0,0,6,3,1,3,0,0,0,3,0,0,3,2,1,0,0,0,0,0,0,0,1,0,0,"09/15/19",1305,5,"nl NED","CB",90,0,0,0,0,1,0,0,0,47,6,1,0,0,0.1,0.1,0,0,0,31,36,86.1,185,24,84,1,1,"Everton",1.4,1.15,0.0800000000000001,4.68,2.5,1,0,0,0,0,0,0,0,-2.3,0.48,1.68,2
"375","Bournemouth",5,"Steve Cook","BOU","D",232,"FA","EVE 1<br/>@BOU 3 F",9.25,9.25,"21%","-3.40%",1,90,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,1,3,0,0,0,0,0,0,0,0,0,0,34,24,70.6,2,0,0,0,0,0,0,0,0,1,0,9,9,0,0,3,0,1,10,3,5,2,0,0,0,5,0,0,13,7,1,0,0,0,0,0,0,0,1,0,0,"09/15/19",1306,3,"eng ENG","CB",90,0,0,0,0,2,0,0,0,53,6,3,1,2,0.1,0.1,0,1,0,25,34,73.5,238,23,34,0,0,"Everton",1.4,1.15,0.0800000000000001,10.43,2.25,1,0,2,0,0,0,0,0,-2.3,0.48,2.43,3
"378","Bournemouth",6,"Nathan Ake","BOU","D",75,"FA","BOU 3<br/>@SOU 1 F",13.5,13.5,"89%","30.90%",1,90,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,31,23,74.2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,2,4,2,2,1,0,0,1,6,0,0,8,6,2,0,0,0,0,0,0,0,1,0,0,"09/20/19",1403,5,"nl NED","CB",90,1,0,0,0,1,1,0,0,37,11,1,0,3,0.1,0.1,0,1,0,20,25,80,147,18,22,0,0,"Southampton",2.2,1.95,0,2.6,0.5,1,0,0,2,0,0,0,0,-3.9,0,-2.4,3
"380","Bournemouth",6,"Steve Cook","BOU","D",232,"FA","BOU 3<br/>@SOU 1 F",8.25,8.25,"21%","-3.40%",1,90,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,0,0,24,12,50,0,0,0,0,0,0,0,2,0,2,0,17,17,0,0,0,0,3,4,4,4,3,0,0,0,5,0,0,12,7,1,0,0,0,0,0,0,0,1,0,0,"09/20/19",1404,3,"eng ENG","CB",90,0,0,0,0,0,0,0,0,48,3,0,2,3,0,0,0,0,0,13,19,68.4,99,15,22,0,0,"Southampton",2.2,1.95,0,6.35,4.25,0,0,0,0,0,0,0,0,-3.9,0,2.35,0
"384","Bournemouth",7,"Steve Cook","BOU","D",232,"FA","WHU 2<br/>@BOU 2 F",-0.25,-0.25,"21%","-3.40%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,62,52,83.9,1,0,0,0,0,0,0,0,0,2,0,7,7,0,0,0,0,1,3,3,3,2,0,0,0,4,0,0,10,12,7,0,0,0,0,0,0,0,2,0,0,"09/28/19",1806,3,"eng ENG","CB",90,0,0,0,0,0,0,1,0,74,2,0,2,2,0,0,0,0,0,51,60,85,285,46,71,0,0,"West Ham",1.4,1.15,0.0800000000000001,1.93,1.75,0,0,0,0,0,0,0,0,-2.3,0.48,1.93,0
"385","Bournemouth",7,"Nathan Ake","BOU","D",75,"FA","WHU 2<br/>@BOU 2 F",11.75,11.75,"89%","30.90%",1,90,0,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,56,51,91.1,2,0,0,0,0,0,0,0,0,1,0,3,3,1,1,1,0,1,4,2,3,2,1,0,0,6,0,0,6,8,6,0,0,0,0,0,0,0,2,0,0,"09/28/19",1805,5,"nl NED","CB",90,0,1,0,0,2,0,0,0,66,3,0,1,3,0.1,0.1,0.5,2,1,49,53,92.5,275,41,160,1,1,"West Ham",1.4,1.15,0.0800000000000001,10.93,0.75,1,4,2,0,0,0,0,0,-2.3,0.48,-0.0699999999999994,8
"387","Bournemouth",8,"Nathan Ake","BOU","D",75,"FA","BOU 0<br/>@ARS 1 F",4.75,4.75,"89%","30.90%",1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,48,41,85.4,2,0,0,0,0,0,0,4,0,1,1,7,7,0,0,0,2,0,2,1,1,1,0,0,0,6,0,0,7,5,2,0,0,0,0,0,0,0,1,0,0,"10/06/19",2123,5,"nl NED","CB",90,0,0,0,0,0,0,0,0,64,9,1,1,5,0,0,0,1,0,45,50,90,371,35,85,0,0,"Arsenal",1,0.75,0.4,7.65,1.75,0,0,2,0,0,0,0,0,-1.5,2.4,4.65,2
"389","Bournemouth",8,"Steve Cook","BOU","D",232,"FA","BOU 0<br/>@ARS 1 F",6.75,6.75,"21%","-3.40%",1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,46,37,80.4,2,0,0,0,0,0,0,1,0,3,1,7,7,0,0,1,0,1,6,1,4,0,0,0,0,7,0,0,10,6,3,0,0,0,0,0,0,0,1,0,0,"10/06/19",2124,3,"eng ENG","CB",90,0,0,0,0,1,0,0,0,59,4,2,3,1,0.1,0.1,0,0,0,36,49,73.5,410,28,27,2,2,"Arsenal",1,0.75,0.4,10.65,1.75,1,0,0,0,0,0,0,0,-1.5,2.4,5.65,1
"390","Bournemouth",9,"Steve Cook","BOU","D",232,"FA","NOR 0<br/>@BOU 0 F",13.75,13.75,"21%","-3.40%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,0,1,0,0,0,0,0,0,0,0,0,0,47,38,80.9,3,0,0,0,0,0,0,1,0,0,0,9,9,0,0,1,0,0,7,4,5,3,0,0,0,4,0,0,13,9,7,0,0,0,0,0,0,0,0,1,90,"10/19/19",2306,3,"eng ENG","CB",90,0,0,0,0,0,0,0,0,61,3,1,0,2,0,0,0,0,0,37,47,78.7,336,32,65,0,0,"Norwich City",0.4,0.15,0.88,12.73,2.25,0,0,0,0,-0.5,0,0,0,-0.3,5.28,8.23,-0.5
"391","Bournemouth",9,"Nathan Ake","BOU","D",75,"FA","NOR 0<br/>@BOU 0 F",8.5,8.5,"89%","30.90%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,46,39,84.8,3,0,0,0,0,0,0,1,0,1,1,2,2,0,0,0,0,0,1,2,0,2,0,0,0,8,0,0,8,5,2,0,0,0,0,0,0,0,0,1,90,"10/19/19",2305,5,"nl NED","CB",90,0,0,0,0,1,0,0,0,53,7,1,1,1,0,0,0,0,0,39,46,84.8,212,27,119,0,0,"Norwich City",0.4,0.15,0.88,7.48,0.5,0,0,0,0,0,0,0,0,-0.3,5.28,7.48,0
"394","Brighton",1,"Lewis Dunk","BHA","D",12,"FA","BHA 3<br/>@WAT 0 F",20.75,20.75,"89%","16.70%",1,90,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,6,2,2,0,0,1,0,0,0,0,0,0,0,59,54,91.5,4,0,0,0,0,0,0,1,0,2,0,3,3,0,0,2,0,1,7,5,3,2,1,0,0,7,0,0,6,8,7,0,0,0,0,0,0,0,0,1,90,"08/10/19",80,5,"eng ENG","CB",90,0,1,0,0,0,0,1,0,71,11,2,2,3,0,0,0.4,1,1,53,57,93,429,44,115,0,0,"Watford",0.9,0.65,0.48,11.53,0.75,0,3.2,2,0,0,0,0,0,-1.3,2.88,6.33,5.2
"395","Brighton",1,"Dan Burn","BHA","D",42,"FA","BHA 3<br/>@WAT 0 F",13.5,13.5,"26%","-20.30%",1,90,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,61,46,75.4,2,0,0,0,0,0,0,1,0,1,0,6,6,1,0,0,0,0,5,3,4,1,0,0,0,5,0,0,17,14,5,0,0,0,0,0,0,0,0,1,90,"08/10/19",79,33,"eng ENG","CB",90,0,0,0,0,0,0,0,0,76,11,0,1,1,0,0,0,0,0,49,60,81.7,318,47,129,0,1,"Watford",0.9,0.65,0.48,9.08,1.5,0,0,0,0,0,0,0,0,-1.3,2.88,5.08,0
"396","Brighton",1,"Shane Duffy","BHA","D",14,"FA","BHA 3<br/>@WAT 0 F",20.5,20.5,"37%","-3.40%",1,90,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,2,2,0,0,0,0,0,0,0,0,0,0,49,37,75.5,1,0,0,0,0,0,0,0,0,2,0,6,6,1,1,3,0,0,14,5,8,3,0,0,0,9,0,0,14,11,5,0,0,0,0,0,0,0,0,1,90,"08/10/19",81,4,"ie IRL","CB",90,0,0,0,0,0,0,0,0,66,14,3,2,2,0,0,0,0,0,36,47,76.6,201,31,116,0,0,"Watford",0.9,0.65,0.48,16.08,1.5,0,0,0,0,0,0,0,0,-1.3,2.88,7.08,1
"398","Brighton",10,"Adam Webster","BHA","D",175,"FA","EVE 2<br/>@BHA 3 F",-7.25,-7.25,"53%","25.80%",1,90,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,70,64,91.4,7,0,0,0,0,0,0,0,0,2,0,3,3,2,2,2,0,0,3,3,0,3,0,0,0,5,0,0,7,5,3,0,0,0,0,0,0,1,2,0,0,"10/26/19",2551,15,"eng ENG","CB",90,0,0,0,0,0,0,0,0,86,5,2,2,3,0,0,0,1,0,69,75,92,476,65,351,3,3,"Everton",0.8,0.55,0.56,-0.990000000000001,0.75,0,0,0,0,0,0,0,-9,-1.1,3.36,-2.99,2
"401","Brighton",10,"Lewis Dunk","BHA","D",81,"FA","EVE 2<br/>@BHA 3 F",3.25,3.25,"89%","16.70%",1,90,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,77,65,84.4,1,0,0,0,0,0,0,1,1,2,1,1,1,0,0,1,0,1,2,2,1,1,0,0,0,7,0,0,12,11,5,0,0,0,0,0,0,0,2,0,0,"10/26/19",2550,5,"eng ENG","CB",90,0,0,0,0,1,1,0,0,85,4,0,2,3,0.1,0.1,0,1,0,65,76,85.5,498,60,168,0,0,"Everton",0.8,0.55,0.56,10.51,0.25,1,0,2,2,0,0,0,0,-1.1,3.36,4.51,5
"403","Brighton",11,"Lewis Dunk","BHA","D",81,"FA","NOR 0<br/>@BHA 2 F",14.25,14.25,"89%","16.70%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,71,67,94.4,11,0,0,0,0,0,0,1,0,4,0,1,1,1,1,2,0,2,6,2,1,1,0,0,0,13,0,0,5,5,3,0,0,0,0,0,0,0,0,1,90,"11/02/19",2907,5,"eng ENG","CB",90,0,0,0,0,0,0,0,0,85,9,4,4,2,0,0,0,2,0,69,72,95.8,490,61,187,1,1,"Norwich City",0.4,0.15,0.88,13.23,0.25,0,0,0,0,0,0,0,0,-0.3,5.28,11.23,1
"405","Brighton",12,"Lewis Dunk","BHA","D",81,"FA","BHA 1<br/>@MUN 3 F",8.5,8.5,"89%","16.70%",1,90,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0.5,0,0,2,0,2,18,2,0,0,0,1,0,0,0,0,0,0,0,81,67,82.7,6,0,0,0,0,0,0,1,0,1,1,2,2,0,0,0,0,0,3,7,1,2,0,0,1,9,0,0,18,15,7,0,0,0,0,0,0,0,3,0,0,"11/10/19",3253,5,"eng ENG","CB",90,1,0,0,0,1,1,1,0,90,11,4,1,5,0.1,0.1,0,0,0,60,77,77.9,475,62,214,0,1,"Manchester Utd",2.3,2.05,0,1.4,0.5,1,0,2,2,-1,0,0,0,-4.1,0,-0.6,4
"406","Brighton",12,"Shane Duffy","BHA","D",198,"FA","BHA 1<br/>@MUN 3 F",1.25,1.25,"37%","-3.40%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,46,41,89.1,1,0,0,0,0,0,0,0,0,4,1,3,3,0,0,0,0,3,5,2,3,0,0,0,0,4,0,0,6,8,5,0,0,0,0,0,0,0,3,0,0,"11/10/19",3252,4,"ie IRL","CB",90,0,0,0,0,1,0,0,0,63,11,2,4,4,0.4,0.4,0,0,0,42,47,89.4,317,39,133,0,1,"Manchester Utd",2.3,2.05,0,7.15,0.75,4,0,0,0,-0.5,0,0,0,-4.1,0,0.65,3.5
"409","Brighton",13,"Shane Duffy","BHA","D",198,"FA","LEI 2<br/>@BHA 0 F",-2.75,-2.75,"37%","-3.40%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0,36,32,88.9,4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,5,6,2,0,0,0,0,0,0,0,2,0,0,"11/23/19",3485,4,"ie IRL","CB",90,0,0,0,0,2,0,0,0,44,4,0,1,0,0.7,0.7,0,0,0,33,38,86.8,201,26,22,0,0,"Leicester City",3.4,3.15,0,1.95,0.25,7,0,0,0,0,0,0,0,-6.3,0,-5.05,7
"410","Brighton",13,"Adam Webster","BHA","D",175,"FA","LEI 2<br/>@BHA 0 F",-2.75,-2.75,"53%","25.80%",1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,1,0,0,0,1,0,0,0,57,48,84.2,5,0,0,0,0,0,0,1,0,2,2,1,1,0,0,0,0,0,0,4,0,1,0,0,0,6,0,0,12,6,2,0,0,0,0,0,0,0,2,0,0,"11/23/19",3484,15,"eng ENG","CB",90,0,0,0,0,0,0,1,0,63,6,0,2,3,0,0,0.3,1,0,47,54,87,420,45,211,0,0,"Leicester City",3.4,3.15,0,-2.65,0.25,0,2.4,2,0,0,0,0,0,-6.3,0,-4.05,4.4
"413","Brighton",14,"Lewis Dunk","BHA","D",81,"FA","BHA 1<br/>@LIV 2 F",15,15,"89%","16.70%",1,90,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0.3,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,82,74,90.2,6,0,0,0,0,0,0,2,1,3,0,4,4,0,0,0,0,2,3,1,2,1,0,1,0,8,1,0,9,14,10,0,0,0,0,0,0,0,2,0,0,"11/30/19",3662,5,"eng ENG","CB",90,1,0,0,0,3,1,0,0,92,6,1,3,5,0.7,0.7,0,0,0,74,79,93.7,551,60,170,0,0,"Liverpool",1.8,1.55,0,12.9,1,7,0,0,2,0,0,0,0,-3.1,0,1.9,9
"414","Brighton",14,"Adam Webster","BHA","D",175,"FA","BHA 1<br/>@LIV 2 F",3.5,3.5,"53%","25.80%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,71,64,90.1,5,0,0,0,0,0,0,0,0,1,0,6,6,1,1,1,0,0,6,2,4,1,0,0,0,4,0,0,7,4,4,0,0,0,0,0,0,0,2,0,0,"11/30/19",3663,15,"eng ENG","CB",90,0,0,0,0,1,0,0,0,78,2,1,1,1,0,0,0.2,2,0,64,70,91.4,516,60,206,1,1,"Liverpool",1.8,1.55,0,6,1.5,0,1.6,0,0,0,0,0,0,-3.1,0,-0.6,2.6
"416","Brighton",15,"Lewis Dunk","BHA","D",81,"FA","BHA 2<br/>@ARS 1 F",5.5,5.5,"89%","16.70%",1,90,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,48,42,87.5,5,0,0,0,0,0,0,0,0,1,0,4,4,0,0,1,0,0,4,3,4,2,0,0,0,9,0,0,8,10,7,0,0,0,0,0,0,0,1,0,0,"12/05/19",4127,5,"eng ENG","CB",90,0,0,0,0,1,0,0,0,55,6,0,1,1,0.2,0.2,0,1,0,41,48,85.4,183,31,55,0,0,"Arsenal",1.1,0.85,0.32,9.72,1,2,0,2,0,-0.5,0,0,0,-1.7,1.92,2.22,3.5
"417","Brighton",15,"Adam Webster","BHA","D",175,"FA","BHA 2<br/>@ARS 1 F",23,23,"53%","25.80%",1,90,1,2,0,1,0,0,0,0,0,0,0,0,0,4,4,1,0,0,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,43,35,81.4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,2,3,2,0,0,0,4,0,0,8,6,3,0,0,0,0,0,0,0,1,0,0,"12/05/19",4128,15,"eng ENG","CB",90,1,0,0,0,4,4,0,0,51,9,2,1,0,0.4,0.4,0,1,0,35,44,79.5,242,32,108,0,0,"Arsenal",1.1,0.85,0.32,19.22,0,4,0,2,8,0,0,0,0,-1.7,1.92,2.22,14
