"","Team.y","game_week","Player","Team.x","Position","Rk","Status","Opponent.x","FPts","FP/G","% Owned","+/-","GP","Min.x","G","GOF","A2","KP","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","AT","S","SOT","SA","SOP","SB","TkW","TLM","DIS","PLC","FC","FS","ErS","ErG","YC","SYC","RC","HB","Pen","DP","6S","Off","PA","AP","PC%","SFTP","C","ACNC","CF","CK","CIB","CF_1","CC","FKS","Int.x","IntB","CLRA","CLR","CoA","CoS","CoSF","BC","BS","DW","DL","AER","AERL","BCC","BCM","BCS","BR","FKG","FKM","PL","LB","LBA","SubOn","SubOff","PKG","PKA","PKM","PKD","OG","GAD","CS","MCS","Date","X1","#","Nation","Pos","Min.y","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Press","Tkl","Int.y","Blocks","xG","npxG","xA","SCA","GCA","Cmp","Att","Cmp%","PrgDist","Carries","PrgDist.1","Succ","Att.1","Opponent.y","xG_against","GAD_against","xCS","xPts","CLRpts","xGpts","xApts","KPpts","SOTpts","DISpts","YCpts","RCpts","OGpts","xGADpts","xCSpts","defPts","offPts"
"1312","Liverpool",29,"Virgil van Dijk","LIV","D",55,"FA","BOU 1<br/>@LIV 2 F",19.5,19.5,"100%","0%",1,90,0,2,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,131,121,92.4,16,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,8,4,7,4,1,0,0,6,0,0,10,12,7,0,0,0,0,0,0,0,1,0,0,"03/07/20",7636,4,"nl NED","CB",90,0,1,0,0,1,1,0,0,133,4,0,0,0,0,0,0.5,2,1,118,125,94.4,620,101,196,0,0,"Bournemouth",1.3,1.05,0.16,16.36,0.5,0,4,4,2,0,0,0,0,-2.1,0.96,-0.640000000000001,10
"1313","Liverpool",29,"Joseph Gomez","LIV","D",63,"FA","BOU 1<br/>@LIV 2 F",7.5,7.5,"95%","4.20%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,131,113,86.3,24,1,1,0,0,0,0,0,0,4,0,2,2,0,0,2,0,0,5,3,4,3,0,0,0,6,0,0,20,15,9,0,0,0,0,0,0,0,1,0,0,"03/07/20",7637,12,"eng ENG","CB",90,0,0,0,0,0,0,0,0,137,7,1,4,0,0,0,0,2,0,110,124,88.7,732,99,260,0,0,"Bournemouth",1.3,1.05,0.16,8.36,0.5,0,0,0,0,0,0,0,0,-2.1,0.96,3.36,1
"1315","Liverpool",3,"Joel Matip","LIV","D",182,"FA","ARS 1<br/>@LIV 3 F",21.25,21.25,"47%","-6.30%",1,90,1,3,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,39,31,79.5,7,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,0,1,6,0,3,0,0,0,0,5,0,0,8,5,2,0,0,0,0,0,0,0,1,0,0,"08/24/19",725,32,"cm CMR","CB",90,1,0,0,0,1,1,0,0,48,11,3,3,1,0.1,0.1,0,0,0,30,37,81.1,269,29,129,0,0,"Arsenal",1,0.75,0.4,15.15,0.25,1,0,2,2,0,0,0,0,-1.5,2.4,7.15,5
"1318","Liverpool",3,"Virgil van Dijk","LIV","D",55,"FA","ARS 1<br/>@LIV 3 F",-1.5,-1.5,"100%","0%",1,90,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,28,26,92.9,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,"08/24/19",724,4,"nl NED","CB",90,0,0,0,0,1,0,0,0,34,2,1,0,1,0,0,0,0,0,27,27,100,258,18,13,0,0,"Arsenal",1,0.75,0.4,1.4,0.5,0,0,0,0,0,0,0,0,-1.5,2.4,1.4,0
"1319","Liverpool",30,"Virgil van Dijk","LIV","D",22,"W (Tue)","LIV 0<br/>@EVE 0 F",18.5,18.5,"100%","-0.20%",1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,84,74,88.1,4,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,11,2,10,1,0,0,0,5,0,0,10,11,6,0,0,0,0,0,0,0,0,1,90,"06/21/20",8227,4,"nl NED","CB",90,0,0,0,0,1,1,0,0,88,2,0,0,0,0,0,0,0,0,72,80,90,617,58,97,0,0,"Everton",1.4,1.15,0.0800000000000001,10.68,0.5,0,0,0,2,0,0,0,0,-2.3,0.48,-1.32,2
"1320","Liverpool",30,"Joel Matip","LIV","D",57,"W (Tue)","LIV 0<br/>@EVE 0 F",13,13,"42%","-1.40%",1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,61,58,95.1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,0,6,0,0,0,0,3,0,0,4,6,5,0,1,0,0,0,0,0,0,1,73,"06/21/20",8228,32,"cm CMR","CB",72,0,0,0,0,1,0,0,0,66,4,1,1,0,0.2,0.2,0,1,0,60,62,96.8,538,51,406,0,0,"Everton",1.4,1.15,0.0800000000000001,7.18,0,2,0,0,0,0,0,0,0,-2.3,0.48,-0.819999999999999,2
"1323","Liverpool",31,"Joseph Gomez","LIV","D",15,"W (Tue)","CRY 0<br/>@LIV 4 F",18,18,"83%","-7.30%",1,90,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,121,110,90.9,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,7,3,6,2,0,0,0,9,0,0,11,13,10,0,0,0,0,0,0,0,0,1,90,"06/24/20",8451,12,"eng ENG","CB",90,0,0,0,0,0,0,0,0,129,6,0,6,0,0,0,0,2,1,114,123,92.7,722,98,305,0,0,"Crystal Palace",0.2,0,1,18,0,0,0,0,0,0,0,0,0,0,6,12,0
"1324","Liverpool",31,"Virgil van Dijk","LIV","D",11,"W (Tue)","CRY 0<br/>@LIV 4 F",19,19,"100%","-0.20%",1,90,0,4,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,139,129,92.8,23,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,5,3,4,1,0,1,0,8,0,0,10,10,8,0,0,0,0,0,0,0,0,1,90,"06/24/20",8450,4,"nl NED","CB",90,0,0,0,0,2,0,0,0,141,6,0,1,0,0.3,0.3,0,2,1,130,139,93.5,743,110,350,0,0,"Crystal Palace",0.2,0,1,14,0,3,0,0,0,0,0,0,0,0,6,7,3
"1327","Liverpool",32,"Virgil van Dijk","LIV","D",557,"W (Tue)","LIV 0<br/>@MCI 4 F",-2.25,-2.25,"100%","-0.20%",1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,67,57,85.1,4,0,0,0,0,0,0,1,0,3,0,3,3,0,0,1,0,1,1,1,0,1,0,0,0,7,0,0,10,11,4,0,0,0,0,0,0,0,4,0,0,"07/02/20",8845,4,"nl NED","CB",90,0,0,0,0,0,0,0,0,74,5,0,3,2,0,0,0.2,1,0,58,68,85.3,338,50,78,0,0,"Manchester City",3,2.75,0,1.85,0.75,0,1.6,2,0,0,0,0,0,-5.5,0,-1.75,3.6
"1330","Liverpool",33,"Virgil van Dijk","LIV","D",46,"W (Tue)","AVL 0<br/>@LIV 2 F",12.5,12.5,"100%","-0.20%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,74,64,86.5,8,0,0,0,0,0,0,0,0,0,0,6,6,0,0,1,0,1,6,1,5,1,0,0,0,9,0,0,10,11,7,0,0,0,0,0,0,0,0,1,90,"07/05/20",9073,4,"nl NED","CB",90,0,0,0,0,0,0,0,0,84,3,1,0,1,0,0,0,0,0,66,77,85.7,471,53,103,0,0,"Aston Villa",0.5,0.25,0.8,10.8,1.5,0,0,0,0,0,0,0,0,-0.5,4.8,5.8,0
"1331","Liverpool",33,"Joseph Gomez","LIV","D",59,"W (Tue)","AVL 0<br/>@LIV 2 F",10.5,10.5,"83%","-7.30%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,87,77,88.5,9,0,0,0,0,0,0,1,0,1,1,2,2,0,0,1,0,0,4,2,2,2,0,0,0,5,0,0,10,9,5,0,0,0,0,0,0,0,0,1,90,"07/05/20",9074,12,"eng ENG","CB",90,0,0,0,0,0,0,0,0,92,4,1,1,0,0,0,0,0,0,81,88,92,530,69,319,0,0,"Aston Villa",0.5,0.25,0.8,8.8,0.5,0,0,0,0,0,0,0,0,-0.5,4.8,6.8,0
"1333","Liverpool",34,"Virgil van Dijk","LIV","D",57,"W (Tue)","LIV 3<br/>@BHA 1 F",11,11,"100%","-0.20%",1,90,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,45,42,93.3,3,0,0,0,0,0,0,1,0,2,1,8,8,1,1,1,0,1,8,3,6,2,0,0,0,4,0,0,3,5,4,0,0,0,0,0,0,0,1,0,0,"07/08/20",9342,4,"nl NED","CB",90,0,0,0,0,0,0,0,0,58,1,1,2,1,0,0,0.2,1,0,43,45,95.6,333,24,49,1,1,"Brighton",2.4,2.15,0,10.3,2,0,1.6,2,0,0,0,0,0,-4.3,0,-0.3,4.6
"1334","Liverpool",34,"Joseph Gomez","LIV","D",150,"W (Tue)","LIV 3<br/>@BHA 1 F",3.5,3.5,"83%","-7.30%",1,90,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,3,1,0,0,1,0,0,0,0,0,0,0,49,41,83.7,3,0,0,0,0,0,0,1,0,5,0,2,2,0,0,1,1,1,4,8,2,3,0,0,0,5,0,0,11,7,4,0,0,0,0,0,0,0,1,0,0,"07/08/20",9343,12,"eng ENG","CB",90,0,0,0,0,0,0,1,0,63,9,2,5,3,0,0,0,1,0,44,53,83,287,35,58,0,0,"Brighton",2.4,2.15,0,1.2,0.5,0,0,0,0,0,0,0,0,-4.3,0,2.2,0
"1337","Liverpool",35,"Virgil van Dijk","LIV","D",112,"W (Tue)","BUR 1<br/>@LIV 1 F",5,5,"100%","-0.20%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,86,71,82.6,6,0,0,0,0,0,1,1,0,2,1,4,4,0,0,0,0,1,4,1,4,1,0,0,0,5,0,0,15,13,6,0,0,0,0,0,0,0,1,0,0,"07/11/20",9503,4,"nl NED","CB",90,0,0,0,0,0,0,0,0,95,5,0,2,1,0,0,0,1,0,70,81,86.4,570,58,102,0,0,"Burnley",0.7,0.45,0.64,9.94,1,0,0,0,0,0,0,0,0,-0.9,3.84,5.94,0
"1338","Liverpool",35,"Joseph Gomez","LIV","D",563,"W (Tue)","BUR 1<br/>@LIV 1 F",-3.5,-3.5,"83%","-7.30%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,1,0,0,0,0,0,0,0,85,74,87.1,7,0,0,0,0,0,0,2,0,0,0,2,2,1,0,0,0,1,1,4,1,2,0,0,0,8,0,0,16,21,12,0,0,0,0,0,0,0,1,0,0,"07/11/20",9504,12,"eng ENG","CB",90,0,0,0,0,0,0,1,0,96,3,0,0,1,0,0,0,0,0,72,82,87.8,584,72,233,1,2,"Burnley",0.7,0.45,0.64,1.44,0.5,0,0,0,0,0,0,0,0,-0.9,3.84,3.44,0
"1340","Liverpool",36,"Virgil van Dijk","LIV","D",130,"W (Tue)","LIV 1<br/>@ARS 2 F",4.25,4.25,"100%","-0.20%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,91,84,92.3,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,3,6,2,0,0,0,6,0,0,7,15,12,0,0,0,0,0,0,0,2,0,0,"07/15/20",9878,4,"nl NED","CB",90,0,0,0,0,2,1,0,0,91,1,0,0,0,0.2,0.2,0,0,0,81,88,92,515,72,93,0,0,"Arsenal",0.9,0.65,0.48,11.83,0.25,2,0,0,2,0,0,0,0,-1.3,2.88,1.83,4
"1342","Liverpool",36,"Joseph Gomez","LIV","D",157,"W (Tue)","LIV 1<br/>@ARS 2 F",3,3,"83%","-7.30%",1,90,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,82,66,80.5,8,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,6,7,3,6,0,0,0,10,0,0,17,15,10,0,0,0,0,0,0,0,2,0,0,"07/15/20",9879,12,"eng ENG","CB",90,0,0,0,0,0,0,0,0,88,8,1,1,1,0,0,0,2,0,71,84,84.5,534,63,152,0,1,"Arsenal",0.9,0.65,0.48,8.58,0,0,0,2,0,0,0,0,0,-1.3,2.88,3.58,2
"1343","Liverpool",4,"Joel Matip","LIV","D",182,"FA","LIV 3<br/>@BUR 0 F",10.5,10.5,"47%","-6.30%",1,90,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,3,0,0,0,0,0,0,0,0,0,0,62,41,66.1,2,0,0,0,0,0,0,0,0,1,0,2,2,0,0,3,0,1,5,3,3,0,0,0,0,11,0,0,21,15,5,0,0,0,0,0,0,0,0,1,90,"08/31/19",1045,32,"cm CMR","CB",90,0,0,0,0,0,0,0,0,67,5,0,1,2,0,0,0,0,0,41,53,77.4,290,42,173,0,0,"Burnley",0.5,0.25,0.8,8.8,0.5,0,0,0,0,0,0,0,0,-0.5,4.8,5.8,0
"1345","Liverpool",4,"Virgil van Dijk","LIV","D",55,"FA","LIV 3<br/>@BUR 0 F",18.75,18.75,"100%","0%",1,90,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,1,1,0,0,0,0,0,0,0,0,0,0,80,67,83.8,1,0,0,0,0,0,0,1,0,0,0,11,11,0,0,1,0,0,11,3,10,1,0,0,0,8,0,0,13,5,1,0,0,0,0,0,0,0,0,1,90,"08/31/19",1044,4,"nl NED","CB",90,0,0,0,0,1,0,0,0,92,3,0,0,0,0,0,0,0,0,69,81,85.2,372,51,130,0,0,"Burnley",0.5,0.25,0.8,17.05,2.75,0,0,0,0,0,0,0,0,-0.5,4.8,7.05,0
"1349","Liverpool",5,"Virgil van Dijk","LIV","D",55,"FA","NEW 1<br/>@LIV 3 F",9.5,9.5,"100%","0%",1,90,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0.3,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,126,121,96,20,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,8,2,7,2,0,0,0,9,0,0,5,6,4,0,0,0,0,0,0,0,1,0,0,"09/14/19",1111,4,"nl NED","CB",90,0,0,0,0,2,0,0,0,128,5,1,1,1,0,0,0,1,0,112,118,94.9,881,95,220,0,0,"Newcastle Utd",0.4,0.15,0.88,16.48,0.5,0,0,0,2,0,0,0,0,-0.3,5.28,7.48,2
"1350","Liverpool",5,"Joel Matip","LIV","D",182,"FA","NEW 1<br/>@LIV 3 F",15.5,15.5,"47%","-6.30%",1,90,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,13,1,1,0,0,0,0,0,0,0,0,0,0,107,96,89.7,16,1,0,1,0,0,0,0,0,2,0,4,4,0,0,1,0,0,16,4,12,1,0,0,0,5,0,0,13,5,1,0,0,0,0,0,0,0,1,0,0,"09/14/19",1112,32,"cm CMR","CB",90,0,0,0,0,1,0,0,0,122,10,3,2,0,0,0,0,1,0,94,102,92.2,645,80,339,0,0,"Newcastle Utd",0.4,0.15,0.88,22.48,1,0,0,0,0,-0.5,0,0,0,-0.3,5.28,10.98,-0.5
"1352","Liverpool",6,"Virgil van Dijk","LIV","D",55,"FA","LIV 2<br/>@CHE 1 F",5.25,5.25,"100%","0%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,46,36,78.3,1,0,0,0,0,0,0,2,0,1,0,5,5,0,0,0,0,0,5,3,4,2,0,0,0,3,0,0,10,9,3,0,0,0,0,0,0,0,1,0,0,"09/22/19",1626,4,"nl NED","CB",90,0,0,0,0,0,0,0,0,52,8,1,1,0,0,0,0,0,0,32,40,80,212,24,40,0,0,"Chelsea",1.3,1.05,0.16,6.11,1.25,0,0,0,0,0,0,0,0,-2.1,0.96,2.11,0
"1353","Liverpool",6,"Joel Matip","LIV","D",182,"FA","LIV 2<br/>@CHE 1 F",7.75,7.75,"47%","-6.30%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,14,1,0,0,0,0,0,0,0,0,0,0,0,40,27,67.5,2,0,0,0,0,0,0,1,0,1,0,9,9,0,0,0,1,0,8,3,5,1,0,0,0,7,0,0,14,8,1,0,0,0,0,0,0,0,1,0,0,"09/22/19",1627,32,"cm CMR","CB",90,0,0,0,0,0,0,0,0,54,11,2,1,2,0,0,0,0,0,28,38,73.7,289,28,116,0,0,"Chelsea",1.3,1.05,0.16,8.61,2.25,0,0,0,0,-0.5,0,0,0,-2.1,0.96,4.11,-0.5
"1356","Liverpool",7,"Virgil van Dijk","LIV","D",55,"FA","LIV 1<br/>@SHU 0 F",22.75,22.75,"100%","0%",1,90,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,1,103,85,82.5,4,0,0,0,0,0,0,1,0,1,0,7,7,0,0,0,0,1,12,3,12,2,1,0,0,3,0,0,18,16,12,0,0,0,0,0,0,0,0,1,90,"09/28/19",1681,4,"nl NED","CB",90,0,0,0,0,0,0,0,0,112,2,2,1,1,0,0,0.4,1,0,84,92,91.3,655,58,104,0,0,"Sheffield Utd",1.4,1.15,0.0800000000000001,18.13,1.75,0,3.2,2,0,0,0,0,0,-2.3,0.48,0.930000000000001,5.2
"1358","Liverpool",7,"Joel Matip","LIV","D",182,"FA","LIV 1<br/>@SHU 0 F",17.25,17.25,"47%","-6.30%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,97,87,89.7,8,0,0,0,0,0,0,1,0,0,0,5,5,2,2,2,0,0,10,2,7,2,0,0,0,7,0,0,10,8,4,0,0,0,0,0,0,0,0,1,90,"09/28/19",1682,32,"cm CMR","CB",90,0,0,0,0,0,0,0,0,104,5,2,0,0,0,0,0,0,0,85,93,91.4,474,74,324,2,2,"Sheffield Utd",1.4,1.15,0.0800000000000001,9.43,1.25,0,0,0,0,0,0,0,0,-2.3,0.48,0.430000000000001,2
"1361","Liverpool",8,"Virgil van Dijk","LIV","D",55,"FA","LEI 1<br/>@LIV 2 F",5.75,5.75,"100%","0%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,53,45,84.9,1,0,0,0,0,0,0,0,0,1,0,7,7,0,0,3,0,0,8,2,4,2,0,0,0,11,0,0,8,9,4,0,0,0,0,0,0,0,1,0,0,"10/05/19",1972,4,"nl NED","CB",90,0,0,0,0,1,0,0,0,62,4,1,1,0,0.1,0.1,0,1,0,43,51,84.3,325,32,180,0,0,"Leicester City",0.2,0,1,14.75,1.75,1,0,0,0,0,0,0,0,0,6,9.75,1
"1362","Liverpool",8,"Dejan Lovren","LIV","D",287,"FA","LEI 1<br/>@LIV 2 F",9,9,"11%","0.30%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,41,36,87.8,1,0,0,0,0,0,1,1,0,2,0,8,8,0,0,0,1,0,7,3,5,1,0,0,0,4,0,0,5,6,2,0,0,0,0,0,0,0,1,0,0,"10/05/19",1973,6,"hr CRO","CB",90,0,0,0,0,1,0,0,0,56,7,2,2,1,0.1,0.1,0,1,0,37,40,92.5,422,16,21,0,0,"Leicester City",0.2,0,1,18,2,1,0,0,0,0,0,0,0,0,6,12,1
"1363","Liverpool",9,"Virgil van Dijk","LIV","D",55,"FA","LIV 1<br/>@MUN 1 F",2.25,2.25,"100%","0%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,91,81,89,4,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,0,0,3,1,3,1,0,0,0,5,0,0,10,9,5,0,0,0,0,0,0,0,1,0,0,"10/20/19",2455,4,"nl NED","CB",90,0,0,0,0,0,0,0,0,93,5,1,0,0,0,0,0,0,0,74,81,91.4,511,69,119,0,0,"Manchester Utd",0.7,0.45,0.64,7.19,1.25,0,0,0,0,0,0,0,0,-0.9,3.84,4.19,0
"1366","Liverpool",9,"Joel Matip","LIV","D",182,"FA","LIV 1<br/>@MUN 1 F",7.25,7.25,"47%","-6.30%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,77,70,90.9,6,0,0,0,0,0,0,1,0,3,0,5,5,0,0,0,0,1,6,6,5,0,0,0,0,8,0,0,8,3,2,0,0,0,0,0,0,0,1,0,0,"10/20/19",2456,32,"cm CMR","CB",90,0,0,0,0,0,0,0,0,87,5,1,3,2,0,0,0,1,0,64,70,91.4,377,54,221,0,0,"Manchester Utd",0.7,0.45,0.64,12.19,1.25,0,0,0,0,0,0,0,0,-0.9,3.84,7.19,0
"1367","Manchester City",1,"John Stones","MCI","D",68,"FA","MCI 5<br/>@WHU 0 F",10,10,"63%","27.40%",1,90,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,52,49,94.2,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,3,1,0,1,0,0,0,5,0,0,4,5,4,0,0,0,0,0,0,0,0,1,90,"08/10/19",53,5,"eng ENG","CB",90,0,0,0,0,0,0,0,0,60,10,3,0,0,0,0,0,1,0,50,52,96.2,312,43,142,0,1,"West Ham",0.7,0.45,0.64,6.94,1,0,0,0,0,0,0,0,0,-0.9,3.84,6.94,0
"1369","Manchester City",1,"Aymeric Laporte","MCI","D",25,"FA","MCI 5<br/>@WHU 0 F",16.5,16.5,"84%","17%",1,90,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,74,66,89.2,5,0,0,0,0,0,0,0,0,4,0,2,2,2,1,2,0,0,8,5,5,3,0,0,0,4,0,0,9,11,8,0,0,0,0,0,0,0,0,1,90,"08/10/19",52,14,"fr FRA","CB",90,0,0,0,0,0,0,0,0,75,4,1,4,0,0,0,0,0,0,62,65,95.4,511,48,301,2,2,"West Ham",0.7,0.45,0.64,13.44,0.5,0,0,0,0,0,0,0,0,-0.9,3.84,7.44,1
"1372","Manchester City",10,"John Stones","MCI","D",148,"FA","AVL 0<br/>@MCI 3 F",15.25,15.25,"63%","27.40%",1,90,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,62,57,91.9,6,0,0,0,0,0,1,1,0,1,1,5,5,0,0,0,1,1,5,0,5,0,0,0,0,4,0,0,5,4,4,0,0,0,0,0,0,0,0,1,90,"10/26/19",2524,5,"eng ENG","CB",90,0,0,0,0,1,1,0,0,69,1,0,1,3,0.1,0.1,0,0,0,58,63,92.1,328,47,252,0,0,"Aston Villa",1,0.75,0.4,11.15,1.25,1,0,0,2,0,0,0,0,-1.5,2.4,3.15,3
"1374","Manchester City",11,"John Stones","MCI","D",148,"FA","SOU 1<br/>@MCI 2 F",6.5,6.5,"63%","27.40%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,95,91,95.8,34,0,0,0,0,0,0,0,0,1,0,2,2,1,1,1,0,0,7,1,6,0,0,1,0,10,0,0,6,11,11,0,0,0,0,0,0,0,1,0,0,"11/02/19",2852,5,"eng ENG","CB",90,0,0,0,0,1,0,0,0,104,4,1,1,1,0.3,0.3,0,0,0,93,99,93.9,655,65,186,1,1,"Southampton",0.6,0.35,0.72,15.12,0.5,3,0,0,0,0,0,0,0,-0.7,4.32,5.12,4
"1375","Manchester City",12,"John Stones","MCI","D",148,"FA","MCI 1<br/>@LIV 3 F",0,0,"63%","27.40%",1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,48,44,91.7,3,0,0,0,0,0,0,1,0,1,1,4,4,1,1,1,0,0,4,2,2,2,0,0,0,6,0,0,4,6,4,0,0,0,0,0,0,0,3,0,0,"11/10/19",3308,5,"eng ENG","CB",90,0,0,0,0,1,0,0,0,53,10,1,1,0,0.2,0.2,0,0,0,42,45,93.3,294,38,152,2,2,"Liverpool",0.9,0.65,0.48,9.58,1,2,0,0,0,0,0,0,0,-1.3,2.88,4.58,3
"1378","Manchester City",13,"John Stones","MCI","D",148,"FA","CHE 1<br/>@MCI 2 F",1,1,"63%","27.40%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,76,71,93.4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,1,0,0,"11/23/19",3514,5,"eng ENG","CB",90,0,0,0,0,1,0,0,0,78,11,2,1,1,0,0,0,2,0,70,71,98.6,444,58,226,0,0,"Chelsea",1.2,0.95,0.24,2.54,0,0,0,0,0,0,0,0,0,-1.9,1.44,0.54,0
"1381","Manchester City",14,"John Stones","MCI","D",148,"FA","MCI 2<br/>@NEW 2 F",4.25,4.25,"63%","27.40%",1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,75,73,97.3,4,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,0,0,8,2,5,2,0,0,0,8,0,0,2,4,3,0,0,0,0,0,0,0,2,0,0,"11/30/19",3609,5,"eng ENG","CB",90,0,0,0,0,1,0,0,0,85,10,3,1,2,0.1,0.1,0,0,0,71,72,98.6,534,49,321,0,0,"Newcastle Utd",0.3,0.05,0.96,14.91,1.25,1,0,0,0,0,0,0,0,-0.1,5.76,8.91,1
