"","Team.x","Pos","n","num_diff_players","min_total","sd_emp_pts","sd_xpts","mean_emp_pts","mean_xPts","med_emp_pts","med_xPts","total_emp_fpts","total_xPts","mean_minutes","Team_Pos"
"50","CHE","RW",27,5,2273,7.62619380220775,6.3163424809127,14.2962962962963,14.1185185185185,14.5,14.8,386,381.2,84.1851851851852,"CHE_RW"
"51","CRY","CB",69,6,6155,6.37040667477721,5.25441566019417,5.31521739130435,5.71115942028985,3.75,5.61,366.75,394.07,89.2028985507246,"CRY_CB"
"52","CRY","CM",119,10,10064,4.57636699588998,3.95404745767371,6.70798319327731,6.7936974789916,5.5,6.6,798.25,808.45,84.5714285714286,"CRY_CM"
"53","CRY","DM",29,3,2549,5.01892968394794,4.6956955448843,6.74137931034483,6.67931034482759,5.5,5.9,195.5,193.7,87.8965517241379,"CRY_DM"
"54","CRY","FW",37,4,3102,5.52947330901191,4.7404511258821,8.12162162162162,9.20810810810811,6.5,9.1,300.5,340.7,83.8378378378378,"CRY_FW"
"55","CRY","LB",34,3,2991,8.84871424338818,7.48594045831615,6.53676470588235,6.805,4.5,4.64,222.25,231.37,87.9705882352941,"CRY_LB"
"56","CRY","RB",35,2,3066,6.03621772053891,5.09305917545692,5.82142857142857,5.938,4.5,5.6,203.75,207.83,87.6,"CRY_RB"
"57","EVE","CB",67,4,6029,7.78439937224526,5.80574893658077,6.8955223880597,8.16626865671642,4.75,7.72,462,547.14,89.9850746268657,"EVE_CB"
"58","EVE","CM",45,9,3696,5.33470626268128,4.94763283874933,6.11666666666667,6.46555555555556,5,5.5,275.25,290.95,82.1333333333333,"EVE_CM"
"59","EVE","DM",28,5,2451,4.30773114516768,3.99782182758053,4.66071428571429,4.74642857142857,4.25,4.45,130.5,132.9,87.5357142857143,"EVE_DM"
"60","EVE","DM,CM",11,4,949,3.10131936733091,2.5228050766053,4.77272727272727,4.96363636363636,4,4.5,52.5,54.6,86.2727272727273,"EVE_DM,CM"
"61","EVE","FW",43,3,3544,8.21273758823724,6.97273443282142,8.83720930232558,9.0953488372093,6,6.6,380,391.1,82.4186046511628,"EVE_FW"
"62","EVE","LB",23,1,2040,8.46613224896215,5.93876306307699,12.1195652173913,13.4039130434783,13.5,13.42,278.75,308.29,88.695652173913,"EVE_LB"
"63","EVE","RB",24,2,2076,6.35252859617471,4.84838745043805,7.1875,8.725,4.75,7.545,172.5,209.4,86.5,"EVE_RB"
"64","EVE","RW",11,3,868,8.65867930303042,4.51186315072932,9.45454545454546,8.69090909090909,6.5,7.1,104,95.6,78.9090909090909,"EVE_RW"
"65","LEI","CB",80,4,7122,6.33397696873823,5.12538921646475,7.65625,7.96425,6.625,7.88,612.5,637.14,89.025,"LEI_CB"
"66","LEI","CM",90,7,7286,8.62917741568747,5.95009258312971,9.52777777777778,8.82777777777778,6.5,7.85,857.5,794.5,80.9555555555555,"LEI_CM"
"67","LEI","DM",35,4,3093,5.45501080266051,5.04476931870939,8.01428571428571,7.99714285714286,7.5,7.5,280.5,279.9,88.3714285714286,"LEI_DM"
"68","LEI","FW",38,3,3310,10.6906005563787,8.17865069368258,13.5394736842105,11.9684210526316,12.5,9.45,514.5,454.8,87.1052631578947,"LEI_FW"
"69","LEI","LB",24,3,2150,11.0230119966487,7.89302921221805,10.9375,10.7583333333333,9.375,8.95,262.5,258.2,89.5833333333333,"LEI_LB"
"70","LEI","RB",24,2,2160,7.72746108960145,6.07718289939949,9.78125,9.77708333333333,9.875,11.555,234.75,234.65,90,"LEI_RB"
"71","LIV","CB",70,4,6283,6.54550977695134,4.58764991010894,9.91785714285714,9.43757142857143,8.875,9.01,694.25,660.63,89.7571428571429,"LIV_CB"
"72","LIV","CM",57,5,4507,6.0605238944077,4.4048062722144,7.19298245614035,7.13508771929825,5.5,6.4,410,406.7,79.0701754385965,"LIV_CM"
"73","LIV","DM",28,2,2483,5.81035724570799,4.20082348943847,8.33928571428571,7.46071428571429,8,6.85,233.5,208.9,88.6785714285714,"LIV_DM"
"74","LIV","FW",30,3,2514,8.92370277767967,5.7652905141583,11.2833333333333,12.2933333333333,8.25,11.85,338.5,368.8,83.8,"LIV_FW"
"75","LIV","LB",33,2,2947,7.74443837586534,8.08148648848938,11.2651515151515,10.9063636363636,10,8.69,371.75,359.91,89.3030303030303,"LIV_LB"
"76","LIV","LW",26,4,2105,7.85241266206665,7.19566215480923,14.5961538461538,13.4653846153846,14.5,11.75,379.5,350.1,80.9615384615385,"LIV_LW"
"77","LIV","RB",32,1,2830,11.2200963452177,9.59224572897296,14.8984375,13.2065625,14.75,11.86,476.75,422.61,88.4375,"LIV_RB"
"78","LIV","RW",25,2,2158,10.4294454950076,6.90571743798813,16.74,15.468,19,13.6,418.5,386.7,86.32,"LIV_RW"
"79","MCI","CB",69,6,6053,6.66133831715655,6.58393554714827,5.02536231884058,6.00565217391304,3.5,6,346.75,414.39,87.7246376811594,"MCI_CB"
"80","MCI","CM",54,6,4643,10.1668470960379,8.01309462908003,16.2777777777778,14.7777777777778,14.75,13.05,879,798,85.9814814814815,"MCI_CM"
"81","MCI","DM",26,3,2276,5.87353909823213,4.28252262107277,8.53846153846154,7.8,7.75,7,222,202.8,87.5384615384615,"MCI_DM"
"82","MCI","FW",30,2,2488,11.6305187123035,8.25856295422911,16.7,15.74,14,13.95,501,472.2,82.9333333333333,"MCI_FW"
"83","MCI","LB",23,2,1996,5.66887260403605,5.88860912196627,8.19565217391304,8.24086956521739,8,8.1,188.5,189.54,86.7826086956522,"MCI_LB"
"84","MCI","LW",23,4,2017,12.2212799572903,7.01708530417066,13.7826086956522,13.1695652173913,9.5,11.3,317,302.9,87.695652173913,"MCI_LW"
"85","MCI","RB",27,2,2412,7.65691734256569,8.07856974803023,7.71296296296296,9.48259259259259,6.75,8.43,208.25,256.03,89.3333333333333,"MCI_RB"
"86","MCI","RW",22,2,1913,11.0016724427151,7.57124458650918,19.1818181818182,17.1227272727273,18.25,16.1,422,376.7,86.9545454545455,"MCI_RW"
"87","MUN","AM",31,4,2452,9.60706505259183,6.6415715849699,12.0645161290323,10.9225806451613,9,10,374,338.6,79.0967741935484,"MUN_AM"
"88","MUN","CB",69,3,6198,6.30469883565858,5.5949506487679,7.30072463768116,8.86913043478261,7,9.12,503.75,611.97,89.8260869565217,"MUN_CB"
"89","MUN","CM",17,3,1449,4.60717949956114,4.42471335063574,7.41176470588235,7.90588235294118,7.5,8,126,134.4,85.2352941176471,"MUN_CM"
"90","MUN","DM",45,5,3824,5.48429806379315,5.07204857702258,7.84444444444444,8.05777777777778,6.5,7.3,353,362.6,84.9777777777778,"MUN_DM"
"91","MUN","FW",39,4,3280,8.4213436184543,6.91685145193224,11.7307692307692,9.89230769230769,12,9.3,457.5,385.8,84.1025641025641,"MUN_FW"
"92","MUN","LB",21,2,1814,6.96880805549168,6.54251524371825,7.71428571428571,9.56571428571429,6,8.26,162,200.88,86.3809523809524,"MUN_LB"
"93","MUN","LW",19,2,1636,8.37166622134671,8.22454961528405,13.3421052631579,13.0894736842105,12.5,12.4,253.5,248.7,86.1052631578947,"MUN_LW"
"94","MUN","RB",27,1,2397,6.78811650172753,6.11421143578479,8.19444444444444,9.87740740740741,8.25,10.03,221.25,266.69,88.7777777777778,"MUN_RB"
"95","MUN","RW",16,3,1273,7.82670375488089,5.51255763386349,9.15625,8.21875,8.75,9.3,146.5,131.5,79.5625,"MUN_RW"
"96","NEW","AM",18,4,1527,5.65945330970279,5.25715199122334,9,9.33333333333333,8.25,8.7,162,168,84.8333333333333,"NEW_AM"
