"","Team","Pos","n","num_diff_players","min_total","sd_emp_pts","sd_xpts","mean_emp_pts","mean_xPts","med_emp_pts","med_xPts","total_emp_fpts","total_xPts","mean_minutes"
"30","BOU","DM",21,3,1843,5.42250601000787,4.57079236644401,6.35714285714286,6.32857142857143,4.5,5.1,133.5,132.9,87.7619047619048
"31","BOU","FW",37,3,3183,6.60429721785306,5.59188467103661,6.62162162162162,7.41621621621622,4,6.1,245,274.4,86.027027027027
"32","BOU","LB",21,2,1839,7.71773236495947,6.4318365517612,7.67857142857143,7.66714285714286,9,8.45,161.25,161.01,87.5714285714286
"33","BOU","RB",22,3,1930,6.66694736963156,4.90516630640659,6.03409090909091,6.10772727272727,3.75,5.59,132.75,134.37,87.7272727272727
"34","BUR","CB",58,2,5220,8.74610037551504,6.30149619016982,8.91810344827586,9.55189655172414,6.75,9.17,517.25,554.01,90
"35","BUR","CM",64,4,5665,6.27977036785708,5.4358668410376,6.90625,6.8734375,5.25,5.75,442,439.9,88.515625
"36","BUR","DM",34,3,3059,4.92791170025298,4.38633431224208,7.05882352941176,6.93529411764706,5.25,5.75,240,235.8,89.9705882352941
"37","BUR","FW",50,3,4179,7.93311324224517,6.39507112500538,8.38,8.002,7,7.85,419,400.1,83.58
"38","BUR","LB",26,2,2340,9.10000528317683,6.78688029611884,8.45192307692308,8.40192307692308,10.125,8.56,219.75,218.45,90
"39","BUR","RB",29,2,2610,6.89731599829206,5.51293713568992,6.97413793103448,7.3148275862069,7.5,8.12,202.25,212.13,90
"40","CHE","AM",15,3,1295,7.35494650526012,5.34624924151325,10.1666666666667,9.56666666666667,7.5,8.9,152.5,143.5,86.3333333333333
"41","CHE","CB",59,5,5284,6.14742834193048,4.71695632506076,5.75847457627119,8.47542372881356,5.25,8.69,339.75,500.05,89.5593220338983
"42","CHE","CM",26,5,2082,8.52076648773228,7.67150672192988,9.78846153846154,9.88076923076923,8.5,8.25,254.5,256.9,80.0769230769231
"43","CHE","DM",33,3,2871,6.48044845062532,5.96712267598908,8.89393939393939,8.43030303030303,7,7.1,293.5,278.2,87
"44","CHE","FW",27,2,2168,8.5187492226904,6.05209812692191,12.1296296296296,10.7407407407407,11.5,10.6,327.5,290,80.2962962962963
"45","CHE","LB",20,3,1758,7.05909035067178,6.27676574024352,10.9625,13.4775,9.75,13.64,219.25,269.55,87.9
"46","CHE","LW",15,5,1222,10.5092929398337,8.60410754620528,13.1333333333333,12.9733333333333,11.5,15.2,197,194.6,81.4666666666667
"47","CHE","RB",21,2,1867,7.20602426545219,6.88153007626038,11.9642857142857,14.3319047619048,12.25,13.2,251.25,300.97,88.9047619047619
"48","CHE","RW",22,5,1837,6.65723087655242,5.63581620019889,12.3409090909091,12.4636363636364,12,12.3,271.5,274.2,83.5
"49","CRY","CB",51,5,4543,6.65898699827063,5.44988782039612,6.51960784313725,6.17450980392157,4,6.11,332.5,314.9,89.078431372549
"50","CRY","CM",97,9,8301,4.55664726052751,3.81596018405442,7.04381443298969,7.03453608247423,6,6.7,683.25,682.35,85.5773195876289
"51","CRY","DM",22,3,1966,4.78255533139299,4.63186778030193,7.70454545454545,7.90909090909091,6.25,7.05,169.5,174,89.3636363636364
"52","CRY","FW",29,3,2411,5.73109442861952,4.84647553621729,8.44827586206897,9.22413793103448,7,9.4,245,267.5,83.1379310344828
"53","CRY","LB",27,3,2374,9.2141543847301,7.77294387026282,6.77777777777778,6.74888888888889,4.5,4.6,183,182.22,87.9259259259259
"54","CRY","RB",28,2,2436,6.25370260695984,5.21872746961521,6.375,6.13857142857143,4.5,4.775,178.5,171.88,87
"55","EVE","CB",56,4,5039,7.19528164299897,5.51697277240232,6.44642857142857,8.23571428571429,4.125,8.22,361,461.2,89.9821428571429
"56","EVE","CM",35,9,2897,4.98098274195266,4.57894936758689,5.62142857142857,6.01857142857143,4.5,5.5,196.75,210.65,82.7714285714286
"57","EVE","DM",25,5,2181,4.23694072022098,3.9124246531616,5.08,5.104,5,5,127,127.6,87.24
