Player,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att,Match Report
Alexandre Lacazette,2/2/20,Sun,Matchweek 25,Away,D 0–0,Arsenal,Burnley,Y,FW,88,0,0,0,0,2,0,0,0,27,27,2,0,0,0.2,0.2,0.1,2,0,15,20,75,50,18,31,1,1,Match Report
Alexandre Lacazette,2/16/20,Sun,Matchweek 26,Home,W 4–0,Arsenal,Newcastle Utd,N,FW,6,1,1,0,0,1,1,0,0,4,1,0,0,0,0.3,0.3,0.4,1,1,3,3,100,3,2,1,0,0,Match Report
Alexandre Lacazette,2/23/20,Sun,Matchweek 27,Home,W 3–2,Arsenal,Everton,N,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,Match Report
Alexandre Lacazette,3/7/20,Sat,Matchweek 29,Home,W 1–0,Arsenal,West Ham,N,FW,32,1,0,0,0,1,1,0,0,15,5,0,0,0,0.4,0.4,0.1,1,0,6,9,66.7,27,10,34,0,0,Match Report
Allan Saint-Maximin,8/11/19,Sun,Matchweek 1,Home,L 0–1,Newcastle Utd,Arsenal,N,CM,24,0,0,0,0,1,1,0,0,15,5,0,0,0,0,0,0,0,0,7,8,87.5,2,15,114,0,1,Match Report
Allan Saint-Maximin,8/25/19,Sun,Matchweek 3,Away,W 1–0,Newcastle Utd,Tottenham,Y,AM,16,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,2,2,100,14,3,3,0,0,Match Report
Allan Saint-Maximin,9/21/19,Sat,Matchweek 6,Home,D 0–0,Newcastle Utd,Brighton,N,LW,18,0,0,0,0,1,1,0,0,14,0,0,0,0,0,0,0.1,3,0,4,8,50,55,17,122,2,3,Match Report
Allan Saint-Maximin,9/29/19,Sun,Matchweek 7,Away,L 0–5,Newcastle Utd,Leicester City,N,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,On matchday squad but did not play,Match Report
Allan Saint-Maximin,10/6/19,Sun,Matchweek 8,Home,W 1–0,Newcastle Utd,Manchester Utd,Y,AM,82,0,0,0,0,2,0,0,0,22,4,0,0,0,0,0,0.1,4,0,9,16,56.3,56,22,331,3,5,Match Report
Allan Saint-Maximin,10/19/19,Sat,Matchweek 9,Away,L 0–1,Newcastle Utd,Chelsea,Y,AM,84,0,0,0,0,1,0,0,0,30,9,1,0,2,0,0,0.2,3,0,13,17,76.5,79,24,197,3,5,Match Report
