,Player,#,Nation,Pos,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Date,Team,Opponent
57,Grady Diangana,11.0,eng ENG,AM,73,0,0,0,0,1,0,0,0,1,0,0,0,5,0,2,0.0,09/26/20,West Brom,Chelsea
58,Matt Phillips,10.0,sco SCO,AM,17,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,,09/26/20,West Brom,Chelsea
59,Matheus Pereira,12.0,br BRA,AM,89,0,0,0,1,4,1,2,0,3,0,0,0,8,0,0,,09/26/20,West Brom,Chelsea
60,Sam Field,28.0,eng ENG,AM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,09/26/20,West Brom,Chelsea
61,Romaine Sawyers,19.0,kn SKN,CM,90,0,0,0,1,0,0,1,1,0,0,0,0,13,0,0,,09/26/20,West Brom,Chelsea
62,Jake Livermore,8.0,eng ENG,CM,90,0,0,0,1,0,0,0,0,1,0,0,0,11,0,0,,09/26/20,West Brom,Chelsea
63,Conor Townsend,14.0,eng ENG,WB,90,0,0,0,1,1,0,1,2,0,0,0,0,5,2,1,66.7,09/26/20,West Brom,Chelsea
64,Darnell Furlong,2.0,eng ENG,WB,90,1,0,0,1,3,0,6,0,1,0,0,0,15,4,5,44.4,09/26/20,West Brom,Chelsea
65,Dara O'Shea,27.0,ie IRL,CB,90,0,0,0,0,2,0,0,2,1,0,0,0,5,0,0,,09/26/20,West Brom,Chelsea
66,Kyle Bartley,5.0,eng ENG,CB,90,0,0,0,0,1,0,0,0,1,0,0,0,3,1,1,50.0,09/26/20,West Brom,Chelsea
67,Semi Ajayi,6.0,ng NGA,CB,90,0,0,0,0,1,0,0,0,3,0,0,0,6,0,0,,09/26/20,West Brom,Chelsea
68,Sam Johnstone,1.0,eng ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,09/26/20,West Brom,Chelsea
69,Tammy Abraham,9.0,eng ENG,FW,90,0,0,0,2,0,0,0,0,0,0,0,0,5,2,0,100.0,09/26/20,Chelsea,West Brom
70,Timo Werner,11.0,de GER,"LW,WB",90,0,0,0,2,0,0,2,0,0,0,0,0,7,0,1,0.0,09/26/20,Chelsea,West Brom
71,Mason Mount,19.0,eng ENG,"RW,CM",90,0,0,0,1,1,0,3,1,4,0,0,0,6,0,0,,09/26/20,Chelsea,West Brom
72,Kai Havertz,29.0,de GER,"AM,CM",90,0,0,0,2,1,0,1,0,1,0,0,0,4,1,0,100.0,09/26/20,Chelsea,West Brom
73,Mateo Kovacic,17.0,hr CRO,CM,45,0,0,0,0,2,0,0,2,1,0,0,0,8,0,0,,09/26/20,Chelsea,West Brom
74,Callum Hudson-Odoi,20.0,eng ENG,"RW,WB",45,0,0,0,1,0,0,4,0,0,0,0,0,1,0,1,0.0,09/26/20,Chelsea,West Brom
