,Player,#,Nation,Pos,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Date,Team,Opponent
1202,Tariq Lamptey,2.0,eng ENG,WB,90,0,0,0,5,3,0,3,1,2,0,1,0,7,0,1,0.0,10/18/20,Brighton,Crystal Palace
1203,Dan Burn,33.0,eng ENG,CB,81,0,0,0,1,0,0,0,1,0,0,0,0,9,2,2,50.0,10/18/20,Brighton,Crystal Palace
1204,Pascal Gross,13.0,de GER,CB,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,10/18/20,Brighton,Crystal Palace
1205,Lewis Dunk,5.0,eng ENG,CB,89,0,1,0,2,2,0,0,0,1,0,0,0,15,2,1,66.7,10/18/20,Brighton,Crystal Palace
1206,Adam Webster,4.0,eng ENG,CB,90,0,0,0,0,1,0,0,1,1,0,0,0,15,3,2,60.0,10/18/20,Brighton,Crystal Palace
1207,Mathew Ryan,1.0,au AUS,GK,90,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,10/18/20,Brighton,Crystal Palace
1208,Harry Kane,10.0,eng ENG,FW,90,0,0,0,1,3,1,1,0,2,0,0,0,6,5,8,38.5,10/18/20,Tottenham,West Ham
1209,Son Heung-Min,7.0,kr KOR,LW,79,0,0,0,1,1,0,3,0,0,0,0,0,3,1,1,50.0,10/18/20,Tottenham,West Ham
1210,Lucas Moura,27.0,br BRA,LW,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,10/18/20,Tottenham,West Ham
1211,Steven Bergwijn,23.0,nl NED,RW,71,0,0,0,0,2,0,0,1,0,0,0,0,4,1,0,100.0,10/18/20,Tottenham,West Ham
1212,Gareth Bale,9.0,wal WAL,RW,19,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,10/18/20,Tottenham,West Ham
1213,Tanguy Ndombele,28.0,fr FRA,AM,72,0,0,0,0,2,0,0,0,2,0,0,0,8,0,1,0.0,10/18/20,Tottenham,West Ham
1214,Harry Winks,8.0,eng ENG,AM,18,0,0,0,1,0,0,0,0,1,0,0,0,5,1,0,100.0,10/18/20,Tottenham,West Ham
1215,Pierre-Emile Hojbjerg,5.0,dk DEN,CM,90,0,0,0,2,1,0,0,0,2,0,0,0,11,2,1,66.7,10/18/20,Tottenham,West Ham
1216,Moussa Sissoko,17.0,fr FRA,CM,90,0,0,0,1,1,0,0,1,2,0,0,0,8,0,2,0.0,10/18/20,Tottenham,West Ham
1217,Sergio Reguilon,3.0,es ESP,LB,90,0,0,0,1,1,0,2,0,2,0,0,0,12,0,1,0.0,10/18/20,Tottenham,West Ham
1218,Davinson Sanchez,6.0,co COL,CB,90,0,0,0,2,0,0,0,0,3,0,0,1,14,2,3,40.0,10/18/20,Tottenham,West Ham
1219,Toby Alderweireld,4.0,be BEL,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,,10/18/20,Tottenham,West Ham
1220,Serge Aurier,24.0,ci CIV,RB,90,0,0,0,4,0,0,3,0,1,0,0,0,11,2,0,100.0,10/18/20,Tottenham,West Ham
1221,Hugo Lloris,1.0,fr FRA,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,10/18/20,Tottenham,West Ham
1222,Michail Antonio,30.0,eng ENG,FW,76,1,0,0,1,2,2,2,1,1,0,0,0,1,1,0,100.0,10/18/20,West Ham,Tottenham
1223,Andriy Yarmolenko,7.0,ua UKR,FW,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10/18/20,West Ham,Tottenham
1224,Pablo Fornals,18.0,es ESP,AM,76,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0,100.0,10/18/20,West Ham,Tottenham
1225,Manuel Lanzini,10.0,ar ARG,AM,14,1,0,0,0,3,1,0,0,1,0,0,0,2,0,1,0.0,10/18/20,West Ham,Tottenham
1226,Jarrod Bowen,20.0,eng ENG,AM,90,0,0,0,0,1,0,4,0,0,0,0,0,4,0,0,,10/18/20,West Ham,Tottenham
1227,Declan Rice,41.0,eng ENG,DM,90,0,0,0,1,1,0,1,2,1,0,0,0,16,1,1,50.0,10/18/20,West Ham,Tottenham
1228,Tomas Soucek,28.0,cz CZE,DM,90,1,0,0,3,2,0,0,0,1,0,0,0,10,6,5,54.5,10/18/20,West Ham,Tottenham
1229,Arthur Masuaku,26.0,cd COD,WB,89,1,0,0,3,0,0,3,0,1,0,0,0,12,1,3,25.0,10/18/20,West Ham,Tottenham
1230,Robert Snodgrass,11.0,sco SCO,WB,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,10/18/20,West Ham,Tottenham
1231,Vladimir Coufal,5.0,cz CZE,WB,90,0,0,0,1,1,0,4,0,1,0,0,0,12,1,1,50.0,10/18/20,West Ham,Tottenham
1232,Aaron Cresswell,3.0,eng ENG,CB,90,0,0,0,0,1,0,5,0,1,0,0,0,11,0,2,0.0,10/18/20,West Ham,Tottenham
1233,Angelo Ogbonna,21.0,it ITA,CB,90,1,0,0,2,0,0,0,0,3,0,0,0,17,5,0,100.0,10/18/20,West Ham,Tottenham
1234,Fabian Balbuena,4.0,py PAR,CB,90,0,0,0,1,0,0,0,0,0,0,0,0,12,2,2,50.0,10/18/20,West Ham,Tottenham
1235,Åukasz FabiaÅski,1.0,pl POL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,10/18/20,West Ham,Tottenham
1236,Kelechi Iheanacho,14.0,ng NGA,FW,70,0,0,0,5,2,1,0,0,0,0,0,0,1,0,2,0.0,10/18/20,Leicester City,Aston Villa
1237,Islam Slimani,13.0,dz ALG,FW,20,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,75.0,10/18/20,Leicester City,Aston Villa
1238,Harvey Barnes,15.0,eng ENG,LM,90,0,0,0,1,4,0,0,1,2,0,0,0,4,0,0,,10/18/20,Leicester City,Aston Villa
1239,Dennis Praet,26.0,be BEL,CM,67,0,0,0,3,1,0,2,0,0,0,0,0,6,0,1,0.0,10/18/20,Leicester City,Aston Villa
1240,James Maddison,10.0,eng ENG,CM,23,0,0,0,1,2,0,1,0,0,0,0,0,4,0,0,,10/18/20,Leicester City,Aston Villa
1241,Youri Tielemans,8.0,be BEL,CM,90,1,0,0,1,0,0,1,2,2,0,0,0,15,1,0,100.0,10/18/20,Leicester City,Aston Villa
1242,Ayoze Perez,17.0,es ESP,RM,90,1,0,0,1,1,1,1,4,4,0,0,0,6,0,4,0.0,10/18/20,Leicester City,Aston Villa
1243,Nampalys Mendy,24.0,fr FRA,DM,77,0,0,0,0,1,0,0,1,0,0,0,0,11,0,0,,10/18/20,Leicester City,Aston Villa
1244,Hamza Choudhury,20.0,eng ENG,DM,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,10/18/20,Leicester City,Aston Villa
1245,James Justin,2.0,eng ENG,LB,90,0,0,0,1,2,0,1,1,0,0,0,0,10,3,2,60.0,10/18/20,Leicester City,Aston Villa
1246,Jonny Evans,6.0,nir NIR,CB,90,1,0,0,2,1,0,0,0,0,0,0,0,12,6,2,75.0,10/18/20,Leicester City,Aston Villa
1247,Wesley Fofana,3.0,fr FRA,CB,90,0,0,0,0,3,0,0,0,2,0,0,0,15,5,1,83.3,10/18/20,Leicester City,Aston Villa
1248,Timothy Castagne,27.0,be BEL,RB,90,1,0,0,3,1,0,2,1,0,0,0,0,15,1,4,20.0,10/18/20,Leicester City,Aston Villa
1249,Kasper Schmeichel,1.0,dk DEN,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,10/18/20,Leicester City,Aston Villa
1250,Ollie Watkins,11.0,eng ENG,FW,90,0,0,0,1,1,3,1,2,1,0,0,0,1,2,8,20.0,10/18/20,Aston Villa,Leicester City
1251,Jack Grealish,10.0,eng ENG,LW,90,0,0,0,4,5,0,5,0,0,0,0,0,8,4,1,80.0,10/18/20,Aston Villa,Leicester City
1252,Ross Barkley,20.0,eng ENG,AM,90,0,0,0,2,0,0,0,0,0,0,0,0,13,0,1,0.0,10/18/20,Aston Villa,Leicester City
1253,Trezeguet,17.0,eg EGY,RW,80,0,0,0,3,2,0,1,2,1,0,0,0,7,0,4,0.0,10/18/20,Aston Villa,Leicester City
1254,Bertrand Traore,15.0,bf BFA,RW,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10/18/20,Aston Villa,Leicester City
1255,John McGinn,7.0,sco SCO,CM,90,1,0,0,2,1,0,1,0,1,0,0,0,13,1,2,33.3,10/18/20,Aston Villa,Leicester City
1256,Douglas Luiz,6.0,br BRA,CM,90,1,0,0,2,1,0,1,0,1,0,0,0,12,0,0,,10/18/20,Aston Villa,Leicester City
1257,Matt Targett,18.0,eng ENG,LB,90,0,0,0,0,0,0,4,0,2,0,0,0,17,3,0,100.0,10/18/20,Aston Villa,Leicester City
1258,Tyrone Mings,5.0,eng ENG,CB,90,0,0,0,0,1,0,0,0,1,0,0,0,6,1,0,100.0,10/18/20,Aston Villa,Leicester City
1259,Ezri Konsa Ngoyo,4.0,eng ENG,CB,90,0,0,0,2,5,0,1,0,0,0,0,0,16,5,3,62.5,10/18/20,Aston Villa,Leicester City
1260,Matthew Cash,2.0,eng ENG,RB,90,1,0,0,2,2,0,2,1,3,0,0,0,11,1,0,100.0,10/18/20,Aston Villa,Leicester City
1261,Emiliano MartÃ­nez,26.0,ar ARG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,10/18/20,Aston Villa,Leicester City
1262,Karlan Grant,29.0,eng ENG,FW,72,0,0,0,0,0,1,0,0,0,0,0,0,1,2,6,25.0,10/19/20,West Brom,Burnley
1263,Callum Robinson,7.0,ie IRL,FW,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.0,10/19/20,West Brom,Burnley
1264,Grady Diangana,11.0,eng ENG,LM,90,0,0,0,3,4,0,1,0,0,0,0,0,3,1,5,16.7,10/19/20,West Brom,Burnley
1265,Filip Krovinovic,17.0,hr CRO,CM,78,0,0,0,2,2,0,1,0,2,0,0,0,7,1,2,33.3,10/19/20,West Brom,Burnley
1266,Romaine Sawyers,19.0,kn SKN,CM,12,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0,10/19/20,West Brom,Burnley
1267,Conor Gallagher,18.0,eng ENG,CM,90,0,0,0,1,2,0,2,0,3,0,0,0,11,2,3,40.0,10/19/20,West Brom,Burnley
1268,Matheus Pereira,12.0,br BRA,RM,87,0,0,0,2,1,1,4,1,0,0,0,0,6,0,1,0.0,10/19/20,West Brom,Burnley
1269,Matt Phillips,10.0,sco SCO,RM,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,10/19/20,West Brom,Burnley
1270,Jake Livermore,8.0,eng ENG,DM,90,1,0,0,3,0,0,0,1,1,0,0,0,10,3,4,42.9,10/19/20,West Brom,Burnley
1271,Conor Townsend,14.0,eng ENG,LB,90,0,0,0,1,2,0,1,0,2,0,0,0,7,4,2,66.7,10/19/20,West Brom,Burnley
1272,Ahmed Hegazi,26.0,eg EGY,CB,90,0,0,0,0,1,0,0,0,0,0,0,0,21,8,3,72.7,10/19/20,West Brom,Burnley
1273,Branislav Ivanovic,20.0,rs SRB,CB,90,0,0,0,1,0,0,0,0,0,0,0,0,18,7,3,70.0,10/19/20,West Brom,Burnley
1274,Darnell Furlong,2.0,eng ENG,RB,90,0,0,0,1,3,0,3,1,2,0,0,0,9,2,3,40.0,10/19/20,West Brom,Burnley
1275,Sam Johnstone,1.0,eng ENG,GK,90,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,,10/19/20,West Brom,Burnley
1276,Chris Wood,9.0,nz NZL,FW,90,0,0,0,2,1,0,0,0,1,0,0,0,2,7,7,50.0,10/19/20,Burnley,West Brom
1277,Ashley Barnes,10.0,at AUT,FW,76,0,0,0,2,2,0,0,0,0,0,0,0,4,1,7,12.5,10/19/20,Burnley,West Brom
1278,Jay Rodriguez,19.0,eng ENG,FW,14,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,33.3,10/19/20,Burnley,West Brom
1279,Dwight McNeil,11.0,eng ENG,LM,90,0,0,0,0,4,0,10,1,1,0,0,0,10,2,2,50.0,10/19/20,Burnley,West Brom
1280,Johann Gudmundsson,7.0,is ISL,RM,68,0,0,0,0,0,0,2,0,0,0,0,0,7,2,2,50.0,10/19/20,Burnley,West Brom
1281,Robbie Brady,12.0,ie IRL,RM,22,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0.0,10/19/20,Burnley,West Brom
1282,Josh Brownhill,8.0,eng ENG,DM,90,0,0,0,3,1,0,0,0,3,0,0,0,18,6,2,75.0,10/19/20,Burnley,West Brom
1283,Ashley Westwood,18.0,eng ENG,DM,90,1,0,0,1,2,0,1,0,0,0,0,0,12,0,2,0.0,10/19/20,Burnley,West Brom
1284,Charlie Taylor,3.0,eng ENG,LB,90,1,0,0,1,1,0,0,0,1,0,0,0,16,3,1,75.0,10/19/20,Burnley,West Brom
1285,James Tarkowski,5.0,eng ENG,CB,90,0,0,0,1,0,0,0,0,1,0,0,0,16,9,2,81.8,10/19/20,Burnley,West Brom
1286,Kevin Long,28.0,ie IRL,CB,90,0,0,0,1,0,0,0,0,2,0,0,0,11,4,3,57.1,10/19/20,Burnley,West Brom
1287,Erik Pieters,23.0,nl NED,RB,90,0,0,0,4,2,0,1,0,0,0,0,0,12,2,0,100.0,10/19/20,Burnley,West Brom
1288,Nick Pope,1.0,eng ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,10/19/20,Burnley,West Brom
1289,Patrick Bamford,9.0,eng ENG,FW,90,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0.0,10/19/20,Leeds United,Wolves
1290,Jack Harrison,22.0,eng ENG,LM,81,0,0,0,2,1,0,5,1,0,0,0,0,9,0,2,0.0,10/19/20,Leeds United,Wolves
1291,Raphinha,18.0,br BRA,LM,9,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,,10/19/20,Leeds United,Wolves
1292,Rodrigo Moreno,20.0,es ESP,CM,90,0,0,0,0,1,0,2,0,1,0,0,0,2,2,3,40.0,10/19/20,Leeds United,Wolves
1293,Mateusz Klich,43.0,pl POL,CM,90,0,0,0,1,1,0,0,2,1,0,0,0,16,0,0,,10/19/20,Leeds United,Wolves
1294,Helder Costa,17.0,pt POR,RM,70,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,,10/19/20,Leeds United,Wolves
1295,Ian Poveda-Ocampo,7.0,eng ENG,RM,20,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,,10/19/20,Leeds United,Wolves
1296,Kalvin Phillips,23.0,eng ENG,"DM,CB",90,1,0,0,3,2,0,2,0,0,0,0,0,8,0,3,0.0,10/19/20,Leeds United,Wolves
1297,Stuart Dallas,15.0,nir NIR,LB,90,0,0,0,1,1,0,2,2,3,0,0,0,14,1,2,33.3,10/19/20,Leeds United,Wolves
