,Player,#,Nation,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Date,Team,Opponent
60,Sam Field,28.0,eng ENG,AM,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,1,0,09/26/20,West Brom,Chelsea
61,Romaine Sawyers,19.0,kn SKN,CM,90,1,0,1,0,0,1,2,50.0,1,34,7,20.6,17,13,4,3,0,0,3,1,,3,0,09/26/20,West Brom,Chelsea
62,Jake Livermore,8.0,eng ENG,CM,90,1,1,1,0,0,1,2,50.0,1,21,3,14.3,9,10,2,4,2,0,2,0,,1,0,09/26/20,West Brom,Chelsea
63,Conor Townsend,14.0,eng ENG,WB,90,0,0,0,0,0,0,1,0.0,1,14,2,14.3,11,1,2,2,1,0,1,2,,2,0,09/26/20,West Brom,Chelsea
64,Darnell Furlong,2.0,eng ENG,WB,90,1,1,1,0,0,0,0,,0,8,2,25.0,4,3,1,4,1,0,3,0,,2,0,09/26/20,West Brom,Chelsea
65,Dara O'Shea,27.0,ie IRL,CB,90,1,1,1,0,0,0,1,0.0,1,18,5,27.8,16,2,0,7,2,0,5,2,,7,0,09/26/20,West Brom,Chelsea
66,Kyle Bartley,5.0,eng ENG,CB,90,2,1,2,0,0,1,1,100.0,0,8,4,50.0,6,2,0,4,3,0,1,0,,11,0,09/26/20,West Brom,Chelsea
67,Semi Ajayi,6.0,ng NGA,CB,90,4,3,2,2,0,0,0,,0,11,4,36.4,6,5,0,2,1,0,1,0,,5,0,09/26/20,West Brom,Chelsea
68,Sam Johnstone,1.0,eng ENG,GK,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,09/26/20,West Brom,Chelsea
69,Tammy Abraham,9.0,eng ENG,FW,90,0,0,0,0,0,0,0,,0,6,1,16.7,0,1,5,1,1,0,0,0,,1,0,09/26/20,Chelsea,West Brom
70,Timo Werner,11.0,de GER,"LW,WB",90,1,0,0,1,0,0,1,0.0,1,13,6,46.2,2,3,8,0,0,0,0,0,,0,0,09/26/20,Chelsea,West Brom
71,Mason Mount,19.0,eng ENG,"RW,CM",90,4,4,1,1,2,0,0,,0,21,7,33.3,3,10,8,3,0,0,3,1,,1,0,09/26/20,Chelsea,West Brom
72,Kai Havertz,29.0,de GER,"AM,CM",90,1,1,0,1,0,1,3,33.3,2,18,7,38.9,5,8,5,3,0,0,3,0,,0,0,09/26/20,Chelsea,West Brom
73,Mateo Kovacic,17.0,hr CRO,CM,45,1,1,0,1,0,0,1,0.0,1,7,2,28.6,2,5,0,1,0,0,1,2,,0,0,09/26/20,Chelsea,West Brom
74,Callum Hudson-Odoi,20.0,eng ENG,"RW,WB",45,0,0,0,0,0,0,0,,0,3,1,33.3,1,1,1,1,0,0,1,0,,0,0,09/26/20,Chelsea,West Brom
