,Player,#,Nation,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Date,Team,Opponent
105,Kyle Walker-Peters,2.0,eng ENG,RB,90,59,1,17,39,7,0,43,0,1,0.0,0,0,27,90,45,33,31,93.9,0,0,09/26/20,Southampton,Burnley
106,Alex McCarthy,1.0,eng ENG,GK,90,36,29,36,0,0,0,28,1,1,100.0,1,0,20,97,55,16,16,100.0,0,0,09/26/20,Southampton,Burnley
107,Oliver Burke,14.0,sco SCO,FW,73,27,0,1,14,14,5,26,0,0,,0,0,16,175,114,24,17,70.8,1,1,09/27/20,Sheffield Utd,Leeds United
108,Billy Sharp,10.0,eng ENG,FW,17,9,0,1,4,4,2,8,0,1,0.0,0,0,7,43,30,10,6,60.0,2,0,09/27/20,Sheffield Utd,Leeds United
109,David McGoldrick,17.0,ie IRL,FW,73,30,1,2,11,18,3,30,1,2,50.0,2,0,17,81,39,38,22,57.9,5,1,09/27/20,Sheffield Utd,Leeds United
110,Oliver McBurnie,9.0,sco SCO,FW,17,10,1,1,6,3,2,10,0,0,,0,0,6,44,35,13,8,61.5,0,0,09/27/20,Sheffield Utd,Leeds United
111,Ben Osborn,23.0,eng ENG,CM,90,50,0,11,24,20,4,47,0,0,,0,0,30,194,106,45,32,71.1,0,3,09/27/20,Sheffield Utd,Leeds United
112,John Lundstram,7.0,eng ENG,CM,63,35,0,4,16,16,4,32,1,1,100.0,1,0,21,112,40,29,25,86.2,0,0,09/27/20,Sheffield Utd,Leeds United
113,Oliver Norwood,16.0,nir NIR,CM,27,16,1,5,10,1,0,15,0,0,,0,0,6,26,7,10,9,90.0,0,1,09/27/20,Sheffield Utd,Leeds United
114,Sander Berge,8.0,no NOR,DM,90,45,0,7,36,12,1,43,1,1,100.0,1,0,29,427,285,31,28,90.3,1,1,09/27/20,Sheffield Utd,Leeds United
115,Enda Stevens,3.0,ie IRL,WB,90,51,5,19,23,11,1,50,1,3,33.3,1,0,28,140,71,27,24,88.9,0,1,09/27/20,Sheffield Utd,Leeds United
116,George Baldock,2.0,eng ENG,WB,90,51,0,8,22,24,3,39,2,3,66.7,2,0,24,182,111,30,24,80.0,2,0,09/27/20,Sheffield Utd,Leeds United
117,Jack Robinson,19.0,eng ENG,CB,90,46,5,26,19,3,3,43,1,1,100.0,1,0,18,73,15,20,19,95.0,1,0,09/27/20,Sheffield Utd,Leeds United
118,Ethan Ampadu,22.0,wal WAL,CB,90,49,12,29,21,2,1,48,0,0,,0,0,26,199,142,26,26,100.0,2,0,09/27/20,Sheffield Utd,Leeds United
119,Chris Basham,6.0,eng ENG,CB,90,41,7,17,19,10,3,41,1,1,100.0,1,0,21,243,163,20,18,90.0,1,2,09/27/20,Sheffield Utd,Leeds United
