,Player,#,Nation,Pos,Min,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out.1,Int,Blocks,Date,Team,Opponent
92,Aaron Cresswell,3.0,eng ENG,LB,90,63,55,8,1,0,9,4,3,2,0,2,0,39,3,21,53,4,1,5,0,47,1,0,1,1,09/12/20,West Ham,Newcastle Utd
93,Angelo Ogbonna,21.0,it ITA,CB,90,64,62,2,1,0,5,2,0,0,0,0,0,48,5,11,35,22,4,1,0,54,0,0,0,0,09/12/20,West Ham,Newcastle Utd
94,Issa Diop,23.0,fr FRA,CB,90,76,72,4,4,0,3,2,0,0,0,0,0,62,2,12,8,64,3,0,0,67,0,2,0,0,09/12/20,West Ham,Newcastle Utd
95,Ryan Fredericks,24.0,eng ENG,RB,90,48,42,6,0,0,3,0,6,0,0,0,0,26,7,15,1,38,3,6,0,38,0,1,0,1,09/12/20,West Ham,Newcastle Utd
96,Åukasz FabiaÅski,1.0,pl POL,GK,90,29,19,10,3,0,0,1,0,0,0,0,0,18,0,11,1,24,0,0,4,22,0,0,0,0,09/12/20,West Ham,Newcastle Utd
97,Andy Carroll,7.0,eng ENG,FW,87,27,27,0,0,0,12,0,0,0,0,0,0,12,4,11,10,5,3,0,2,19,0,0,0,1,09/12/20,Newcastle Utd,West Ham
98,Sean Longstaff,36.0,eng ENG,FW,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,09/12/20,Newcastle Utd,West Ham
99,Callum Wilson,13.0,eng ENG,FW,84,22,21,1,0,0,5,0,2,0,0,0,0,9,8,5,2,15,2,1,1,16,0,0,1,1,09/12/20,Newcastle Utd,West Ham
100,Miguel Almiron,24.0,py PAR,LM,6,11,11,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,10,1,0,0,0,09/12/20,Newcastle Utd,West Ham
101,Jeff Hendrick,16.0,ie IRL,"RM,LM",90,25,25,0,0,0,5,1,1,0,0,0,0,15,3,7,3,21,1,0,0,21,0,0,0,4,09/12/20,Newcastle Utd,West Ham
102,Allan Saint-Maximin,10.0,fr FRA,"RM,LM",74,22,21,1,0,0,5,0,1,0,0,0,0,18,1,3,1,20,0,1,0,19,0,0,0,1,09/12/20,Newcastle Utd,West Ham
103,Joelinton,9.0,br BRA,"LM,FW",16,9,9,0,0,0,2,0,0,0,0,0,0,8,1,0,1,7,0,0,0,8,0,0,0,0,09/12/20,Newcastle Utd,West Ham
104,Isaac Hayden,14.0,eng ENG,DM,90,42,39,3,2,0,9,2,0,0,0,0,0,34,1,7,6,30,3,0,0,39,0,0,0,0,09/12/20,Newcastle Utd,West Ham
105,Jonjo Shelvey,8.0,eng ENG,DM,90,55,44,11,4,0,4,9,2,7,5,0,1,27,3,25,9,45,1,0,0,37,0,3,1,1,09/12/20,Newcastle Utd,West Ham
106,Jamal Lewis,15.0,nir NIR,LB,90,41,35,6,0,0,4,0,2,0,0,0,0,23,9,9,30,2,1,6,1,33,0,0,0,3,09/12/20,Newcastle Utd,West Ham
107,Federico Fernandez,18.0,ar ARG,CB,90,33,32,1,1,0,1,2,1,0,0,0,0,23,1,9,2,29,2,0,0,24,0,1,0,1,09/12/20,Newcastle Utd,West Ham
108,Jamaal Lascelles,6.0,eng ENG,CB,90,24,23,1,1,0,2,1,0,0,0,0,0,12,4,8,1,17,5,0,1,18,0,0,0,0,09/12/20,Newcastle Utd,West Ham
109,Javier Manquillo,19.0,es ESP,RB,90,33,30,3,1,0,4,4,5,0,0,0,0,11,5,17,1,28,0,2,0,19,0,2,0,1,09/12/20,Newcastle Utd,West Ham
110,Karl Darlow,26.0,eng ENG,GK,90,23,15,8,5,0,4,0,0,0,0,0,0,5,1,17,3,16,0,0,2,11,0,1,0,0,09/12/20,Newcastle Utd,West Ham
111,Callum Robinson,7.0,ie IRL,FW,59,9,7,2,0,0,1,0,2,0,0,0,0,7,1,1,2,6,0,0,0,7,0,0,0,0,09/13/20,West Brom,Leicester City
112,Hal Robson-Kanu,4.0,wal WAL,FW,31,4,3,1,0,0,1,0,0,0,0,0,0,4,0,0,3,1,0,0,0,2,0,1,0,0,09/13/20,West Brom,Leicester City
113,Grady Diangana,11.0,eng ENG,LW,90,30,30,0,0,1,9,0,0,0,0,0,0,23,4,3,24,4,1,0,0,22,0,0,1,3,09/13/20,West Brom,Leicester City
114,Matheus Pereira,12.0,br BRA,RW,90,32,26,6,3,0,5,0,2,2,2,0,0,21,5,6,29,2,0,0,0,24,0,1,0,1,09/13/20,West Brom,Leicester City
115,Romaine Sawyers,19.0,kn SKN,DM,67,20,20,0,0,0,5,2,0,0,0,0,0,12,5,3,1,18,0,0,0,15,0,0,0,0,09/13/20,West Brom,Leicester City
116,Kyle Edwards,21.0,eng ENG,"CM,DM",23,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,09/13/20,West Brom,Leicester City
117,Jake Livermore,8.0,eng ENG,DM,90,25,25,0,0,1,5,0,0,0,0,0,0,18,4,3,1,22,2,0,0,20,0,0,0,1,09/13/20,West Brom,Leicester City
118,Kieran Gibbs,3.0,eng ENG,"WB,LB",90,41,37,4,0,0,8,0,1,0,0,0,0,20,10,11,29,6,2,4,0,31,1,0,0,1,09/13/20,West Brom,Leicester City
119,Darnell Furlong,2.0,eng ENG,WB,68,27,20,7,0,0,9,0,2,0,0,0,0,9,15,3,0,15,1,7,0,20,0,0,1,2,09/13/20,West Brom,Leicester City
120,Rekeem Harper,16.0,eng ENG,"CM,WB",22,13,13,0,0,0,2,1,0,0,0,0,0,9,2,2,2,9,2,0,0,10,0,0,0,0,09/13/20,West Brom,Leicester City
121,Dara O'Shea,27.0,ie IRL,"CB,RB",90,47,35,12,2,0,6,3,1,0,0,0,0,26,6,15,3,33,1,10,0,37,1,0,1,1,09/13/20,West Brom,Leicester City
122,Kyle Bartley,5.0,eng ENG,CB,90,44,43,1,1,0,6,3,0,0,0,0,0,26,5,13,5,32,5,0,0,33,0,5,0,0,09/13/20,West Brom,Leicester City
123,Semi Ajayi,6.0,ng NGA,CB,90,31,28,3,2,0,0,1,0,0,0,0,0,21,2,8,1,27,2,1,0,24,1,1,1,1,09/13/20,West Brom,Leicester City
124,Sam Johnstone,1.0,eng ENG,GK,90,32,23,9,3,0,2,2,0,0,0,0,0,8,1,23,2,25,0,0,3,17,0,3,0,0,09/13/20,West Brom,Leicester City
125,Jamie Vardy,9.0,eng ENG,FW,90,7,6,1,0,0,1,0,0,0,0,0,0,5,2,0,1,6,0,0,0,4,0,0,0,0,09/13/20,Leicester City,West Brom
126,Harvey Barnes,15.0,eng ENG,LM,90,29,29,0,0,0,9,1,1,0,0,0,0,25,4,0,4,24,0,0,1,21,0,1,1,1,09/13/20,Leicester City,West Brom
127,Dennis Praet,26.0,be BEL,CM,74,36,36,0,0,0,3,0,3,0,0,0,0,24,10,2,2,32,2,0,0,32,0,0,0,1,09/13/20,Leicester City,West Brom
128,James Maddison,10.0,eng ENG,CM,16,19,17,2,1,0,2,0,0,1,0,1,0,14,3,2,0,19,0,0,0,18,0,0,0,0,09/13/20,Leicester City,West Brom
129,Youri Tielemans,8.0,be BEL,CM,90,88,81,7,3,0,9,3,1,4,0,3,0,61,10,17,15,68,3,0,1,70,0,3,1,3,09/13/20,Leicester City,West Brom
130,Ayoze Perez,17.0,es ESP,RM,66,29,29,0,0,1,8,0,1,0,0,0,0,22,2,5,4,25,0,0,0,22,1,0,0,1,09/13/20,Leicester City,West Brom
131,Marc Albrighton,11.0,eng ENG,RM,24,9,9,0,0,0,3,0,1,0,0,0,0,6,3,0,1,7,0,0,1,5,0,0,1,1,09/13/20,Leicester City,West Brom
132,Nampalys Mendy,24.0,fr FRA,DM,90,73,72,1,1,0,5,1,0,0,0,0,0,62,7,4,10,62,1,0,0,69,0,0,0,0,09/13/20,Leicester City,West Brom
133,James Justin,2.0,eng ENG,LB,90,62,46,16,0,0,5,1,2,0,0,0,0,30,21,11,8,38,0,16,0,53,0,1,0,3,09/13/20,Leicester City,West Brom
134,Caglar Soyuncu,4.0,tr TUR,CB,90,82,78,4,4,0,2,2,0,0,0,0,0,74,1,7,18,62,2,0,0,75,0,0,1,0,09/13/20,Leicester City,West Brom
135,Wilfred Ndidi,25.0,ng NGA,CB,90,85,83,2,1,0,4,1,0,0,0,0,0,61,12,12,7,72,4,1,0,76,0,1,0,1,09/13/20,Leicester City,West Brom
136,Timothy Castagne,27.0,be BEL,RB,90,74,61,13,0,0,6,1,2,0,0,0,0,39,14,21,7,48,4,13,0,57,0,3,2,2,09/13/20,Leicester City,West Brom
137,Kasper Schmeichel,1.0,dk DEN,GK,90,28,19,9,3,0,3,1,0,0,0,0,0,17,4,7,0,25,0,0,3,22,0,0,0,0,09/13/20,Leicester City,West Brom
138,Harry Kane,10.0,eng ENG,FW,90,16,15,1,0,2,4,2,0,0,0,0,0,7,2,7,2,11,2,0,0,9,0,0,0,0,09/13/20,Tottenham,Everton
139,Son Heung-Min,7.0,kr KOR,"LW,AM",90,31,24,7,2,0,7,2,3,5,2,3,0,14,7,10,3,25,2,0,0,21,0,1,0,3,09/13/20,Tottenham,Everton
140,Lucas Moura,27.0,br BRA,RW,90,37,36,1,0,0,6,0,1,0,0,0,0,24,8,5,5,28,2,1,1,28,0,1,3,2,09/13/20,Tottenham,Everton
141,Dele Alli,20.0,eng ENG,AM,45,16,14,2,1,0,4,0,1,0,0,0,0,14,0,2,0,14,1,0,0,12,0,0,1,0,09/13/20,Tottenham,Everton
142,Moussa Sissoko,17.0,fr FRA,"DM,RB,AM",45,37,28,9,1,1,5,0,0,0,0,0,0,24,8,5,3,23,2,8,0,30,0,1,2,1,09/13/20,Tottenham,Everton
143,Harry Winks,8.0,eng ENG,DM,59,47,46,1,1,0,5,1,1,0,0,0,0,40,3,4,6,40,0,0,0,41,0,1,0,1,09/13/20,Tottenham,Everton
