Rank,Player,Team,Position,Valid_starts,total_min,mean_min,mean_xFpts,sd_xFpts,mean_fpts,sd_fpts,mean_xFpts - mean_fpts,total_xFpts,total_fpts,total_xFpts - total_fpts,total_xCS,CS
277,Luka Milivojevic,CRY,M,6,519,86.50,2.86,4.93,1.83,4.97,1.02,17.14,11.00,6.14,2.24,0
278,Nathaniel Clyne,CRY,D,8,702,87.75,2.84,4.02,1.25,7.12,1.59,22.74,10.00,12.74,1.84,1
279,Javier Manquillo,NEW,D,5,425,85.00,2.84,4.00,4.55,7.09,-1.71,14.21,22.75,-8.54,0.56,2
280,Enda Stevens,SHU,D,11,990,90.00,2.76,4.05,1.86,5.04,0.90,30.40,20.50,9.90,1.60,0
281,Federico Fernandez,NEW,D,11,990,90.00,2.45,4.50,0.93,6.66,1.52,26.99,10.25,16.74,2.64,2
282,Jake Livermore,WBA,M,8,682,85.25,2.44,2.29,2.13,2.12,0.31,19.52,17.00,2.52,1.12,1
283,Andre Gomes,EVE,M,5,366,73.20,2.31,1.21,1.90,0.86,0.41,11.56,9.50,2.06,2.16,1
284,Issa Diop,WHU,D,3,270,90.00,2.25,0.85,-0.17,0.12,2.42,6.76,-0.50,7.26,0.56,0
285,Granit Xhaka,ARS,M,8,661,82.63,2.25,2.19,1.81,1.68,0.44,18.00,14.50,3.50,2.20,2
286,Semi Ajayi,WBA,D,13,1170,90.00,2.17,4.46,0.90,5.99,1.26,28.17,11.75,16.42,1.12,1
287,Max Lowe,SHU,D,4,351,87.75,1.97,1.73,4.75,2.43,-2.78,7.88,19.00,-11.12,0.08,0
288,Nampalys Mendy,LEI,M,12,1009,84.08,1.94,3.23,2.25,4.13,-0.31,23.28,27.00,-3.72,4.48,4
289,Branislav Ivanovic,WBA,D,7,619,88.43,1.92,6.24,1.46,6.98,0.45,13.43,10.25,3.18,1.28,2
290,Tim Ream,FUL,D,5,450,90.00,1.89,3.30,0.45,3.94,1.44,9.47,2.25,7.22,0.32,0
291,Steven Bergwijn,TOT,F,6,484,80.67,1.65,2.49,0.75,2.06,0.90,9.90,4.50,5.40,1.44,4
292,Mamadou Sakho,CRY,D,3,270,90.00,1.16,4.18,-0.92,4.41,2.07,3.47,-2.75,6.22,0.32,0
293,Harry Winks,TOT,M,3,240,80.00,0.83,0.41,0.67,0.24,0.16,2.48,2.00,0.48,0.48,0
294,Kieran Gibbs,WBA,D,3,270,90.00,-0.68,3.07,-1.58,2.66,0.90,-2.05,-4.75,2.70,0.00,0
