,Player,#,Nation,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Date,Team,Opponent
198,Matt Ritchie,11.0,sco SCO,"WB,CM",90.0,36.0,52.0,69.2,638.0,222.0,0.0,1.0,0.0,28.0,33.0,84.8,8.0,18.0,44.4,0,0.2,4.0,2.0,1.0,1.0,7.0,August-11-2019,Newcastle Utd,Arsenal
199,Javier Manquillo,19.0,es ESP,WB,90.0,28.0,35.0,80.0,460.0,154.0,0.0,0.0,,25.0,29.0,86.2,3.0,6.0,50.0,0,0.0,1.0,3.0,0.0,0.0,0.0,August-11-2019,Newcastle Utd,Arsenal
200,Paul Dummett,3.0,wal WAL,CB,90.0,35.0,44.0,79.5,688.0,387.0,0.0,0.0,,28.0,31.0,90.3,7.0,13.0,53.8,0,0.0,0.0,6.0,0.0,0.0,4.0,August-11-2019,Newcastle Utd,Arsenal
201,Jamaal Lascelles,6.0,eng ENG,CB,90.0,24.0,27.0,88.9,571.0,172.0,0.0,1.0,0.0,14.0,16.0,87.5,10.0,10.0,100.0,0,0.1,1.0,2.0,1.0,0.0,2.0,August-11-2019,Newcastle Utd,Arsenal
202,Fabian SchÃ¤r,5.0,ch SUI,CB,90.0,37.0,50.0,74.0,984.0,341.0,0.0,0.0,,23.0,27.0,85.2,14.0,23.0,60.9,0,0.0,0.0,5.0,0.0,0.0,9.0,August-11-2019,Newcastle Utd,Arsenal
203,Martin DÃºbravka,1.0,sk SVK,GK,90.0,16.0,24.0,66.7,865.0,727.0,0.0,0.0,,1.0,1.0,100.0,15.0,23.0,65.2,0,0.0,0.0,2.0,0.0,0.0,1.0,August-11-2019,Newcastle Utd,Arsenal
204,Pierre-Emerick Aubameyang,14.0,ga GAB,FW,90.0,17.0,29.0,58.6,186.0,47.0,1.0,3.0,33.3,15.0,23.0,65.2,1.0,3.0,33.3,0,0.0,0.0,0.0,2.0,0.0,2.0,August-11-2019,Arsenal,Newcastle Utd
205,Reiss Nelson,24.0,eng ENG,LW,70.0,38.0,45.0,84.4,690.0,180.0,1.0,2.0,50.0,29.0,34.0,85.3,8.0,9.0,88.9,0,0.1,2.0,3.0,0.0,0.0,4.0,August-11-2019,Arsenal,Newcastle Utd
206,Nicolas PÃ©pÃ©,19.0,ci CIV,LW,20.0,6.0,9.0,66.7,66.0,17.0,0.0,0.0,,6.0,9.0,66.7,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,August-11-2019,Arsenal,Newcastle Utd
207,Henrikh Mkhitaryan,7.0,am ARM,RW,83.0,34.0,49.0,69.4,557.0,169.0,0.0,3.0,0.0,27.0,33.0,81.8,7.0,13.0,53.8,0,0.1,1.0,3.0,2.0,0.0,5.0,August-11-2019,Arsenal,Newcastle Utd
208,Martinelli,35.0,br BRA,RW,7.0,2.0,4.0,50.0,11.0,0.0,1.0,1.0,100.0,1.0,3.0,33.3,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,August-11-2019,Arsenal,Newcastle Utd
209,Joe Willock,28.0,eng ENG,AM,63.0,15.0,22.0,68.2,205.0,27.0,2.0,2.0,100.0,11.0,17.0,64.7,2.0,3.0,66.7,0,0.0,0.0,0.0,1.0,0.0,2.0,August-11-2019,Arsenal,Newcastle Utd
210,Dani Ceballos,8.0,es ESP,AM,27.0,22.0,28.0,78.6,389.0,133.0,0.0,2.0,0.0,18.0,20.0,90.0,4.0,6.0,66.7,0,0.0,0.0,4.0,1.0,0.0,2.0,August-11-2019,Arsenal,Newcastle Utd
211,Granit Xhaka,34.0,ch SUI,DM,90.0,70.0,81.0,86.4,1394.0,524.0,1.0,2.0,50.0,53.0,56.0,94.6,16.0,23.0,69.6,0,0.1,1.0,10.0,2.0,0.0,6.0,August-11-2019,Arsenal,Newcastle Utd
212,MattÃ©o Guendouzi,29.0,fr FRA,DM,90.0,61.0,69.0,88.4,1098.0,279.0,1.0,2.0,50.0,50.0,54.0,92.6,10.0,13.0,76.9,0,0.1,1.0,6.0,0.0,0.0,1.0,August-11-2019,Arsenal,Newcastle Utd
213,Nacho Monreal,18.0,es ESP,LB,90.0,90.0,93.0,96.8,1282.0,514.0,1.0,1.0,100.0,85.0,87.0,97.7,4.0,5.0,80.0,0,0.2,1.0,3.0,0.0,0.0,7.0,August-11-2019,Arsenal,Newcastle Utd
