"","Date","X1","Player","#","Nation","Pos","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Press","Tkl","Int","Blocks","xG","npxG","xA","SCA","GCA","Cmp","Att","Cmp%","PrgDist","Carries","PrgDist.1","Succ","Att.1","Team","Opponent","game_week"
"42","01/01/20",5516,"Tammy Abraham",9,"eng ENG","FW",90,0,0,0,0,2,0,0,0,35,24,2,0,0,0.4,0.4,0.1,3,1,13,23,56.5,34,24,56,1,1,"Chelsea","Brighton",21
"43","01/01/20",5517,"Christian Pulisic",22,"us USA","LW",65,0,0,0,0,5,2,0,0,43,23,2,1,2,0.2,0.2,0,1,0,18,22,81.8,80,29,186,1,2,"Chelsea","Brighton",21
"44","01/01/20",5518,"Callum Hudson-Odoi",20,"eng ENG","LW",25,0,0,0,0,3,0,0,0,19,3,0,0,0,0.2,0.2,0,1,0,10,12,83.3,40,16,79,1,4,"Chelsea","Brighton",21
"45","01/01/20",5519,"Willian",10,"br BRA","RW",90,0,0,0,0,0,0,0,0,47,24,2,1,2,0,0,0,3,0,34,43,79.1,152,35,127,1,1,"Chelsea","Brighton",21
"46","01/01/20",5520,"Mason Mount",19,"eng ENG","AM",72,0,0,0,0,2,0,0,0,36,11,2,1,1,0.1,0.1,0.1,1,0,21,24,87.5,75,21,108,0,0,"Chelsea","Brighton",21
"47","01/01/20",5521,"Mateo Kovacic",17,"hr CRO","AM",18,0,0,0,0,0,0,1,0,23,9,2,0,1,0,0,0,1,0,14,17,82.4,23,14,29,1,1,"Chelsea","Brighton",21
"48","01/01/20",5522,"Jorginho",5,"it ITA","DM",90,0,0,0,0,0,0,0,0,82,15,1,3,3,0,0,0,2,0,53,70,75.7,223,51,77,0,1,"Chelsea","Brighton",21
"49","01/01/20",5523,"N'Golo Kante",7,"fr FRA","DM",90,0,0,0,0,1,1,0,0,67,29,3,3,2,0,0,0.2,4,0,40,51,78.4,149,42,104,0,1,"Chelsea","Brighton",21
"50","01/01/20",5524,"Cesar Azpilicueta",28,"es ESP","LB",90,1,0,0,0,1,1,0,0,97,17,3,5,1,0.8,0.8,0,1,0,67,84,79.8,506,61,47,0,0,"Chelsea","Brighton",21
"51","01/01/20",5525,"Kurt Zouma",15,"fr FRA","CB",90,0,0,0,0,0,0,1,0,78,6,2,1,2,0,0,0.3,1,0,57,65,87.7,394,55,81,1,1,"Chelsea","Brighton",21
