,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Date,Team,Opponent
22,Kelechi Iheanacho,8.0,ng NGA,DM,20-312,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/11/2017,Leicester City,Arsenal
23,Christian Fuchs,28.0,at AUT,LB,31-126,90.0,1.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,13.0,3.0,23.1,7.0,3.0,3.0,3.0,0.0,0.0,3.0,0,,2.0,0.0,08/11/2017,Leicester City,Arsenal
24,Harry Maguire,15.0,eng ENG,CB,24-159,90.0,1.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,5.0,2.0,40.0,3.0,1.0,1.0,3.0,2.0,0.0,1.0,1,,4.0,0.0,08/11/2017,Leicester City,Arsenal
25,Wes Morgan,5.0,jm JAM,CB,33-202,90.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,16.7,4.0,1.0,1.0,3.0,2.0,0.0,1.0,0,,7.0,0.0,08/11/2017,Leicester City,Arsenal
26,Danny Simpson,2.0,eng ENG,RB,30-219,90.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,11.0,5.0,45.5,8.0,1.0,2.0,3.0,1.0,0.0,2.0,0,,1.0,0.0,08/11/2017,Leicester City,Arsenal
27,Kasper Schmeichel,1.0,dk DEN,GK,30-279,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/11/2017,Leicester City,Arsenal
28,Stefano Okaka,33.0,it ITA,FW,28-003,63.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,3.0,50.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,08/12/2017,Watford,Liverpool
29,Andre Gray,18.0,eng ENG,FW,26-047,27.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,08/12/2017,Watford,Liverpool
30,Roberto Pereyra,37.0,ar ARG,LW,26-217,49.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,1.0,16.7,0.0,5.0,1.0,3.0,0.0,0.0,3.0,0,,0.0,0.0,08/12/2017,Watford,Liverpool
31,Richarlison,11.0,br BRA,LW,20-094,41.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0,20.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1,,0.0,0.0,08/12/2017,Watford,Liverpool
32,Nordin Amrabat,7.0,ma MAR,RW,30-134,90.0,2.0,1,0.0,2.0,0.0,1.0,1.0,100.0,0.0,13.0,3.0,23.1,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/12/2017,Watford,Liverpool
33,Nathaniel Chalobah,14.0,eng ENG,CM,22-243,90.0,3.0,3,2.0,1.0,0.0,1.0,2.0,50.0,1.0,12.0,7.0,58.3,4.0,5.0,3.0,1.0,0.0,0.0,1.0,2,,0.0,0.0,08/12/2017,Watford,Liverpool
34,Tom Cleverley,8.0,eng ENG,CM,28-000,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,16.0,11.0,68.8,4.0,7.0,5.0,2.0,0.0,0.0,2.0,1,,0.0,0.0,08/12/2017,Watford,Liverpool
35,Abdoulaye DoucourÃ©,16.0,fr FRA,DM,24-223,90.0,1.0,1,0.0,1.0,0.0,1.0,5.0,20.0,4.0,12.0,3.0,25.0,3.0,8.0,1.0,2.0,0.0,0.0,2.0,1,,1.0,0.0,08/12/2017,Watford,Liverpool
36,JosÃ© Holebas,25.0,gr GRE,LB,33-046,90.0,3.0,1,2.0,1.0,0.0,2.0,6.0,33.3,4.0,16.0,6.0,37.5,8.0,8.0,0.0,1.0,0.0,0.0,1.0,3,,6.0,0.0,08/12/2017,Watford,Liverpool
37,Miguel Britos,3.0,uy URU,CB,32-026,90.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,6.0,2.0,33.3,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1,,3.0,0.0,08/12/2017,Watford,Liverpool
38,YounÃ¨s Kaboul,4.0,fr FRA,CB,31-220,90.0,3.0,3,0.0,3.0,0.0,0.0,1.0,0.0,1.0,10.0,8.0,80.0,4.0,6.0,0.0,3.0,1.0,0.0,2.0,1,,6.0,0.0,08/12/2017,Watford,Liverpool
39,Daryl Janmaat,2.0,nl NED,RB,28-021,18.0,1.0,1,0.0,0.0,1.0,0.0,0.0,,0.0,2.0,1.0,50.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,,0.0,0.0,08/12/2017,Watford,Liverpool
40,Kiko FemenÃ­a,21.0,es ESP,RB,26-191,72.0,1.0,1,1.0,0.0,0.0,1.0,3.0,33.3,2.0,4.0,1.0,25.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2,,1.0,0.0,08/12/2017,Watford,Liverpool
41,Heurelho Gomes,1.0,br BRA,GK,36-178,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/12/2017,Watford,Liverpool
42,Mohamed Salah,11.0,eg EGY,"FW,RW",25-058,86.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,6.0,33.3,4.0,4.0,10.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,08/12/2017,Liverpool,Watford
43,James Milner,7.0,eng ENG,"RM,RW",31-220,4.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/12/2017,Liverpool,Watford
44,Sadio ManÃ©,19.0,sn SEN,"LW,FW",25-124,90.0,2.0,1,0.0,1.0,1.0,0.0,0.0,,0.0,19.0,1.0,5.3,4.0,9.0,6.0,2.0,0.0,0.0,2.0,2,,0.0,0.0,08/12/2017,Liverpool,Watford
45,Roberto Firmino,9.0,br BRA,RW,25-314,81.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,24.0,9.0,37.5,1.0,10.0,13.0,2.0,0.0,0.0,2.0,1,,1.0,0.0,08/12/2017,Liverpool,Watford
46,Divock Origi,27.0,be BEL,"FW,RW",22-116,9.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/12/2017,Liverpool,Watford
47,Georginio Wijnaldum,5.0,nl NED,"CM,LM",26-274,90.0,1.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,14.0,4.0,28.6,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,08/12/2017,Liverpool,Watford
48,Jordan Henderson,14.0,eng ENG,CM,27-056,90.0,1.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,26.0,11.0,42.3,13.0,9.0,4.0,0.0,0.0,0.0,0.0,3,,2.0,0.0,08/12/2017,Liverpool,Watford
49,Emre Can,23.0,de GER,CM,23-212,90.0,3.0,2,3.0,0.0,0.0,1.0,2.0,50.0,1.0,27.0,7.0,25.9,10.0,12.0,5.0,2.0,0.0,0.0,2.0,2,,2.0,0.0,08/12/2017,Liverpool,Watford
50,Alberto Moreno,18.0,es ESP,LB,25-038,90.0,4.0,4,4.0,0.0,0.0,1.0,2.0,50.0,1.0,25.0,12.0,48.0,14.0,8.0,3.0,1.0,0.0,0.0,1.0,4,,4.0,0.0,08/12/2017,Liverpool,Watford
51,Dejan Lovren,6.0,hr CRO,CB,28-038,90.0,3.0,2,1.0,1.0,1.0,2.0,5.0,40.0,3.0,11.0,3.0,27.3,9.0,2.0,0.0,2.0,1.0,0.0,1.0,3,,4.0,0.0,08/12/2017,Liverpool,Watford
52,JoÃ«l Matip,32.0,cm CMR,CB,26-004,90.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,9.0,5.0,55.6,4.0,2.0,3.0,0.0,0.0,0.0,0.0,2,,5.0,0.0,08/12/2017,Liverpool,Watford
53,Trent Alexander-Arnold,66.0,eng ENG,RB,18-309,90.0,2.0,1,1.0,1.0,0.0,0.0,2.0,0.0,2.0,15.0,5.0,33.3,8.0,6.0,1.0,3.0,0.0,0.0,3.0,2,,3.0,1.0,08/12/2017,Liverpool,Watford
54,Joe Gomez,12.0,eng ENG,RB,20-081,,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,08/12/2017,Liverpool,Watford
55,Simon Mignolet,22.0,be BEL,GK,29-159,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/12/2017,Liverpool,Watford
56,Jay Rodriguez,19.0,eng ENG,"FW,RW",28-014,88.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,19.0,6.0,31.6,6.0,6.0,7.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,08/12/2017,West Brom,Bournemouth
57,SalomÃ³n RondÃ³n,9.0,ve VEN,RW,27-330,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/12/2017,West Brom,Bournemouth
58,James McClean,14.0,ie IRL,LW,28-112,90.0,6.0,4,2.0,3.0,1.0,2.0,3.0,66.7,1.0,22.0,5.0,22.7,9.0,9.0,4.0,4.0,1.0,0.0,3.0,0,,0.0,0.0,08/12/2017,West Brom,Bournemouth
59,Matt Phillips,10.0,sco SCO,RW,26-152,72.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,11.0,2.0,18.2,6.0,4.0,1.0,2.0,0.0,0.0,2.0,1,,1.0,0.0,08/12/2017,West Brom,Bournemouth
60,Hal Robson-Kanu,4.0,wal WAL,"FW,RW",28-083,18.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,4.0,50.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/12/2017,West Brom,Bournemouth
61,Sam Field,28.0,eng ENG,CM,19-096,70.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,22.0,4.0,18.2,10.0,10.0,2.0,0.0,0.0,0.0,0.0,0,,3.0,0.0,08/12/2017,West Brom,Bournemouth
62,Rekeem Harper,34.0,eng ENG,CM,17-157,20.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,20.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,08/12/2017,West Brom,Bournemouth
63,Jake Livermore,8.0,eng ENG,CM,27-271,90.0,2.0,2,2.0,0.0,0.0,0.0,3.0,0.0,3.0,13.0,3.0,23.1,4.0,4.0,5.0,3.0,0.0,0.0,3.0,1,,1.0,0.0,08/12/2017,West Brom,Bournemouth
64,Claudio Yacob,5.0,ar ARG,DM,30-025,90.0,2.0,1,1.0,1.0,0.0,1.0,5.0,20.0,4.0,7.0,1.0,14.3,1.0,4.0,2.0,0.0,0.0,0.0,0.0,2,,2.0,0.0,08/12/2017,West Brom,Bournemouth
65,Chris Brunt,11.0,nir NIR,LB,32-241,90.0,2.0,2,2.0,0.0,0.0,1.0,2.0,50.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,2.0,0.0,08/12/2017,West Brom,Bournemouth
66,Ahmed Hegazi,26.0,eg EGY,CB,26-199,90.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,5.0,83.3,5.0,1.0,0.0,1.0,1.0,0.0,0.0,2,,7.0,1.0,08/12/2017,West Brom,Bournemouth
67,Craig Dawson,25.0,eng ENG,CB,27-098,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,3.0,42.9,6.0,1.0,0.0,3.0,2.0,0.0,1.0,3,,2.0,0.0,08/12/2017,West Brom,Bournemouth
68,Allan Nyom,2.0,cm CMR,RB,29-094,90.0,3.0,3,2.0,1.0,0.0,3.0,3.0,100.0,0.0,11.0,2.0,18.2,8.0,2.0,1.0,2.0,1.0,0.0,1.0,0,,0.0,0.0,08/12/2017,West Brom,Bournemouth
69,Ben Foster,1.0,eng ENG,GK,34-131,90.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/12/2017,West Brom,Bournemouth
70,Benik Afobe,9.0,cd COD,FW,24-181,64.0,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,8.0,4.0,50.0,0.0,4.0,4.0,2.0,0.0,0.0,2.0,0,,1.0,0.0,08/12/2017,Bournemouth,West Brom
71,Jermain Defoe,18.0,eng ENG,FW,34-309,26.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,33.3,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,08/12/2017,Bournemouth,West Brom
72,Joshua King,17.0,no NOR,AM,25-209,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,19.0,4.0,21.1,2.0,5.0,12.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,08/12/2017,Bournemouth,West Brom
73,Marc Pugh,7.0,eng ENG,LM,30-132,45.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,25.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/12/2017,Bournemouth,West Brom
74,Jordon Ibe,33.0,eng ENG,RM,21-247,45.0,2.0,2,2.0,0.0,0.0,1.0,1.0,100.0,0.0,4.0,1.0,25.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,2.0,0.0,08/12/2017,Bournemouth,West Brom
75,Harry Arter,8.0,ie IRL,CM,27-227,90.0,4.0,2,2.0,2.0,0.0,1.0,1.0,100.0,0.0,17.0,5.0,29.4,10.0,6.0,1.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,08/12/2017,Bournemouth,West Brom
76,Andrew Surman,6.0,eng ENG,CM,30-357,90.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,10.0,4.0,40.0,4.0,2.0,4.0,1.0,1.0,0.0,0.0,0,,3.0,0.0,08/12/2017,Bournemouth,West Brom
77,Ryan Fraser,24.0,sco SCO,"RM,LM",23-169,90.0,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,13.0,1.0,7.7,6.0,3.0,4.0,3.0,0.0,0.0,3.0,0,,1.0,0.0,08/12/2017,Bournemouth,West Brom
78,Charlie Daniels,11.0,eng ENG,LB,30-339,90.0,2.0,0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,10.0,2.0,20.0,7.0,3.0,0.0,2.0,0.0,0.0,2.0,0,,1.0,0.0,08/12/2017,Bournemouth,West Brom
79,Nathan AkÃ©,5.0,nl NED,CB,22-175,90.0,4.0,3,4.0,0.0,0.0,1.0,1.0,100.0,0.0,10.0,1.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0,,4.0,0.0,08/12/2017,Bournemouth,West Brom
80,Steve Cook,3.0,eng ENG,CB,26-115,90.0,2.0,1,2.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,2.0,0.0,08/12/2017,Bournemouth,West Brom
81,Simon Francis,2.0,eng ENG,RB,32-177,80.0,3.0,1,1.0,2.0,0.0,0.0,1.0,0.0,1.0,11.0,2.0,18.2,4.0,3.0,4.0,3.0,0.0,0.0,3.0,0,,2.0,0.0,08/12/2017,Bournemouth,West Brom
82,Adam Smith,15.0,eng ENG,RB,26-105,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/12/2017,Bournemouth,West Brom
83,Asmir BegoviÄ,27.0,ba BIH,GK,30-053,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/12/2017,Bournemouth,West Brom
84,Sandro RamÃ­rez,9.0,es ESP,"FW,AM",22-034,77.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,23.0,5.0,21.7,6.0,9.0,8.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/12/2017,Everton,Stoke City
85,Kevin Mirallas,11.0,be BEL,AM,29-311,13.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,20.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,08/12/2017,Everton,Stoke City
86,Davy Klaassen,20.0,nl NED,"AM,CM",24-172,60.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,13.0,5.0,38.5,8.0,3.0,2.0,1.0,0.0,0.0,1.0,0,,0.0,0.0,08/12/2017,Everton,Stoke City
87,Tom Davies,26.0,eng ENG,CM,19-043,30.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,9.0,1.0,11.1,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,08/12/2017,Everton,Stoke City
88,Wayne Rooney,10.0,eng ENG,AM,31-292,90.0,2.0,2,2.0,0.0,0.0,2.0,2.0,100.0,0.0,19.0,8.0,42.1,3.0,5.0,11.0,2.0,0.0,0.0,2.0,0,,2.0,0.0,08/12/2017,Everton,Stoke City
89,Leighton Baines,3.0,eng ENG,"LM,LB",32-244,90.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,0,,1.0,0.0,08/12/2017,Everton,Stoke City
90,Idrissa Gana Gueye,17.0,sn SEN,CM,27-320,90.0,5.0,1,3.0,1.0,1.0,1.0,2.0,50.0,1.0,31.0,8.0,25.8,14.0,12.0,5.0,4.0,0.0,0.0,4.0,0,,1.0,0.0,08/12/2017,Everton,Stoke City
91,Morgan Schneiderlin,2.0,fr FRA,"DM,CM",27-277,90.0,2.0,2,2.0,0.0,0.0,0.0,4.0,0.0,4.0,11.0,3.0,27.3,5.0,5.0,1.0,2.0,0.0,0.0,2.0,2,,3.0,0.0,08/12/2017,Everton,Stoke City
92,Dominic Calvert-Lewin,29.0,eng ENG,"RM,FW",20-149,90.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,7.0,50.0,2.0,3.0,9.0,1.0,0.0,0.0,1.0,0,,3.0,0.0,08/12/2017,Everton,Stoke City
93,Phil Jagielka,6.0,eng ENG,CB,34-360,90.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,25.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2,,1.0,0.0,08/12/2017,Everton,Stoke City
94,Ashley Williams,5.0,wal WAL,CB,32-354,45.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,3.0,42.9,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0,,4.0,0.0,08/12/2017,Everton,Stoke City
95,Cuco Martina,15.0,cw CUW,RB,27-321,45.0,2.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,1.0,16.7,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0,,2.0,0.0,08/12/2017,Everton,Stoke City
96,Michael Keane,4.0,eng ENG,CB,24-213,90.0,2.0,1,2.0,0.0,0.0,1.0,1.0,100.0,0.0,6.0,2.0,33.3,5.0,1.0,0.0,2.0,2.0,0.0,0.0,0,,2.0,0.0,08/12/2017,Everton,Stoke City
97,Jordan Pickford,1.0,eng ENG,GK,23-158,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,08/12/2017,Everton,Stoke City
98,Saido Berahino,9.0,bi BDI,FW,24-008,72.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,33.3,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1,,0.0,0.0,08/12/2017,Stoke City,Everton
99,Peter Crouch,25.0,eng ENG,FW,36-194,18.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,08/12/2017,Stoke City,Everton
100,Bojan KrkiÄ,27.0,es ESP,AM,26-349,72.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,75.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,0,,0.0,0.0,08/12/2017,Stoke City,Everton
