,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Date,Team,Opponent
303,Antonio Valencia,25.0,ec ECU,RB,32-015,90.0,72.0,82.0,87.8,1092.0,423.0,43.0,44.0,97.7,25.0,28.0,89.3,3.0,9.0,33.3,0,0.0,0.0,3.0,0.0,0.0,5.0,08/19/2017,Manchester Utd,Swansea City
304,David de Gea,1.0,es ESP,GK,26-285,90.0,10.0,15.0,66.7,404.0,288.0,0.0,0.0,,4.0,4.0,100.0,6.0,11.0,54.5,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,Manchester Utd,Swansea City
305,Manolo Gabbiadini,20.0,it ITA,FW,25-266,80.0,19.0,21.0,90.5,298.0,17.0,10.0,11.0,90.9,9.0,9.0,100.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,08/19/2017,Southampton,West Ham
306,Charlie Austin,10.0,eng ENG,FW,28-045,10.0,4.0,5.0,80.0,72.0,9.0,1.0,1.0,100.0,3.0,4.0,75.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,Southampton,West Ham
307,Nathan Redmond,22.0,eng ENG,LW,23-166,90.0,25.0,36.0,69.4,453.0,121.0,11.0,14.0,78.6,11.0,14.0,78.6,3.0,6.0,50.0,1,0.2,3.0,1.0,3.0,0.0,4.0,08/19/2017,Southampton,West Ham
308,DuÅ¡an TadiÄ,11.0,rs SRB,"RW,AM",28-272,90.0,36.0,52.0,69.2,576.0,244.0,16.0,21.0,76.2,17.0,19.0,89.5,2.0,9.0,22.2,0,0.1,4.0,2.0,7.0,0.0,10.0,08/19/2017,Southampton,West Ham
309,Steven Davis,8.0,nir NIR,"AM,DM",32-230,80.0,56.0,63.0,88.9,883.0,195.0,31.0,32.0,96.9,21.0,25.0,84.0,3.0,4.0,75.0,0,0.0,1.0,9.0,0.0,0.0,5.0,08/19/2017,Southampton,West Ham
310,Shane Long,7.0,ie IRL,"AM,DM",30-209,10.0,2.0,2.0,100.0,21.0,0.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,Southampton,West Ham
311,Oriol Romeu,14.0,es ESP,DM,25-329,90.0,92.0,103.0,89.3,1689.0,536.0,38.0,42.0,90.5,47.0,53.0,88.7,7.0,8.0,87.5,0,0.0,0.0,11.0,0.0,0.0,13.0,08/19/2017,Southampton,West Ham
312,Mario Lemina,18.0,ga GAB,DM,23-352,65.0,46.0,55.0,83.6,953.0,255.0,17.0,19.0,89.5,23.0,25.0,92.0,6.0,11.0,54.5,0,0.0,0.0,7.0,0.0,0.0,5.0,08/19/2017,Southampton,West Ham
313,James Ward-Prowse,16.0,eng ENG,"RW,DM",22-291,25.0,21.0,29.0,72.4,436.0,82.0,7.0,8.0,87.5,10.0,10.0,100.0,4.0,10.0,40.0,0,0.0,2.0,1.0,1.0,0.0,3.0,08/19/2017,Southampton,West Ham
314,Ryan Bertrand,21.0,eng ENG,LB,28-014,90.0,57.0,69.0,82.6,946.0,298.0,33.0,38.0,86.8,17.0,19.0,89.5,6.0,11.0,54.5,0,0.0,0.0,3.0,1.0,0.0,3.0,08/19/2017,Southampton,West Ham
315,Maya Yoshida,3.0,jp JPN,CB,28-360,90.0,51.0,64.0,79.7,905.0,370.0,21.0,25.0,84.0,26.0,28.0,92.9,4.0,11.0,36.4,0,0.0,0.0,1.0,0.0,0.0,4.0,08/19/2017,Southampton,West Ham
316,Jack Stephens,5.0,eng ENG,CB,23-204,90.0,46.0,50.0,92.0,865.0,284.0,17.0,17.0,100.0,24.0,27.0,88.9,5.0,6.0,83.3,0,0.0,0.0,2.0,0.0,0.0,3.0,08/19/2017,Southampton,West Ham
317,CÃ©dric Soares,2.0,pt POR,RB,25-353,90.0,36.0,49.0,73.5,552.0,214.0,18.0,20.0,90.0,16.0,22.0,72.7,1.0,5.0,20.0,0,0.0,1.0,1.0,2.0,0.0,3.0,08/19/2017,Southampton,West Ham
318,Fraser Forster,44.0,eng ENG,GK,29-155,90.0,13.0,21.0,61.9,338.0,213.0,2.0,2.0,100.0,8.0,8.0,100.0,3.0,11.0,27.3,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,Southampton,West Ham
319,Javier HernÃ¡ndez,17.0,mx MEX,FW,29-079,90.0,15.0,21.0,71.4,331.0,109.0,6.0,7.0,85.7,5.0,8.0,62.5,4.0,6.0,66.7,0,0.2,2.0,0.0,3.0,3.0,0.0,08/19/2017,West Ham,Southampton
320,Marko ArnautoviÄ,7.0,at AUT,LW,28-122,32.0,8.0,13.0,61.5,157.0,57.0,4.0,5.0,80.0,2.0,4.0,50.0,2.0,3.0,66.7,0,0.0,1.0,0.0,0.0,0.0,0.0,08/19/2017,West Ham,Southampton
321,Michail Antonio,30.0,eng ENG,RW,27-144,68.0,10.0,15.0,66.7,185.0,100.0,6.0,8.0,75.0,2.0,3.0,66.7,2.0,3.0,66.7,0,0.2,2.0,3.0,1.0,0.0,3.0,08/19/2017,West Ham,Southampton
322,Diafra Sakho,15.0,sn SEN,RW,27-238,22.0,3.0,5.0,60.0,76.0,8.0,2.0,3.0,66.7,0.0,1.0,0.0,1.0,1.0,100.0,0,0.0,0.0,1.0,0.0,0.0,0.0,08/19/2017,West Ham,Southampton
323,AndrÃ© Ayew,20.0,gh GHA,AM,27-245,68.0,15.0,23.0,65.2,197.0,42.0,7.0,9.0,77.8,7.0,10.0,70.0,0.0,2.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,08/19/2017,West Ham,Southampton
324,Edimilson Fernandes,31.0,ch SUI,AM,21-126,22.0,2.0,5.0,40.0,29.0,0.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,West Ham,Southampton
325,Mark Noble,16.0,eng ENG,CM,30-103,90.0,34.0,42.0,81.0,823.0,224.0,10.0,13.0,76.9,12.0,13.0,92.3,12.0,16.0,75.0,0,0.0,1.0,2.0,0.0,0.0,2.0,08/19/2017,West Ham,Southampton
326,Declan Rice,41.0,eng ENG,CM,18-217,76.0,25.0,34.0,73.5,486.0,39.0,9.0,12.0,75.0,13.0,18.0,72.2,3.0,3.0,100.0,0,0.0,0.0,1.0,0.0,0.0,1.0,08/19/2017,West Ham,Southampton
327,Pedro Obiang,14.0,gq EQG,CM,25-145,14.0,3.0,4.0,75.0,48.0,19.0,0.0,0.0,,2.0,2.0,100.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,West Ham,Southampton
328,Aaron Cresswell,3.0,eng ENG,LB,27-247,90.0,23.0,33.0,69.7,584.0,252.0,7.0,8.0,87.5,6.0,7.0,85.7,10.0,17.0,58.8,0,0.2,4.0,3.0,1.0,1.0,3.0,08/19/2017,West Ham,Southampton
329,Angelo Ogbonna,21.0,it ITA,CB,29-088,90.0,27.0,37.0,73.0,684.0,282.0,5.0,7.0,71.4,15.0,19.0,78.9,6.0,9.0,66.7,0,0.0,0.0,1.0,0.0,0.0,2.0,08/19/2017,West Ham,Southampton
330,JosÃ© Fonte,4.0,pt POR,CB,33-240,90.0,16.0,24.0,66.7,379.0,149.0,3.0,4.0,75.0,9.0,12.0,75.0,4.0,8.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,West Ham,Southampton
331,Pablo Zabaleta,5.0,ar ARG,RB,32-215,90.0,26.0,34.0,76.5,515.0,302.0,8.0,10.0,80.0,17.0,20.0,85.0,1.0,3.0,33.3,0,0.1,1.0,3.0,1.0,1.0,3.0,08/19/2017,West Ham,Southampton
332,Joe Hart,25.0,eng ENG,GK,30-122,90.0,12.0,36.0,33.3,780.0,708.0,0.0,0.0,,0.0,0.0,,12.0,36.0,33.3,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,West Ham,Southampton
333,Jamie Vardy,9.0,eng ENG,"FW,AM",30-220,90.0,16.0,18.0,88.9,295.0,69.0,11.0,11.0,100.0,3.0,3.0,100.0,2.0,3.0,66.7,0,0.5,1.0,3.0,1.0,1.0,2.0,08/19/2017,Leicester City,Brighton
334,Demarai Gray,7.0,eng ENG,AM,21-052,,1.0,1.0,100.0,9.0,9.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,Leicester City,Brighton
335,Shinji Okazaki,20.0,jp JPN,AM,31-125,76.0,13.0,17.0,76.5,161.0,29.0,10.0,12.0,83.3,3.0,3.0,100.0,0.0,0.0,,0,0.2,1.0,1.0,0.0,0.0,1.0,08/19/2017,Leicester City,Brighton
336,Islam Slimani,19.0,dz ALG,FW,29-062,14.0,4.0,4.0,100.0,76.0,30.0,1.0,1.0,100.0,3.0,3.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,1.0,0.0,1.0,08/19/2017,Leicester City,Brighton
337,Marc Albrighton,11.0,eng ENG,LM,27-274,90.0,20.0,37.0,54.1,309.0,91.0,11.0,12.0,91.7,7.0,15.0,46.7,1.0,9.0,11.1,0,0.3,2.0,1.0,0.0,0.0,0.0,08/19/2017,Leicester City,Brighton
338,Riyad Mahrez,26.0,dz ALG,RM,26-179,90.0,38.0,48.0,79.2,717.0,214.0,17.0,18.0,94.4,16.0,18.0,88.9,4.0,10.0,40.0,1,0.1,2.0,3.0,1.0,0.0,5.0,08/19/2017,Leicester City,Brighton
339,Matty James,22.0,eng ENG,DM,26-028,90.0,39.0,47.0,83.0,699.0,115.0,20.0,25.0,80.0,12.0,13.0,92.3,6.0,8.0,75.0,0,0.1,1.0,0.0,0.0,0.0,0.0,08/19/2017,Leicester City,Brighton
340,Wilfred Ndidi,25.0,ng NGA,DM,20-246,90.0,36.0,51.0,70.6,729.0,169.0,12.0,16.0,75.0,17.0,22.0,77.3,7.0,10.0,70.0,0,0.0,0.0,1.0,0.0,0.0,5.0,08/19/2017,Leicester City,Brighton
341,Christian Fuchs,28.0,at AUT,LB,31-134,90.0,48.0,59.0,81.4,762.0,233.0,26.0,28.0,92.9,19.0,22.0,86.4,3.0,7.0,42.9,0,0.0,0.0,0.0,1.0,0.0,5.0,08/19/2017,Leicester City,Brighton
342,Harry Maguire,15.0,eng ENG,CB,24-167,90.0,53.0,60.0,88.3,1236.0,355.0,17.0,20.0,85.0,26.0,27.0,96.3,9.0,12.0,75.0,0,0.0,0.0,6.0,0.0,0.0,3.0,08/19/2017,Leicester City,Brighton
343,Wes Morgan,5.0,jm JAM,CB,33-210,90.0,33.0,38.0,86.8,678.0,153.0,11.0,11.0,100.0,15.0,17.0,88.2,6.0,9.0,66.7,0,0.0,0.0,0.0,0.0,0.0,1.0,08/19/2017,Leicester City,Brighton
344,Danny Simpson,2.0,eng ENG,RB,30-227,90.0,38.0,46.0,82.6,638.0,261.0,18.0,18.0,100.0,16.0,19.0,84.2,3.0,7.0,42.9,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,Leicester City,Brighton
345,Kasper Schmeichel,1.0,dk DEN,GK,30-287,90.0,21.0,34.0,61.8,868.0,593.0,0.0,0.0,,8.0,8.0,100.0,13.0,26.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,Leicester City,Brighton
346,Glenn Murray,17.0,eng ENG,FW,33-328,66.0,12.0,15.0,80.0,115.0,10.0,9.0,10.0,90.0,1.0,3.0,33.3,0.0,0.0,,0,0.1,1.0,0.0,0.0,0.0,0.0,08/19/2017,Brighton,Leicester City
347,Tomer Hemed,10.0,il ISR,FW,30-109,24.0,4.0,4.0,100.0,59.0,18.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,,0,0.0,0.0,1.0,0.0,0.0,1.0,08/19/2017,Brighton,Leicester City
348,Pascal GroÃ,13.0,de GER,AM,26-065,62.0,18.0,27.0,66.7,222.0,26.0,11.0,13.0,84.6,4.0,8.0,50.0,1.0,3.0,33.3,0,0.0,0.0,1.0,0.0,0.0,1.0,08/19/2017,Brighton,Leicester City
349,Anthony Knockaert,11.0,fr FRA,AM,25-272,28.0,11.0,17.0,64.7,206.0,87.0,4.0,5.0,80.0,6.0,8.0,75.0,1.0,4.0,25.0,0,0.0,0.0,0.0,0.0,0.0,2.0,08/19/2017,Brighton,Leicester City
350,Jamie Murphy,15.0,sco SCO,LM,27-356,90.0,30.0,36.0,83.3,489.0,72.0,17.0,18.0,94.4,10.0,11.0,90.9,3.0,3.0,100.0,0,0.0,1.0,1.0,0.0,0.0,0.0,08/19/2017,Brighton,Leicester City
351,Solly March,20.0,eng ENG,RM,23-030,90.0,37.0,43.0,86.0,552.0,132.0,20.0,20.0,100.0,14.0,18.0,77.8,2.0,2.0,100.0,0,0.0,0.0,2.0,2.0,1.0,3.0,08/19/2017,Brighton,Leicester City
352,Davy PrÃ¶pper,24.0,nl NED,DM,25-351,90.0,56.0,65.0,86.2,1269.0,277.0,19.0,22.0,86.4,25.0,27.0,92.6,12.0,13.0,92.3,0,0.0,0.0,6.0,0.0,0.0,4.0,08/19/2017,Brighton,Leicester City
353,Dale Stephens,6.0,eng ENG,DM,28-068,90.0,64.0,74.0,86.5,1476.0,319.0,15.0,16.0,93.8,33.0,37.0,89.2,16.0,20.0,80.0,0,0.0,0.0,5.0,1.0,0.0,5.0,08/19/2017,Brighton,Leicester City
354,Markus Suttner,29.0,at AUT,LB,30-125,90.0,44.0,55.0,80.0,845.0,375.0,19.0,20.0,95.0,19.0,22.0,86.4,6.0,13.0,46.2,0,0.0,0.0,2.0,0.0,0.0,2.0,08/19/2017,Brighton,Leicester City
355,Lewis Dunk,5.0,eng ENG,CB,25-271,90.0,45.0,56.0,80.4,1094.0,317.0,8.0,12.0,66.7,23.0,24.0,95.8,14.0,20.0,70.0,0,0.0,0.0,2.0,0.0,0.0,3.0,08/19/2017,Brighton,Leicester City
356,Shane Duffy,22.0,ie IRL,CB,25-230,90.0,55.0,64.0,85.9,1300.0,386.0,16.0,17.0,94.1,25.0,28.0,89.3,14.0,19.0,73.7,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,Brighton,Leicester City
357,Bruno,2.0,es ESP,RB,36-322,90.0,71.0,80.0,88.8,1350.0,455.0,29.0,30.0,96.7,32.0,36.0,88.9,10.0,14.0,71.4,0,0.0,0.0,6.0,1.0,1.0,4.0,08/19/2017,Brighton,Leicester City
358,Mathew Ryan,1.0,au AUS,GK,25-133,90.0,26.0,39.0,66.7,947.0,599.0,1.0,1.0,100.0,10.0,10.0,100.0,15.0,28.0,53.6,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,Brighton,Leicester City
359,Benik Afobe,9.0,cd COD,FW,24-188,59.0,3.0,8.0,37.5,39.0,8.0,2.0,5.0,40.0,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,Bournemouth,Watford
360,Jermain Defoe,18.0,eng ENG,FW,34-316,31.0,3.0,3.0,100.0,24.0,2.0,3.0,3.0,100.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,Bournemouth,Watford
361,Joshua King,17.0,no NOR,FW,25-216,90.0,13.0,18.0,72.2,168.0,41.0,7.0,9.0,77.8,2.0,3.0,66.7,1.0,1.0,100.0,0,0.0,0.0,1.0,0.0,0.0,2.0,08/19/2017,Bournemouth,Watford
362,Jordon Ibe,33.0,eng ENG,LM,21-254,60.0,18.0,25.0,72.0,267.0,119.0,9.0,12.0,75.0,6.0,7.0,85.7,2.0,2.0,100.0,0,0.3,1.0,2.0,0.0,0.0,2.0,08/19/2017,Bournemouth,Watford
363,Marc Pugh,7.0,eng ENG,LM,30-139,30.0,12.0,18.0,66.7,176.0,50.0,6.0,10.0,60.0,3.0,5.0,60.0,2.0,2.0,100.0,0,0.0,0.0,0.0,1.0,1.0,1.0,08/19/2017,Bournemouth,Watford
364,Harry Arter,8.0,ie IRL,CM,27-234,90.0,43.0,55.0,78.2,826.0,213.0,22.0,24.0,91.7,13.0,18.0,72.2,8.0,13.0,61.5,0,0.0,0.0,8.0,0.0,0.0,6.0,08/19/2017,Bournemouth,Watford
365,Andrew Surman,6.0,eng ENG,CM,30-364,90.0,48.0,61.0,78.7,1093.0,313.0,15.0,20.0,75.0,21.0,23.0,91.3,11.0,17.0,64.7,0,0.0,0.0,9.0,0.0,0.0,8.0,08/19/2017,Bournemouth,Watford
366,Ryan Fraser,24.0,sco SCO,RM,23-176,78.0,11.0,23.0,47.8,151.0,1.0,4.0,6.0,66.7,5.0,10.0,50.0,1.0,5.0,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,Bournemouth,Watford
367,Lys Mousset,31.0,fr FRA,RM,21-192,12.0,2.0,4.0,50.0,12.0,0.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,Bournemouth,Watford
368,Charlie Daniels,11.0,eng ENG,LB,30-346,90.0,46.0,65.0,70.8,877.0,300.0,22.0,24.0,91.7,14.0,18.0,77.8,8.0,16.0,50.0,0,0.0,0.0,3.0,0.0,0.0,3.0,08/19/2017,Bournemouth,Watford
369,Nathan AkÃ©,5.0,nl NED,CB,22-182,90.0,45.0,54.0,83.3,1020.0,284.0,12.0,13.0,92.3,22.0,25.0,88.0,11.0,15.0,73.3,0,0.0,0.0,4.0,0.0,0.0,4.0,08/19/2017,Bournemouth,Watford
370,Steve Cook,3.0,eng ENG,CB,26-122,90.0,46.0,63.0,73.0,1233.0,528.0,9.0,12.0,75.0,20.0,27.0,74.1,17.0,24.0,70.8,0,0.3,1.0,9.0,1.0,0.0,4.0,08/19/2017,Bournemouth,Watford
371,Adam Smith,15.0,eng ENG,RB,26-112,90.0,33.0,43.0,76.7,643.0,109.0,13.0,16.0,81.3,16.0,21.0,76.2,4.0,6.0,66.7,0,0.0,0.0,1.0,1.0,0.0,2.0,08/19/2017,Bournemouth,Watford
372,Asmir BegoviÄ,27.0,ba BIH,GK,30-060,90.0,15.0,20.0,75.0,419.0,206.0,4.0,4.0,100.0,7.0,7.0,100.0,4.0,9.0,44.4,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,Bournemouth,Watford
373,Andre Gray,18.0,eng ENG,FW,26-054,90.0,12.0,19.0,63.2,237.0,32.0,6.0,10.0,60.0,4.0,5.0,80.0,2.0,2.0,100.0,0,0.0,0.0,1.0,0.0,0.0,0.0,08/19/2017,Watford,Bournemouth
374,Richarlison,11.0,br BRA,LW,20-101,80.0,16.0,24.0,66.7,258.0,105.0,11.0,14.0,78.6,4.0,6.0,66.7,1.0,1.0,100.0,0,0.4,4.0,2.0,2.0,0.0,4.0,08/19/2017,Watford,Bournemouth
375,Ãtienne Capoue,29.0,fr FRA,"CM,LW",29-039,10.0,4.0,4.0,100.0,50.0,12.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,,0,0.0,1.0,1.0,0.0,0.0,0.0,08/19/2017,Watford,Bournemouth
376,Nordin Amrabat,7.0,ma MAR,RW,30-141,82.0,19.0,28.0,67.9,351.0,153.0,9.0,11.0,81.8,7.0,13.0,53.8,3.0,4.0,75.0,0,0.1,1.0,3.0,1.0,1.0,5.0,08/19/2017,Watford,Bournemouth
377,Christian Kabasele,27.0,be BEL,RB,26-176,8.0,1.0,1.0,100.0,29.0,28.0,0.0,0.0,,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,1.0,08/19/2017,Watford,Bournemouth
378,Nathaniel Chalobah,14.0,eng ENG,CM,22-250,90.0,20.0,33.0,60.6,452.0,148.0,7.0,12.0,58.3,7.0,11.0,63.6,5.0,8.0,62.5,0,0.0,0.0,5.0,0.0,0.0,4.0,08/19/2017,Watford,Bournemouth
379,Ben Watson,23.0,eng ENG,CM,32-041,,1.0,4.0,25.0,20.0,6.0,0.0,0.0,,1.0,2.0,50.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,Watford,Bournemouth
380,Abdoulaye DoucourÃ©,16.0,fr FRA,"CM,DM",24-230,90.0,45.0,54.0,83.3,971.0,221.0,13.0,16.0,81.3,22.0,24.0,91.7,10.0,13.0,76.9,0,0.0,0.0,4.0,3.0,0.0,7.0,08/19/2017,Watford,Bournemouth
381,Tom Cleverley,8.0,eng ENG,"CM,LW",28-007,90.0,46.0,55.0,83.6,950.0,342.0,23.0,25.0,92.0,9.0,13.0,69.2,13.0,16.0,81.3,0,0.1,2.0,5.0,1.0,0.0,8.0,08/19/2017,Watford,Bournemouth
382,JosÃ© Holebas,25.0,gr GRE,LB,33-053,90.0,32.0,45.0,71.1,700.0,319.0,13.0,14.0,92.9,10.0,13.0,76.9,9.0,17.0,52.9,0,0.2,3.0,1.0,1.0,0.0,3.0,08/19/2017,Watford,Bournemouth
383,Miguel Britos,3.0,uy URU,CB,32-033,90.0,25.0,34.0,73.5,605.0,149.0,5.0,6.0,83.3,14.0,17.0,82.4,6.0,10.0,60.0,0,0.0,0.0,2.0,0.0,0.0,2.0,08/19/2017,Watford,Bournemouth
384,Sebastian PrÃ¶dl,5.0,at AUT,CB,30-059,90.0,18.0,29.0,62.1,373.0,136.0,5.0,6.0,83.3,9.0,12.0,75.0,4.0,10.0,40.0,0,0.0,0.0,2.0,0.0,0.0,2.0,08/19/2017,Watford,Bournemouth
385,Kiko FemenÃ­a,21.0,es ESP,"RB,RW",26-198,90.0,33.0,43.0,76.7,589.0,221.0,16.0,18.0,88.9,12.0,14.0,85.7,5.0,10.0,50.0,0,0.0,0.0,1.0,1.0,0.0,4.0,08/19/2017,Watford,Bournemouth
386,Heurelho Gomes,1.0,br BRA,GK,36-185,90.0,16.0,30.0,53.3,810.0,697.0,0.0,0.0,,4.0,4.0,100.0,12.0,26.0,46.2,0,0.0,0.0,1.0,0.0,0.0,0.0,08/19/2017,Watford,Bournemouth
387,Sam Vokes,9.0,wal WAL,FW,27-302,90.0,16.0,25.0,64.0,199.0,22.0,12.0,18.0,66.7,2.0,5.0,40.0,1.0,1.0,100.0,0,0.1,3.0,0.0,0.0,0.0,0.0,08/19/2017,Burnley,West Brom
388,Robbie Brady,12.0,ie IRL,LW,25-217,78.0,31.0,46.0,67.4,515.0,141.0,19.0,23.0,82.6,9.0,11.0,81.8,3.0,11.0,27.3,0,0.4,2.0,3.0,1.0,1.0,1.0,08/19/2017,Burnley,West Brom
389,Jonathan Walters,19.0,ie IRL,"RW,LW",33-333,12.0,1.0,4.0,25.0,13.0,0.0,1.0,4.0,25.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,Burnley,West Brom
390,Jeff Hendrick,13.0,ie IRL,"FW,AM",25-200,90.0,31.0,37.0,83.8,593.0,124.0,15.0,16.0,93.8,12.0,13.0,92.3,4.0,6.0,66.7,0,0.2,1.0,2.0,4.0,0.0,5.0,08/19/2017,Burnley,West Brom
391,JÃ³hann Berg GuÃ°mundsson,17.0,is ISL,RW,26-296,79.0,21.0,28.0,75.0,305.0,59.0,13.0,13.0,100.0,7.0,11.0,63.6,1.0,4.0,25.0,0,0.0,1.0,0.0,0.0,0.0,1.0,08/19/2017,Burnley,West Brom
392,Ashley Barnes,10.0,eng ENG,LW,27-293,11.0,2.0,5.0,40.0,29.0,18.0,1.0,3.0,33.3,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,1.0,0.0,1.0,08/19/2017,Burnley,West Brom
393,Steven Defour,16.0,be BEL,DM,29-126,90.0,63.0,75.0,84.0,1228.0,368.0,25.0,26.0,96.2,29.0,34.0,85.3,9.0,14.0,64.3,0,0.1,1.0,7.0,1.0,1.0,9.0,08/19/2017,Burnley,West Brom
394,Jack Cork,4.0,eng ENG,DM,28-055,90.0,55.0,65.0,84.6,1103.0,263.0,24.0,26.0,92.3,20.0,24.0,83.3,11.0,15.0,73.3,0,0.0,1.0,5.0,1.0,0.0,6.0,08/19/2017,Burnley,West Brom
395,Stephen Ward,23.0,ie IRL,LB,31-364,90.0,38.0,56.0,67.9,698.0,252.0,15.0,19.0,78.9,19.0,25.0,76.0,3.0,9.0,33.3,0,0.1,1.0,0.0,0.0,0.0,2.0,08/19/2017,Burnley,West Brom
396,Ben Mee,6.0,eng ENG,CB,27-330,90.0,50.0,61.0,82.0,1120.0,562.0,15.0,16.0,93.8,22.0,29.0,75.9,12.0,14.0,85.7,0,0.0,1.0,7.0,0.0,0.0,5.0,08/19/2017,Burnley,West Brom
397,James Tarkowski,5.0,eng ENG,CB,24-273,90.0,42.0,52.0,80.8,1022.0,480.0,8.0,9.0,88.9,21.0,23.0,91.3,13.0,19.0,68.4,0,0.1,1.0,5.0,1.0,0.0,6.0,08/19/2017,Burnley,West Brom
398,Matthew Lowton,2.0,eng ENG,RB,28-071,90.0,41.0,58.0,70.7,838.0,261.0,9.0,16.0,56.3,28.0,32.0,87.5,4.0,9.0,44.4,0,0.0,1.0,4.0,2.0,2.0,3.0,08/19/2017,Burnley,West Brom
399,Tom Heaton,1.0,eng ENG,GK,31-126,90.0,18.0,28.0,64.3,642.0,451.0,0.0,0.0,,11.0,11.0,100.0,7.0,17.0,41.2,0,0.0,0.0,3.0,0.0,0.0,0.0,08/19/2017,Burnley,West Brom
400,Jay Rodriguez,19.0,eng ENG,"FW,LM",28-021,90.0,12.0,18.0,66.7,236.0,81.0,7.0,9.0,77.8,2.0,3.0,66.7,3.0,4.0,75.0,0,0.1,1.0,1.0,1.0,1.0,2.0,08/19/2017,West Brom,Burnley
401,James McClean,14.0,ie IRL,LM,28-119,63.0,9.0,11.0,81.8,153.0,55.0,3.0,3.0,100.0,3.0,4.0,75.0,1.0,1.0,100.0,0,0.0,0.0,1.0,0.0,0.0,1.0,08/19/2017,West Brom,Burnley
402,Hal Robson-Kanu,4.0,wal WAL,"LM,CM",28-090,19.0,2.0,3.0,66.7,18.0,0.0,2.0,3.0,66.7,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,08/19/2017,West Brom,Burnley
403,Jake Livermore,8.0,eng ENG,CM,27-278,90.0,13.0,19.0,68.4,267.0,40.0,5.0,6.0,83.3,6.0,7.0,85.7,2.0,3.0,66.7,0,0.3,2.0,2.0,0.0,0.0,1.0,08/19/2017,West Brom,Burnley
404,Sam Field,28.0,eng ENG,CM,19-103,86.0,6.0,17.0,35.3,102.0,11.0,3.0,7.0,42.9,2.0,8.0,25.0,1.0,2.0,50.0,0,0.0,0.0,1.0,0.0,0.0,1.0,08/19/2017,West Brom,Burnley
405,SalomÃ³n RondÃ³n,9.0,ve VEN,"FW,CM",27-337,4.0,3.0,4.0,75.0,85.0,36.0,0.0,0.0,,2.0,2.0,100.0,1.0,2.0,50.0,0,0.0,0.0,1.0,0.0,0.0,0.0,08/19/2017,West Brom,Burnley
406,Matt Phillips,10.0,sco SCO,RM,26-159,90.0,8.0,20.0,40.0,128.0,50.0,4.0,7.0,57.1,3.0,6.0,50.0,1.0,5.0,20.0,1,0.2,1.0,0.0,0.0,0.0,0.0,08/19/2017,West Brom,Burnley
407,Gareth Barry,18.0,eng ENG,DM,36-177,90.0,15.0,25.0,60.0,328.0,198.0,6.0,9.0,66.7,6.0,11.0,54.5,3.0,5.0,60.0,0,0.0,0.0,2.0,0.0,0.0,2.0,08/19/2017,West Brom,Burnley
